N	4gram	Tiupa_Teor_1	Problemy
1	в то же время	5	5
2	мы имеем в виду	3	3
3	в том числе и	1	3
4	но в то же	1	2
5	по себе еще не	1	2
6	дело в том что	1	1
7	сопоставлены или противопоставлены в	1	1
8	том под каким диалогическим	1	1
9	они сопоставлены или противопоставлены	1	1
10	в той или иной	1	1
11	углом они сопоставлены или	1	1
12	было и не могло	1	1
13	языковых стилей социальных диалектов	1	1
14	но в отличие от	1	1
15	одно и то же	1	1
16	но дело в том	1	1
17	иметь в виду что	1	1
18	в самом наличии определенных	1	1
19	наличии определенных языковых стилей	1	1
20	каким диалогическим углом они	1	1
21	диалогическим углом они сопоставлены	1	1
22	в том под каким	1	1
23	не в самом наличии	1	1
24	и не могло быть	2	1
25	или противопоставлены в произведении	1	1
26	не было и не	1	1
27	и в то же	1	1
28	сама по себе еще	1	1
29	определенных языковых стилей социальных	1	1
30	под каким диалогическим углом	1	1
31	дело не в самом	1	1
32	самом наличии определенных языковых	1	1
