N	4gram	Vinokur_Ku_2	Formalny
1	в то же время	3	5
2	и пр и пр	1	4
3	в связи с этим	1	3
4	т п все эти	1	1
5	в той мере в	1	1
6	и т п в	2	1
7	той мере в какой	1	1
8	только в том случае	1	1
9	в том или ином	1	1
10	не что иное как	1	1
11	не говоря уже о	2	1
12	было бы отрицать что	1	1
13	мере в какой они	1	1
14	и т п все	1	1
15	в том случае если	2	1
16	иметь в виду что	1	1
17	не сам по себе	1	1
18	все более и более	1	1
19	в большей или меньшей	3	1
20	лишь в том случае	1	1
21	вряд ли нужно доказывать	1	1
22	ли нужно доказывать что	1	1
23	то во всяком случае	1	1
24	большей или меньшей степени	3	1
25	есть не что иное	1	1
