N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	40
2	и не	8	30
3	по себе	2	25
4	и в	14	18
5	ничего не	2	17
6	может быть	6	17
7	в нем	1	16
8	а не	10	14
9	не только	10	13
10	и даже	1	13
11	то что	7	13
12	что в	1	13
13	в этом	7	12
14	было бы	3	12
15	если бы	2	12
16	и что	1	12
17	не может	7	12
18	в себе	2	11
19	что он	2	11
20	это значит	1	11
21	все это	5	11
22	то же	5	10
23	что такое	4	10
24	прежде всего	8	10
25	сказать что	1	10
26	и то	3	9
27	отнюдь не	1	9
28	так и	1	9
29	это не	3	9
30	том что	2	9
31	никогда не	1	9
32	в том	2	9
33	но это	2	8
34	что она	2	7
35	не существует	1	7
36	но и	4	7
37	сам по	1	6
38	хотя бы	5	6
39	не то	1	6
40	но в	3	6
41	с другой	4	6
42	не в	2	6
43	она не	1	6
44	в то	3	6
45	можно сказать	1	6
46	не было	1	6
47	в своем	1	5
48	все же	3	5
49	на то	1	5
50	и с	2	5
51	но если	1	5
52	в виду	1	5
53	само по	1	5
54	об этом	1	4
55	как таковой	2	4
56	по крайней	2	4
57	у пушкина	1	4
58	же время	3	4
59	не о	3	4
60	о том	1	4
61	крайней мере	2	4
62	но не	2	4
63	в котором	1	4
64	в конце	2	4
65	мы можем	1	4
66	как раз	2	4
67	другой стороны	3	4
68	самом деле	2	3
69	должна быть	2	3
70	в ней	1	3
71	более или	1	3
72	конечно не	4	3
73	в самом	2	3
74	он не	1	3
75	всех этих	2	3
76	не значит	1	3
77	этом смысле	2	3
78	и вы	1	3
79	должно быть	1	3
80	или менее	1	3
81	в их	4	3
82	друг другу	1	3
83	могут быть	2	3
84	что и	2	3
85	только в	2	3
86	есть наука	1	3
87	но что	1	3
88	даже и	2	3
89	даже не	1	3
90	что для	1	3
91	и потому	1	3
92	в данном	1	3
93	что же	1	3
94	в его	2	3
95	тех или	2	3
96	и все	1	3
97	бы в	1	3
98	конце концов	2	3
99	состоит из	1	3
100	религии и	1	3
101	же как	1	2
102	мы и	2	2
103	быть в	1	2
104	как таковая	1	2
105	но конечно	2	2
106	ничуть не	1	2
107	относится к	1	2
108	бы и	2	2
109	мы получаем	2	2
110	связанные с	1	2
111	в первую	1	2
112	в виде	1	2
113	не как	3	2
114	есть конечно	1	2
115	это было	2	2
116	форму и	2	2
117	мы имеем	1	2
118	как и	3	2
119	до сих	2	2
120	в своей	3	2
121	почти не	1	2
122	в которых	1	2
123	ни было	3	2
124	и является	2	2
125	и эта	1	2
126	этом отношении	2	2
127	от которой	1	2
128	и это	1	2
