N	2gram	Bakhtin_Pr_2	PoTuStor
1	может быть	23	17
2	и в	43	16
3	и пр	2	12
4	в этом	13	9
5	таким образом	5	9
6	и только	3	9
7	мы можем	2	9
8	прежде всего	10	9
9	и с	5	8
10	точки зрения	13	8
11	и его	8	8
12	не может	18	8
13	совершенно не	4	8
14	с его	4	7
15	не только	11	7
16	в сознание	1	7
17	сказать что	2	7
18	я и	2	6
19	самом деле	5	6
20	конечно не	2	6
21	при этом	6	6
22	с точки	8	6
23	и это	4	6
24	для него	8	6
25	и к	3	6
26	еще не	9	5
27	отношение к	2	5
28	все эти	5	5
29	сознание и	2	5
30	что такое	2	5
31	ни в	2	5
32	в него	7	5
33	как бы	22	5
34	на самом	1	4
35	и ее	3	4
36	и на	10	4
37	и наконец	6	4
38	но в	10	4
39	в этой	1	4
40	в нем	12	4
41	его в	3	4
42	художественного творчества	2	4
43	мысли и	2	4
44	все это	5	4
45	как мы	10	4
46	с ее	1	4
47	так и	3	4
48	но мы	1	4
49	можно сказать	1	4
50	в его	10	4
51	с ними	2	4
52	только в	4	4
53	и их	3	4
54	так как	4	4
55	и даже	3	4
56	но и	14	4
57	и не	29	4
58	и все	6	4
59	хотя бы	2	4
60	все что	1	4
61	если б	1	3
62	отношения к	2	3
63	во всех	4	3
64	в общем	1	3
65	и есть	1	3
66	и как	2	3
67	и художественного	1	3
68	учение о	1	3
69	с их	2	3
70	их в	4	3
71	на этом	1	3
72	на этой	1	3
73	этом смысле	2	3
74	том что	2	3
75	во время	4	3
76	сих пор	7	3
77	в одном	12	3
78	по крайней	1	3
79	в основе	1	3
80	до сих	7	3
81	к себе	7	3
82	те же	1	3
83	с другими	1	3
84	крайней мере	1	3
85	в том	6	3
86	в большинстве	9	3
87	только на	3	3
88	большинстве случаев	8	3
89	мы знаем	1	3
90	всяком случае	1	3
91	и др	2	3
92	но оно	1	3
93	вместе с	1	3
94	и потому	1	3
95	как это	1	3
96	быть это	1	3
97	могут быть	3	3
98	в основном	1	3
99	что в	4	3
100	в этих	6	3
101	а в	5	3
102	то что	7	3
103	между ними	4	3
104	жизни и	1	3
105	во всяком	2	3
106	ту же	2	2
107	же как	1	2
108	нам кажется	5	2
109	в самом	7	2
110	мы уже	3	2
111	мы не	4	2
112	и о	2	2
113	того же	3	2
114	и говорить	2	2
115	на них	1	2
116	между собой	2	2
117	из этих	2	2
118	но как	1	2
119	друг на	2	2
120	нет и	1	2
121	за пределы	3	2
122	с этим	2	2
123	что это	2	2
124	и через	1	2
125	не стали	1	2
126	но ведь	5	2
127	вообще не	1	2
128	он не	9	2
129	и по	1	2
130	то же	8	2
131	по своему	2	2
132	связанных с	1	2
133	и мы	1	2
134	было бы	5	2
135	в жизни	3	2
136	кажется что	3	2
137	в них	4	2
138	как и	14	2
139	между собою	4	2
140	в своей	4	2
141	почти не	2	2
142	можем сказать	1	2
143	этих трех	3	2
144	не менее	3	2
145	чрезвычайно характерно	1	2
146	никогда не	9	2
147	только и	1	2
148	на два	3	2
149	и лишь	1	2
150	здесь же	1	2
151	что на	2	2
152	все то	1	2
153	не могут	4	2
154	он ищет	1	2
155	как не	1	2
156	и этим	3	2
157	в пределах	16	2
158	для этого	2	2
159	и вообще	1	2
160	с ним	3	2
161	о том	5	2
162	для нас	2	2
163	три основных	1	2
164	что и	3	2
165	во всей	1	2
166	может иметь	1	2
167	один из	1	2
168	оно и	1	2
169	образов и	1	2
170	мы видим	1	2
171	что он	13	2
172	и действительно	1	2
173	и так	2	2
174	всех его	1	2
175	со всеми	3	2
176	есть в	3	2
177	с нею	1	2
178	если мы	2	2
179	в начале	1	2
180	при всей	1	2
181	у него	6	2
182	и т.п	1	2
183	себя и	3	2
184	что не	2	2
185	на друга	2	2
186	не на	4	2
187	в одно	3	2
188	с помощью	1	2
189	так же	2	2
190	в мир	1	2
191	своей жизни	2	2
192	но это	4	2
193	это последнее	1	2
194	к другим	1	2
195	и для	3	2
196	сознания и	3	2
197	но зато	3	2
198	ни было	2	2
199	не есть	2	2
200	не знает	3	2
201	есть и	3	2
202	а может	1	2
203	ее в	2	2
204	к этому	1	2
205	можно назвать	1	2
206	они не	1	2
207	так подробно	1	1
208	в движение	1	1
209	человека и	2	1
210	мы здесь	2	1
211	и то	2	1
212	он может	1	1
213	или к	1	1
214	это и	1	1
215	органическое единство	1	1
216	самый предмет	2	1
217	далее и	1	1
218	и чрезвычайно	1	1
219	и могут	1	1
220	всей ее	1	1
221	хорошо и	1	1
222	для достижения	1	1
223	до времени	2	1
224	что если	3	1
225	и посвящена	1	1
226	вопрос о	2	1
227	выходит из	1	1
228	так чтобы	4	1
229	я не	4	1
230	конечно и	1	1
231	первого и	1	1
232	а другие	1	1
233	он был	3	1
234	как один	1	1
235	не был	2	1
236	бы то	1	1
237	где же	1	1
238	одним словом	1	1
239	но не	5	1
240	же на	1	1
241	с самой	1	1
242	не входит	2	1
243	с сыном	1	1
244	менее всего	1	1
245	данная нами	1	1
246	и органическим	1	1
247	к сожалению	1	1
248	в центре	1	1
249	в рамках	1	1
250	в особом	1	1
251	она как	1	1
252	как нам	2	1
253	все же	3	1
254	однако не	1	1
255	хотя и	5	1
256	когда он	3	1
257	его к	2	1
258	всего как	1	1
259	увидим что	1	1
260	от этого	1	1
261	чего же	1	1
262	тон и	5	1
263	к чему	1	1
264	уже не	3	1
265	та же	2	1
266	точку зрения	1	1
267	сказать о	2	1
268	в нашем	1	1
269	не предрешает	1	1
270	не сделал	1	1
271	знаем в	1	1
272	сознания с	1	1
273	мы чувствуем	2	1
274	как он	2	1
275	образцовыми для	1	1
276	человек не	1	1
277	что она	1	1
278	не следует	1	1
279	что было	2	1
280	другом человеке	2	1
281	наконец мы	1	1
282	и социальной	1	1
283	они служат	1	1
284	именно и	1	1
285	образом и	3	1
286	в корне	1	1
287	и единство	1	1
288	мы говорили	1	1
289	человека в	4	1
290	от нее	1	1
291	то ни	1	1
292	а то	2	1
293	в мире	1	1
294	не должна	3	1
295	конечно в	2	1
296	той же	3	1
297	лишь в	8	1
298	входит в	2	1
299	за собою	1	1
300	может стать	4	1
301	на почве	2	1
302	форму и	1	1
303	мы сказали	2	1
304	неизбежно должен	1	1
305	за ней	1	1
306	он является	2	1
307	в самую	1	1
308	одна и	2	1
309	несмотря на	1	1
310	мир в	1	1
311	действительно не	1	1
312	и еще	2	1
313	взаимоотношение двух	1	1
314	от своего	1	1
315	что есть	1	1
316	и лежат	1	1
317	вот она	1	1
318	переносит в	1	1
319	уже здесь	1	1
320	нею и	1	1
321	что до	1	1
322	что я	6	1
323	значение для	2	1
324	нами до	1	1
325	но эта	2	1
326	которые в	1	1
327	друг другу	1	1
328	вещей и	1	1
329	однако в	1	1
330	общего не	1	1
331	человека но	1	1
332	освободиться от	1	1
333	вернемся к	1	1
334	или что	1	1
335	иной раз	2	1
336	есть прежде	1	1
337	с теми	2	1
338	только здесь	1	1
339	в смысле	1	1
340	жизни человек	1	1
341	тогда когда	1	1
342	дело в	2	1
343	одна из	2	1
344	в сущности	9	1
345	он пуст	1	1
346	но далее	1	1
347	того чтобы	1	1
348	для всего	1	1
349	только не	1	1
350	не имеет	1	1
351	и всегда	2	1
352	ничего не	3	1
353	этих двух	1	1
354	всего на	1	1
355	пути и	2	1
356	во всем	3	1
357	связи с	1	1
358	в сознании	1	1
359	в виду	3	1
360	уже и	2	1
361	и делает	1	1
362	потом в	1	1
363	мы и	2	1
364	с другом	4	1
365	и со	3	1
366	у меня	5	1
367	среди них	4	1
368	в духе	1	1
369	его за	1	1
370	отличается от	2	1
371	же самое	1	1
372	должны быть	2	1
373	одну и	1	1
374	к тому	4	1
375	бы он	2	1
376	той или	3	1
377	для его	1	1
378	на это	1	1
379	она не	3	1
380	ничего общего	1	1
381	он прежде	1	1
382	как таковым	1	1
383	контекст эти	1	1
384	всем этим	2	1
385	без всякого	2	1
386	он определяет	1	1
387	в душу	1	1
388	в себя	3	1
389	говорили что	2	1
390	каков же	1	1
391	приводит к	6	1
392	и что	5	1
393	если они	1	1
394	и сам	7	1
395	что может	2	1
396	в другом	7	1
397	с первым	1	1
398	и ту	1	1
399	можно было	3	1
400	времени и	2	1
401	его жизни	2	1
402	могут вступать	1	1
403	отсюда и	1	1
404	мог бы	1	1
405	в каких-либо	1	1
406	не место	2	1
407	еще в	1	1
408	его мысли	2	1
409	это только	1	1
410	даны в	3	1
411	если бы	3	1
412	не опирается	1	1
413	из одного	4	1
414	совершенно аналогичные	1	1
415	связанная с	1	1
416	дать полную	1	1
417	о нем	6	1
418	часто и	1	1
419	и здесь	3	1
420	но к	2	1
421	и та	2	1
