N	2gram	Vygotskiy__3	Vvedenie
1	и т	14	42
2	т д	4	36
3	и в	38	32
4	в том	25	31
5	в этом	13	30
6	может быть	19	26
7	том что	14	26
8	не только	12	22
9	для того	8	21
10	того чтобы	9	20
11	таким образом	12	19
12	то что	35	16
13	потому что	14	15
14	так как	6	15
15	не может	7	14
16	в нем	4	13
17	в самом	25	13
18	со стороны	2	13
19	о том	6	13
20	как на	3	12
21	того что	4	12
22	и не	10	12
23	только в	4	12
24	в их	1	12
25	в его	5	12
26	в общем	2	12
27	представляет собой	2	12
28	в ее	7	11
29	как мы	7	11
30	ясно что	6	11
31	что такое	1	11
32	в данном	2	11
33	что в	20	10
34	между тем	7	9
35	в той	5	9
36	в истории	2	9
37	то же	10	9
38	но в	3	9
39	этого рода	1	9
40	и как	8	9
41	не в	12	8
42	именно в	1	8
43	с другой	7	8
44	это не	1	8
45	но не	1	7
46	все же	8	7
47	точки зрения	16	7
48	в применении	1	7
49	смысле этого	2	7
50	дело с	1	7
51	только как	1	7
52	о котором	5	7
53	самом деле	21	7
54	было бы	12	7
55	можно было	1	7
56	вовсе не	8	6
57	сих пор	5	6
58	до сих	6	6
59	с тем	8	6
60	его в	3	6
61	а именно	1	6
62	но и	5	6
63	и даже	4	6
64	как и	8	6
65	и его	6	6
66	в качестве	2	6
67	в то	3	6
68	хотя бы	2	6
69	один из	6	6
70	тем что	3	6
71	представить себе	1	6
72	не могут	2	6
73	все это	3	6
74	и это	8	6
75	из этих	3	6
76	этот вопрос	1	6
77	том чтобы	1	6
78	применении к	1	6
79	одним из	1	5
80	данном случае	2	5
81	и тем	3	5
82	т п	5	5
83	в какой	5	5
84	а не	7	5
85	так что	8	5
86	но если	4	5
87	в целом	4	5
88	что не	3	5
89	сказать что	4	5
90	вместе с	5	5
91	в течение	4	5
92	по своему	4	5
93	в них	3	5
94	другой стороны	5	5
95	мере в	1	5
96	представляют собой	2	5
97	есть и	1	5
98	имеет дело	1	5
