1	в отличие от	3	5
2	в этом отношении	1	5
3	в данном случае	6	4
4	в том что	18	4
5	с одной стороны	2	4
6	о том что	4	4
7	не может быть	3	3
8	но и в	1	2
9	на то что	1	2
10	к жизни в	1	2
11	в том чтобы	2	2
12	как например в	1	2
13	из того что	1	2
14	состоит в том	13	2
15	с другой стороны	1	2
16	подобно тому как	3	2
17	на первый взгляд	1	1
18	то что в	1	1
19	что иное как	2	1
20	не что иное	2	1
21	там где есть	1	1
22	тем не менее	2	1
23	вместе с тем	4	1
24	для того чтобы	6	1
25	с того что	1	1
26	том что они	1	1
27	в другом месте	1	1
28	более или менее	1	1
29	может быть только	2	1
30	но не только	1	1
31	о том как	1	1
32	вопрос о том	1	1
33	во всех других	1	1
34	для него не	1	1
35	в свою очередь	1	1
36	в первую очередь	1	1
37	нас в данном	1	1
38	и в том	1	1
39	может быть не	1	1
40	но это не	1	1
41	по аналогии с	1	1
42	тому как в	2	1
43	между тем как	1	1
44	одно из наиболее	1	1
45	в этой связи	1	1
46	это и есть	1	1
