N	3gram	Bakhtin_Pr_3	PoTuStor
1	с точки зрения	2	6
2	с самого начала	3	4
3	в этом смысле	1	3
4	до сих пор	5	3
5	по крайней мере	1	3
6	по сравнению с	4	3
7	во всяком случае	1	3
8	не может быть	1	3
9	можно сказать что	4	3
10	в большинстве случаев	4	3
11	а потому и	1	2
12	и может быть	1	2
13	в нем нет	3	2
14	в его целом	1	2
15	все то что	2	2
16	о том что	2	2
17	мы можем сказать	1	2
18	во всех его	1	2
19	теперь мы должны	2	1
20	несколько слов о	3	1
21	и связанных с	1	1
22	уже знаем что	1	1
23	то что я	1	1
24	если б я	2	1
25	в нем и	1	1
26	мы должны перейти	1	1
27	во всем мире	2	1
28	то же самое	1	1
29	сих пор еще	2	1
30	что если б	1	1
31	как мы сказали	1	1
32	связанная с этим	1	1
33	в основе их	1	1
34	а может быть	1	1
35	в этом отношении	1	1
36	остановимся на некоторых	1	1
37	можно было бы	1	1
38	основе их лежит	1	1
39	может быть только	1	1
40	нужно отметить что	1	1
41	и этим как	1	1
42	еще не знает	1	1
43	должны перейти к	1	1
44	со всеми его	1	1
45	не чем иным	1	1
46	но именно этот	1	1
47	и т.п и	1	1
48	очень важный момент	1	1
49	в связи с	1	1
50	в себя и	1	1
51	в применении к	1	1
52	то что можно	1	1
53	и т.п наконец	1	1
54	имеем дело с	1	1
55	в этом и	1	1
56	при всей их	1	1
57	для нашего времени	1	1
58	нуждается в особом	1	1
59	в том что	3	1
60	жизни таким образом	1	1
61	при некоторых условиях	1	1
62	а вместе с	1	1
63	вместе с ним	1	1
64	чем иным как	1	1
65	каждого из этих	1	1
66	так и в	2	1
67	в некоторых отношениях	1	1
68	и в эпоху	1	1
69	всем мире и	1	1
70	и прежде всего	5	1
71	что иное как	1	1
72	и в известной	1	1
73	или во всяком	1	1
74	останавливаться не будем	1	1
75	связанные с ним	1	1
76	таким образом и	1	1
77	все эти разнородные	1	1
78	не что иное	1	1
79	но мы уже	1	1
80	мы уже знаем	1	1
81	можем сказать что	1	1
82	может быть даже	1	1
83	этим как бы	1	1
84	той или иной	1	1
