N	2gram	Berdyaev_N_1	SlovoVZh
1	не может	16	16
2	может быть	7	14
3	и его	1	13
4	и в	16	12
5	и не	11	10
6	так как	1	9
7	прежде всего	4	8
8	сказать что	3	7
9	в ней	5	6
10	в том	8	6
11	только в	1	6
12	к содержанию	2	6
13	в нем	5	6
14	все время	2	6
15	и героя	1	6
16	должна быть	3	5
17	в виду	1	5
18	можно сказать	1	5
19	как в	3	5
20	но в	2	5
21	в жизни	5	5
22	а не	17	5
23	как и	7	5
24	что мы	1	5
25	том что	2	5
26	никогда не	6	5
27	хотя бы	2	5
28	то что	4	5
29	зависимости от	1	4
30	к нему	1	4
31	за пределы	3	4
32	в этом	7	4
33	в самом	1	4
34	уже не	2	4
35	не только	5	4
36	от того	1	4
37	так и	2	4
38	с другой	3	4
39	что не	1	4
40	не в	6	4
41	и к	5	4
42	жизни и	8	4
43	и на	2	4
44	формы и	2	3
45	в котором	1	3
46	ведь и	2	3
47	еще не	3	3
48	мы не	2	3
49	о том	4	3
50	но и	3	3
51	нуждается в	1	3
52	все эти	2	3
53	конечно не	3	3
54	в себе	2	3
55	не к	2	3
56	и с	2	3
57	до сих	1	3
58	ни в	6	3
59	и пр	3	3
60	в них	4	3
61	в своей	3	3
62	так же	2	3
63	в такой	1	3
64	и более	1	3
65	не должна	1	3
66	по себе	1	3
67	сих пор	1	3
68	не менее	4	3
69	все это	5	3
70	но для	2	3
71	и для	4	3
72	с ним	1	3
73	или не	1	3
74	в каком	1	3
75	от этой	1	2
76	как не	8	2
77	как это	2	2
78	со всех	4	2
79	по природе	1	2
80	мы в	1	2
81	нас и	1	2
82	не способен	1	2
83	с его	6	2
84	и что	2	2
85	в чем	1	2
86	той социальной	1	2
87	в его	1	2
88	в своем	1	2
89	в формах	1	2
90	и потому	4	2
91	и вражды	1	2
92	с одной	2	2
93	уже в	1	2
94	жизнью и	1	2
95	он не	8	2
96	перестает быть	4	2
97	в зависимости	1	2
98	к ним	3	2
99	но все	1	2
100	с другими	1	2
101	это не	4	2
102	оно не	1	2
103	себя и	1	2
104	социальной жизни	1	2
105	одной стороны	2	2
106	зависит от	2	2
107	другой стороны	2	2
108	нет ничего	1	2
109	вместе с	2	2
110	но не	2	2
111	место в	2	2
112	быть только	1	2
113	она не	3	2
114	в атмосфере	1	2
115	такой же	2	2
116	в то	2	2
117	за его	1	2
118	а к	1	2
119	и все	4	2
120	все они	2	2
121	в этих	1	2
122	есть уже	1	2
123	но это	6	2
124	человеческого общества	1	2
125	от всех	1	2
126	могут быть	2	2
127	и вполне	1	2
128	на это	1	2
129	что в	9	2
130	как на	1	2
131	не есть	3	2
132	и это	2	1
133	же как	2	1
134	с ее	5	1
135	природе но	1	1
136	это и	2	1
137	характер и	1	1
138	свои права	2	1
139	он находится	1	1
140	не хочет	1	1
141	то время	1	1
142	по преимуществу	1	1
143	не имеют	2	1
144	высшей степени	6	1
145	можно было	2	1
146	мы уже	1	1
147	для этого	2	1
148	на себя	1	1
149	с большим	1	1
150	всех сторон	4	1
151	и явления	1	1
152	на них	1	1
153	на их	1	1
154	в значительной	1	1
155	во всех	3	1
156	вопросу о	1	1
157	и во	1	1
158	все в	1	1
159	менее всего	1	1
160	себе и	1	1
161	в свои	2	1
162	уже во	1	1
163	и она	1	1
164	и мир	1	1
165	как например	1	1
166	в новой	7	1
167	хотя и	2	1
168	ли он	1	1
169	нашего времени	2	1
170	о самом	1	1
171	в обществе	2	1
172	тому как	3	1
173	во времени	1	1
174	самом себе	1	1
175	в эти	1	1
176	себя в	2	1
177	думать что	2	1
178	мы отлично	1	1
179	есть в	2	1
180	права и	2	1
181	в большинстве	1	1
182	дальше и	1	1
183	значение и	1	1
184	что она	2	1
185	обращение к	2	1
186	она становится	1	1
187	и их	1	1
188	как часто	1	1
189	этого нельзя	1	1
190	всяком случае	1	1
191	друг друга	1	1
192	осознавать себя	1	1
193	бытия и	1	1
194	у него	2	1
195	и рождается	1	1
196	подобно тому	3	1
197	характерны для	1	1
198	значительной степени	1	1
199	и только	1	1
200	что все	2	1
201	выходит за	1	1
202	видимого и	1	1
203	и т.п	2	1
204	и из	1	1
205	должно быть	4	1
206	на протяжении	2	1
207	и которые	1	1
208	который и	1	1
209	она создает	1	1
210	и мы	4	1
211	было бы	1	1
212	к которому	1	1
213	этом смысле	2	1
214	для них	1	1
215	от нее	1	1
216	люди не	2	1
217	не было	4	1
218	не знает	6	1
219	не на	1	1
220	в ее	3	1
221	отлично знаем	1	1
222	не всегда	1	1
223	они являются	1	1
224	так называемый	1	1
225	и было	2	1
226	должен предшествовать	1	1
227	в истории	3	1
228	и того	1	1
229	но можно	1	1
230	себя на	1	1
231	все более	1	1
232	вступает в	1	1
233	но если	1	1
234	то он	1	1
235	другая сторона	1	1
236	политической жизни	1	1
237	к одному	1	1
238	не могут	1	1
239	наряду с	3	1
240	сферы в	1	1
241	сами по	1	1
242	том и	2	1
243	и общества	2	1
244	не должно	1	1
245	может идти	1	1
246	и вся	1	1
247	одна сторона	1	1
248	только для	1	1
249	природу и	1	1
250	в высшей	6	1
251	она могла	1	1
252	в смысле	2	1
253	протяжении всей	1	1
254	к вопросу	1	1
255	она должна	1	1
256	в основе	3	1
257	только одна	1	1
258	время как	2	1
259	того чтобы	2	1
260	не существует	3	1
261	особого рода	1	1
262	и общего	1	1
263	мы должны	1	1
264	по своей	1	1
265	в свою	1	1
266	это уже	1	1
267	быть понята	1	1
268	как будто	2	1
269	гораздо больше	1	1
270	жизни в	3	1
271	в области	1	1
272	у нас	1	1
273	и оно	1	1
274	и сейчас	1	1
275	равно как	2	1
276	когда мы	2	1
277	есть только	1	1
278	культуры в	5	1
279	должны быть	1	1
280	т.е к	1	1
281	во всяком	1	1
282	они не	1	1
283	к тому	3	1
