N	3gram	Trubetskoy_1	TeoriaLi
1	по отношению к	1	8
2	в то же	10	6
3	в том что	7	6
4	то же время	10	6
5	того или иного	2	5
6	в данном случае	3	5
7	состоит в том	1	4
8	более или менее	4	4
9	той или иной	3	3
10	тем не менее	1	3
11	в свою очередь	1	3
12	в единое целое	1	2
13	и тем самым	2	2
14	тех или иных	1	2
15	в противном случае	1	2
16	и того же	1	2
17	внутренней и внешней	1	2
18	тот или иной	1	2
19	одного и того	1	2
20	сама по себе	2	2
21	не может быть	4	2
22	с точки зрения	9	2
23	а в том	1	1
24	это и есть	1	1
25	все что может	2	1
26	в основе его	1	1
27	в том числе	1	1
28	в том случае	4	1
29	как видно из	1	1
30	в большинстве случаев	2	1
31	бы то ни	4	1
32	таким же образом	2	1
33	точно так же	2	1
34	перед нами не	1	1
35	в связи с	1	1
36	но в то	1	1
37	до известной степени	1	1
38	в своем сознании	1	1
39	для того чтобы	6	1
40	то ни было	1	1
41	отношение человека к	1	1
42	что он не	2	1
43	о том что	2	1
44	том случае если	3	1
45	в настоящее время	2	1
46	и как бы	1	1
47	себе еще не	1	1
48	в том и	2	1
49	в значительной степени	1	1
50	в этом случае	3	1
51	к чему не	1	1
52	по себе еще	1	1
53	относится не только	1	1
54	к вопросу о	3	1
55	же время эти	1	1
56	и т.д эта	1	1
57	только то что	1	1
58	и прежде всего	1	1
59	ни к чему	2	1
60	она могла бы	1	1
61	себя только в	1	1
62	может быть назван	1	1
63	дело в том	1	1
64	так же как	1	1
65	том числе и	1	1
66	к одному из	1	1
67	между собой и	1	1
68	к тому же	1	1
69	по крайней мере	1	1
70	не только к	2	1
71	а между тем	5	1
