N	2gram	Tiupa_Lite_1	Sotsiolo
1	в том	16	5
2	в этом	12	5
3	и только	2	3
4	более чем	3	3
5	для нас	1	3
6	не только	24	3
7	и в	8	3
8	о литературе	1	3
9	не в	8	3
10	в его	7	3
11	за пределы	2	2
12	но и	17	2
13	и мы	1	2
14	было бы	2	2
15	исторической жизни	1	2
16	должна быть	2	2
17	только в	8	2
18	дело не	2	2
19	далеко не	3	2
20	нужно было	1	2
21	в литературоведении	1	2
22	тем более	2	2
23	том что	14	2
24	в частности	15	2
25	как будто	2	2
26	то что	10	2
27	и что	1	2
28	еще не	4	2
29	только как	1	2
30	таким образом	3	2
31	отношению к	2	2
32	в конце	4	2
33	что в	3	2
34	может быть	13	2
35	как бы	7	2
36	по отношению	3	2
37	очевидно что	1	2
38	по существу	1	2
39	то же	5	2
40	крайней мере	1	1
41	я и	7	1
42	стиля как	1	1
43	право на	1	1
44	быть не	1	1
45	наконец в	1	1
46	даже в	2	1
47	а вот	1	1
48	в мире	2	1
49	в этой	4	1
50	отнюдь не	2	1
51	более не	2	1
52	выходит за	1	1
53	системы как	1	1
54	с другой	3	1
55	его в	3	1
56	литературы как	1	1
57	только для	1	1
58	художественных произведений	1	1
59	лучшем случае	1	1
60	это не	4	1
61	именно в	1	1
62	в чем	1	1
63	все же	4	1
64	один из	3	1
65	и есть	3	1
66	перед нами	1	1
67	в то	5	1
68	тем же	3	1
69	еще и	3	1
70	только то	2	1
71	а с	1	1
72	тем что	2	1
73	в наше	1	1
74	и как	1	1
75	что он	5	1
76	прежде всего	11	1
77	объекта и	2	1
78	произведение как	1	1
79	в них	1	1
80	так и	4	1
81	не было	3	1
82	одной стороны	2	1
83	но только	1	1
84	историю литературы	1	1
85	и не	12	1
86	искусство слова	1	1
87	никогда не	4	1
88	на основании	1	1
89	наше время	1	1
90	мы не	1	1
91	это как	2	1
92	же время	5	1
93	как то	1	1
94	между собою	1	1
95	не мешает	1	1
96	и о	1	1
97	все эти	2	1
98	чуть ли	2	1
99	сколь и	1	1
100	как и	6	1
101	для этого	4	1
102	этом не	1	1
103	иначе говоря	1	1
104	в сущности	2	1
105	творчество в	1	1
106	вот в	1	1
107	в связи	4	1
108	только поэзия	1	1
109	на первый	1	1
110	и его	4	1
111	в этих	1	1
112	связи с	6	1
113	или не	1	1
114	в лучшем	1	1
115	хотя бы	2	1
116	в целом	8	1
117	не может	5	1
118	в своей	4	1
119	не от	1	1
120	а в	3	1
121	как совокупность	3	1
122	о том	2	1
123	в области	3	1
124	к изучению	1	1
125	же это	2	1
126	представить себе	1	1
127	в котором	1	1
128	никак не	1	1
129	между ними	1	1
130	литературе и	1	1
131	необходимо быть	1	1
132	данном стихотворении	1	1
133	все то	1	1
134	литературы на	1	1
135	столь же	4	1
136	всяком случае	2	1
137	не выходит	1	1
138	себе из	1	1
139	в силу	4	1
140	он говорит	1	1
141	ни на	1	1
142	в конечном	5	1
143	вовсе не	1	1
144	ни были	1	1
145	ли не	3	1
146	но сам	1	1
147	чтобы сделаться	1	1
148	с одной	2	1
149	может служить	1	1
150	но не	4	1
151	у него	3	1
152	для изучения	1	1
153	в виде	1	1
154	в данном	5	1
155	между тем	2	1
156	но как	1	1
157	и по	1	1
158	стихотворении или	1	1
159	конечном счете	4	1
160	по крайней	1	1
161	и более	1	1
162	во всяком	3	1
163	и будет	1	1
164	бы они	1	1
165	перейти к	1	1
166	в каждом	1	1
167	они не	1	1
