N	4gram	Trubetskoy_1	Psycholo
1	заключается в том что	1	2
2	сводится к тому что	1	2
3	друг с другом и	2	2
4	что ни одна из	1	1
5	и с точки зрения	1	1
6	в то же время	10	1
7	и вместе с тем	2	1
8	можно было бы показать	1	1
9	речи быть не может	1	1
10	точно так же и	1	1
11	это то же самое	1	1
12	точно так же как	1	1
13	бы то ни было	1	1
14	свидетельствуют о том что	1	1
15	в том что для	1	1
16	было бы показать что	1	1
17	дело в том что	1	1
18	мы уже знаем что	1	1
19	с точки зрения житейской	1	1
20	только для того чтобы	1	1
