N	2gram	Bakhtin_sl_2	Istorich
1	и в	39	26
2	так как	4	18
3	никогда не	7	13
4	и на	4	12
5	в этом	16	12
6	таким образом	8	12
7	в том	5	12
8	что в	3	12
9	мы видели	2	11
10	может быть	37	11
11	и т	35	10
12	не только	24	10
13	том что	5	10
14	представления о	1	10
15	с другой	5	10
16	и не	22	10
17	еще не	7	9
18	а именно	2	9
19	что он	2	9
20	но и	21	9
21	и это	1	8
22	все эти	6	8
23	все же	6	8
24	в нем	19	8
25	т д	2	8
26	на том	1	8
27	с ним	7	8
28	вместе с	2	8
29	другой стороны	1	8
30	например в	5	7
31	но в	6	7
32	мы можем	1	7
33	и его	33	7
34	о том	2	7
35	с одной	5	7
36	уже не	5	7
37	у него	3	7
38	превращается в	1	7
39	одной стороны	5	7
40	мы уже	2	6
41	мы не	2	6
42	как в	13	6
43	как он	2	6
44	так в	2	6
45	и с	9	6
46	в виде	2	6
47	то что	2	6
48	связан с	3	6
49	и там	3	6
50	этом случае	6	6
51	в более	2	6
52	не может	20	6
53	то же	4	5
54	в ней	3	5
55	за собой	1	5
56	чаще всего	1	5
57	и этим	1	5
58	как и	6	5
59	и что	1	5
60	в то	4	5
61	так и	15	5
62	в его	7	5
63	только в	5	5
64	тем что	1	5
65	там где	6	5
66	как это	3	5
67	его в	4	5
68	как мы	7	4
69	с его	7	4
70	что оно	4	4
71	но как	2	4
72	на его	2	4
73	и по	1	4
74	это не	5	4
75	и тем	1	4
76	не всегда	2	4
77	но здесь	4	4
78	а также	3	4
79	что и	3	4
80	в других	1	4
81	до сих	2	4
82	прежде всего	8	4
83	связано с	3	4
84	зависит от	1	4
85	как бы	7	4
86	сих пор	2	4
87	но это	3	4
88	все что	2	4
89	должна быть	3	3
90	видели что	1	3
91	независимо от	2	3
92	и наконец	5	3
93	та же	1	3
94	в себе	2	3
95	если он	1	3
96	борьбы с	3	3
97	вообще не	1	3
98	что она	1	3
99	при этом	7	3
100	него и	1	3
101	в них	6	3
102	попадает в	1	3
103	такой же	1	3
104	в своей	1	3
105	и ее	1	3
106	в одном	2	3
107	не в	9	3
108	она не	6	3
109	на котором	2	3
110	того как	2	3
111	например у	2	3
112	могут быть	7	3
113	как только	1	3
114	вокруг него	2	3
115	и другие	2	3
116	если они	1	3
117	другими словами	1	3
118	от него	5	3
119	один из	5	3
120	и действительно	1	3
121	в качестве	1	3
122	и других	4	3
123	эти три	1	3
124	и только	1	3
125	далеко не	2	3
126	но есть	1	3
127	не было	2	3
128	в частности	1	3
129	в него	7	3
130	к своему	9	3
131	в данном	2	3
132	и от	3	3
133	кроме того	2	3
134	только одна	1	3
135	или в	2	3
136	на первый	1	3
137	а в	4	3
138	еще в	1	3
139	сказать что	3	3
140	в своих	1	3
141	к этому	1	3
142	они не	2	3
143	ту же	3	2
144	того же	1	2
145	оно может	2	2
146	здесь уже	2	2
147	всех его	3	2
148	первый план	1	2
149	но не	6	2
150	то он	1	2
151	по отношению	4	2
152	должны были	1	2
153	на то	1	2
154	в одной	1	2
155	с этим	2	2
156	в своем	6	2
157	перед нами	3	2
158	целый ряд	1	2
159	и как	3	2
160	ней нет	1	2
161	увидим что	1	2
162	в этой	1	2
163	и до	1	2
164	но он	2	2
165	и те	1	2
166	он не	2	2
167	из него	2	2
168	людей и	2	2
169	но все	5	2
170	человека в	5	2
171	интересами и	1	2
172	его не	4	2
173	на этой	1	2
174	здесь нет	1	2
175	ни в	4	2
176	вовсе не	10	2
177	здесь она	1	2
178	в эту	1	2
179	она в	1	2
180	всегда остается	1	2
181	которые в	2	2
182	силу и	1	2
183	однако в	2	2
184	даже в	2	2
185	одна из	4	2
186	на него	2	2
187	это то	1	2
188	или как	4	2
189	нет ни	1	2
190	зависимости от	4	2
191	отличается от	2	2
192	что при	1	2
193	утверждать что	1	2
194	здесь не	4	2
195	и сам	1	2
196	с собой	1	2
197	этим в	1	2
198	ничего не	1	2
199	но мы	2	2
200	не поддается	1	2
201	можно сказать	1	2
202	как у	1	2
203	отметить что	3	2
204	в форме	2	2
205	все время	1	2
206	того что	1	2
207	случаев в	1	2
208	именно на	2	2
209	мир не	1	2
210	всяком случае	2	2
211	мы находим	1	2
212	она имеет	1	2
213	и свои	2	2
214	и др	4	2
215	что не	1	2
216	в некоторых	3	2
217	этим он	1	2
218	а не	14	2
219	в одно	2	2
220	может иметь	3	2
221	к себе	1	2
222	оно только	1	2
223	отношению к	4	2
224	быть только	1	2
225	стороны и	3	2
226	влечет за	1	2
227	мира и	5	2
228	обращается к	1	2
229	для нас	5	2
230	в этих	7	2
231	с ними	5	2
232	в последнем	1	2
233	героя в	3	2
234	жизни и	6	2
235	также не	1	2
236	во всяком	3	2
237	с новыми	1	1
238	речь идет	1	1
239	отношения к	4	1
240	одним из	2	1
241	также и	2	1
242	говорящих на	1	1
243	в движение	1	1
244	в связи	2	1
245	силы и	1	1
246	и есть	1	1
247	которые были	1	1
248	между двумя	1	1
249	оно было	2	1
250	все те	1	1
251	в зависимости	4	1
252	и этот	1	1
253	а как	1	1
254	есть не	1	1
255	со всех	1	1
256	он также	1	1
257	нам в	1	1
258	героя но	1	1
259	именно к	2	1
260	здесь с	1	1
261	он как	1	1
262	но она	2	1
263	строятся на	1	1
264	фигурируют в	1	1
265	всех сторон	2	1
266	на них	2	1
267	как один	1	1
268	что его	1	1
269	во всех	12	1
270	то мы	1	1
271	не все	2	1
272	вступают в	1	1
273	отличие от	13	1
274	не просто	1	1
275	нашего сознания	2	1
276	в истории	11	1
277	идет о	1	1
278	трудно сказать	1	1
279	так появляются	1	1
280	до его	1	1
281	этого развития	1	1
282	что как	1	1
283	и нет	2	1
284	однако не	1	1
285	они дают	1	1
286	хотя и	2	1
287	как уже	2	1
288	и к	6	1
289	более или	2	1
290	этой цели	1	1
291	важность для	1	1
292	в целом	1	1
293	его роль	1	1
294	к единству	1	1
295	единству и	2	1
296	он в	1	1
297	относящихся сюда	1	1
298	сил в	1	1
299	связанного с	1	1
300	он является	1	1
301	ее как	1	1
302	но на	1	1
303	дальше и	1	1
304	одно и	1	1
305	этот процесс	1	1
306	в чужую	1	1
307	тем не	1	1
308	не значит	1	1
309	которая является	1	1
310	никак не	1	1
311	характер в	1	1
312	и сказал	1	1
313	слились в	1	1
314	на этом	3	1
315	других видов	1	1
316	как они	1	1
317	связанные с	4	1
318	и может	1	1
319	в мире	1	1
320	этом направлении	1	1
321	на все	1	1
322	то есть	26	1
323	знает что	1	1
324	оставляет в	2	1
325	того или	1	1
326	этапы этого	1	1
327	в свой	2	1
328	слов на	1	1
329	это ее	1	1
330	о которых	1	1
331	и географические	1	1
332	чем в	2	1
333	язык из	1	1
334	в один	1	1
335	остается в	5	1
336	создания образа	2	1
337	и становится	1	1
338	одно из	1	1
339	или менее	2	1
340	точки зрения	8	1
341	и при	2	1
342	при изучении	1	1
343	мысль и	1	1
344	не здесь	1	1
345	их сознания	1	1
346	прийти к	1	1
347	не столько	3	1
348	самого героя	1	1
349	от его	1	1
350	он насквозь	1	1
351	на языке	1	1
352	все это	16	1
353	по ту	1	1
354	борьбу с	2	1
355	и более	2	1
356	как от	1	1
357	формой такого	1	1
358	и герой	1	1
359	и вся	1	1
360	не менее	4	1
361	в таких	1	1
362	этими двумя	1	1
363	ее с	1	1
364	в основе	4	1
365	часто еще	1	1
366	герой только	2	1
367	того чтобы	2	1
368	здесь может	1	1
369	следовательно и	1	1
370	состоянии оно	1	1
371	а во	1	1
372	где уже	1	1
373	к ней	2	1
374	по своей	1	1
375	уже говорили	1	1
376	со своим	9	1
377	этого предмета	2	1
378	только с	2	1
379	все этапы	1	1
380	в области	2	1
381	в тени	1	1
382	совершенно отсутствует	1	1
383	и оно	2	1
384	не могут	5	1
385	не знают	1	1
386	языке и	1	1
387	указать на	1	1
388	и смертью	1	1
389	числе и	1	1
390	в высокой	1	1
391	с образом	1	1
392	должен быть	2	1
393	также имеет	1	1
394	и о	1	1
395	с ее	2	1
396	оно нам	1	1
397	на нем	2	1
398	материалом с	1	1
399	как по	1	1
400	чтобы быть	1	1
401	него самого	1	1
402	приводит к	1	1
403	мы наблюдаем	2	1
404	в живых	1	1
405	сопоставление и	1	1
406	те же	2	1
407	не с	3	1
408	здесь как	2	1
409	или на	2	1
410	живого и	1	1
411	для этого	4	1
412	той культурной	1	1
