N	3gram	Tiupa_Disk_2	VrazhdaK
1	и все же	3	5
2	то же время	5	4
3	в то же	4	4
4	в русской литературе	2	3
5	с точки зрения	2	2
6	не может быть	3	2
7	в том что	6	2
8	но не менее	1	1
9	равно как и	1	1
10	же время и	1	1
11	в соответствии с	2	1
12	и не может	2	1
13	отличается не только	1	1
14	в этом отношении	4	1
15	но это не	1	1
16	в этот период	1	1
17	героя нашего времени	1	1
18	основания предполагать что	1	1
19	по крайней мере	1	1
20	и то что	2	1
21	и в то	1	1
22	одно и то	2	1
23	в это время	1	1
24	тем что он	1	1
25	на первый взгляд	2	1
26	и то же	2	1
27	но при этом	2	1
28	или по крайней	1	1
29	а с другой	1	1
30	каждый из них	1	1
31	в записках охотника	2	1
32	во всяком случае	1	1
33	с другой стороны	1	1
34	тем самым он	1	1
35	тем не менее	1	1
36	о том что	3	1
37	но в этом	1	1
38	он как бы	1	1
39	но и от	1	1
40	что этот человек	1	1
41	хотя в нем	1	1
42	он сам в	1	1
43	не только от	1	1
44	речь идет о	1	1
