N	2gram	Tiupa_Vved_1	Marksizm
1	точки зрения	1	34
2	может быть	18	26
3	и не	12	26
4	не может	7	24
5	и в	13	19
6	и его	5	19
7	таким образом	4	17
8	в этом	21	16
9	как бы	4	15
10	в процессе	1	14
11	как мы	3	13
12	прежде всего	7	13
13	как и	11	12
14	если мы	1	11
15	так и	8	11
16	связи с	1	11
17	и для	3	11
18	самом деле	3	10
19	в нем	5	10
20	в слове	3	10
21	и т.п	9	10
22	в самом	2	10
23	лишь в	2	9
24	только в	6	9
25	для него	3	9
26	в результате	3	9
27	все же	6	8
28	не только	20	8
29	без исключения	2	8
30	при этом	26	8
31	но и	19	8
32	в контексте	1	8
33	то что	6	8
34	язык как	2	7
35	во всех	2	7
36	в ее	1	7
37	точка зрения	3	7
38	но в	6	7
39	все эти	1	7
40	то же	5	7
41	бытия в	2	7
42	а не	15	7
43	в связи	1	7
44	так же	1	7
45	в направлении	2	7
46	отнюдь не	7	6
47	так сказать	2	6
48	мы не	4	6
49	и того	2	6
50	в науке	1	6
51	в пределах	2	6
52	настоящее время	1	6
53	в его	4	6
54	в том	10	6
55	с помощью	1	6
56	в настоящее	1	6
57	другой стороны	2	6
58	того же	1	6
59	гуманитарных наук	1	5
60	отличие от	2	5
61	входит в	1	5
62	одного и	1	5
63	в отличие	2	5
64	не в	6	5
65	того чтобы	1	5
66	те же	2	5
67	и все	4	5
68	в начале	3	5
69	в конце	1	5
70	вовсе не	1	5
71	с другой	5	5
72	до конца	3	5
73	и потому	1	5
74	хотя бы	1	5
75	к этому	2	5
76	во всяком	1	5
77	переход от	1	4
78	оно может	1	4
79	и на	3	4
80	как в	4	4
81	так называемая	1	4
82	и тот	1	4
83	к одному	1	4
84	здесь мы	1	4
85	было бы	4	4
86	не столько	4	4
87	не менее	4	4
88	по себе	2	4
89	в отношении	1	4
90	всех без	1	4
91	не является	3	4
92	речевого взаимодействия	1	4
93	в единство	1	4
94	в ней	4	4
95	еще не	7	4
96	только на	1	4
97	далеко не	4	4
98	в данном	13	4
99	что же	3	4
100	тот же	1	4
101	а в	6	4
102	отношении к	1	4
103	жизни в	4	4
104	между ними	1	4
105	сказать что	1	4
106	что в	3	4
107	на самом	4	3
108	он может	1	3
109	между двумя	3	3
110	высшей степени	2	3
111	а как	1	3
112	в сущности	1	3
113	общения в	1	3
114	по отношению	7	3
115	один и	1	3
116	в истории	1	3
117	целый ряд	2	3
118	и к	2	3
119	в первом	2	3
120	в корне	1	3
121	различие между	1	3
122	но именно	1	3
123	он не	3	3
124	он является	2	3
125	в высшей	2	3
126	том что	7	3
127	в своей	5	3
128	и ее	1	3
129	в котором	8	3
130	место в	2	3
131	в то	4	3
132	все без	1	3
133	не имеет	2	3
134	же время	3	3
135	науке о	1	3
136	этом отношении	4	3
137	в области	3	3
138	на границе	1	3
139	же самое	1	3
140	не существует	2	3
141	сводится к	4	3
142	т.п в	1	3
143	одного из	3	3
144	можно сказать	4	3
145	с другими	1	3
146	того что	6	3
147	быть и	2	3
148	в какой	4	3
149	между тем	1	3
150	из них	1	3
151	в целях	1	3
