N	2gram	Tiupa_Hudo_1	Problema
1	то что	8	42
2	вовсе не	1	35
3	и в	14	32
4	и не	2	31
5	в этом	11	19
6	не менее	5	19
7	тем не	4	18
8	не только	12	17
9	потому что	5	16
10	в себе	11	15
11	по себе	2	15
12	а не	12	15
13	но в	5	14
14	может быть	5	14
15	как бы	7	14
16	что мы	1	13
17	в нем	3	13
18	и тем	1	13
19	как раз	4	13
20	сказать что	1	13
21	том что	16	12
22	что в	6	12
23	так и	13	12
24	и т	11	11
25	также и	1	11
26	есть нечто	1	11
27	так как	1	11
28	о том	12	11
29	и даже	3	11
30	ничего общего	1	11
31	то же	9	10
32	отнюдь не	3	10
33	в этой	8	10
34	т д	3	10
35	об этом	5	10
36	ничего не	8	10
37	прежде всего	11	10
38	нет ничего	2	10
39	еще не	7	9
40	но не	3	9
41	раз и	1	9
42	того чтобы	3	9
43	же самое	1	9
44	и это	4	9
45	и что	2	9
46	но и	5	9
47	по своему	3	9
48	в данном	1	9
49	что же	2	9
50	в том	12	9
51	в таком	3	9
52	и о	4	8
53	и ее	1	8
54	и на	3	8
55	общего с	1	8
56	все эти	3	8
57	на то	4	8
58	было бы	6	8
59	он и	1	8
60	в своей	10	8
61	когда мы	1	8
62	данном случае	1	8
63	не может	7	8
64	но это	1	8
65	смысле слова	1	7
66	во всех	1	7
67	всех этих	1	7
68	содержит в	1	7
69	ни в	5	7
70	между собою	1	7
71	как мы	3	7
72	здесь не	2	7
73	никогда не	6	7
74	того что	4	7
75	что он	9	7
76	только в	5	7
77	тем что	3	7
78	такого рода	3	7
79	все это	2	7
80	и все	4	7
81	во всяком	1	7
82	таком случае	1	6
83	и то	1	6
84	самом деле	5	6
85	на самом	2	6
86	говорить о	3	6
87	но как	2	6
88	и как	1	6
89	в самом	4	6
90	при этом	12	6
91	его в	3	6
92	это не	7	6
93	в то	8	6
94	в виду	1	6
95	в его	8	6
96	этом смысле	1	6
97	так что	2	6
98	то и	3	6
99	в конце	4	6
100	о чем	1	6
101	как это	1	6
102	хотя и	2	6
103	всегда есть	1	6
104	не имеют	3	5
105	мы уже	4	5
106	а только	4	5
107	она есть	1	5
108	в своем	4	5
109	перед нами	5	5
110	не являются	1	5
111	то в	4	5
112	что она	4	5
113	но уже	1	5
114	все равно	2	5
115	далеко не	1	5
116	с тем	1	5
117	есть именно	1	5
118	текста и	1	5
119	связи с	4	5
120	можно сказать	4	5
121	для нас	1	5
122	внешняя сторона	1	5
123	есть в	1	5
124	еще и	1	5
125	тем более	1	5
126	мы должны	1	5
127	в их	2	4
128	литературы и	1	4
129	совсем не	1	4
130	есть по	1	4
131	как в	8	4
132	как он	2	4
133	их в	1	4
134	входит в	1	4
135	не в	7	4
136	тому что	4	4
137	тем самым	1	4
138	мышления и	2	4
139	казалось бы	7	4
140	и весь	1	4
141	а в	7	4
142	в дальнейшем	1	4
143	на том	2	4
144	если бы	3	4
145	никак не	2	4
146	а также	3	4
147	и только	1	4
148	в литературе	3	4
149	один из	4	4
150	только на	2	4
151	именно в	7	4
152	не было	4	4
153	ни на	1	4
154	и для	3	4
155	в связи	3	4
156	конце концов	1	4
157	же в	3	4
158	только потому	2	3
159	он всегда	1	3
160	но она	1	3
161	не нужно	2	3
162	в чем	1	3
163	без которого	1	3
164	в ее	3	3
165	что они	1	3
166	с этим	3	3
167	однако не	1	3
168	более или	1	3
169	в действительности	4	3
170	но он	3	3
171	но ведь	1	3
172	да и	2	3
173	но именно	1	3
174	он не	4	3
175	его от	1	3
176	но все	1	3
177	что все	1	3
178	же касается	2	3
179	однако здесь	1	3
180	в жизни	1	3
181	как и	9	3
182	и уже	1	3
183	несмотря на	4	3
184	нисколько не	1	3
185	смысл и	1	3
186	или менее	1	3
187	в этих	5	3
188	точки зрения	5	3
189	с точки	3	3
190	в которых	1	3
191	в отношении	1	3
192	дело в	1	3
193	только не	1	3
194	в самой	1	3
195	или как	1	3
196	и его	5	3
197	как будто	4	3
198	и вполне	1	3
199	к тому	7	3
200	что оно	1	3
201	для себя	3	3
202	вообще во	1	3
203	можно было	5	3
204	ясно что	2	3
205	не на	1	3
206	о нем	3	3
207	что его	1	3
208	именно на	1	3
209	же и	1	3
210	уже не	7	3
211	уже в	1	3
212	из них	4	3
213	говорит о	1	3
214	всяком случае	1	3
215	сами по	1	3
216	до сих	2	3
217	с другой	1	3
218	что не	2	3
219	однако и	3	3
220	в символ	1	3
221	теории литературы	2	3
222	и менее	1	3
223	сих пор	2	3
224	только для	2	3
225	но для	1	3
226	пока еще	2	3
227	своему содержанию	1	3
228	хотя бы	1	3
229	с ним	4	3
230	или не	3	3
231	хотя в	1	3
232	может и	3	3
233	я и	2	2
234	например в	2	2
235	же как	2	2
236	мы здесь	1	2
237	и потому	2	2
238	в первом	1	2
239	по преимуществу	3	2
240	и до	1	2
241	едва ли	3	2
242	по его	1	2
243	для своего	2	2
244	мы не	2	2
245	в сущности	1	2
246	он сам	1	2
247	у чехова	13	2
248	с его	5	2
249	нет и	1	2
250	чем же	1	2
251	внутренняя жизнь	1	2
