N	3gram	Medvedev_V_1	Istorich
1	и т д	14	24
2	так же как	1	12
3	мы знаем что	2	7
4	до сих пор	1	5
5	же как и	1	4
6	с другой стороны	8	4
7	не может быть	8	4
8	т е в	2	3
9	в данном случае	1	3
10	по сравнению с	1	3
11	мы видели что	3	3
12	о том что	3	2
13	говорит об этом	1	2
14	то же самое	1	2
15	в свете этих	1	2
16	не только в	2	2
17	при помощи которой	1	2
18	после того как	1	2
19	в связи с	3	2
20	на этот вопрос	1	2
21	и может быть	1	1
22	при помощи которых	1	1
23	а затем его	1	1
24	как это мы	1	1
25	подобно тому как	2	1
26	в том числе	2	1
27	и не может	2	1
28	как и все	1	1
29	в зависимости от	5	1
30	что он не	1	1
31	из которых он	1	1
32	но и в	1	1
33	но то же	1	1
34	том отношении что	2	1
35	одна из них	1	1
36	есть одно и	1	1
37	с ними в	1	1
38	и др в	3	1
39	и никем не	1	1
40	что даже и	1	1
41	может быть и	1	1
42	о том как	3	1
43	то время как	1	1
44	а не только	1	1
45	таким образом и	1	1
46	доказывается тем что	1	1
47	чтобы ответить на	1	1
48	и то же	1	1
49	в виду не	1	1
50	и вместе с	1	1
51	главным образом на	1	1
52	не могут быть	1	1
53	во всех этих	1	1
54	соображений становится понятным	1	1
55	не в том	2	1
56	одно и то	1	1
57	не случайно и	1	1
58	из них не	2	1
59	материалов показывает что	1	1
60	вместе с тем	3	1
61	т д но	1	1
62	как будто бы	1	1
63	в то время	1	1
64	это и есть	3	1
65	ничего общего с	1	1
66	этих и подобных	2	1
67	в целом и	1	1
68	это явствует из	1	1
69	в том отношении	2	1
70	но даже в	1	1
71	можно сказать что	4	1
72	и не по	1	1
73	отношении что они	1	1
74	человека таким образом	1	1
75	к этой категории	1	1
76	к тому что	3	1
77	мы видим что	1	1
78	этих соображений становится	1	1
79	свете этих соображений	1	1
80	только тогда когда	1	1
