N	4gram	Vygotskiy__3	Myslijsy
1	одно и то же	2	5
2	не в том что	1	3
3	для меня то что	1	2
4	только в том что	1	2
5	одной и той же	1	2
6	в том что оно	1	2
7	и то же слово	1	2
8	того что в ней	1	1
9	одна и та же	1	1
10	прибавим к этому что	1	1
11	в том смысле что	1	1
12	в этом можно убедиться	1	1
13	в самом деле в	1	1
14	вовсе не в том	1	1
15	дело вовсе не в	1	1
16	если бы она не	1	1
17	один и тот же	1	1
18	и в самом деле	9	1
19	в то время как	2	1
20	в том что она	1	1
21	с другой стороны чем	1	1
22	в том что как	1	1
23	только в том случае	1	1
24	заключается в том что	4	1
