N	3gram	Propp_Isto_4	OGranits
1	не может быть	4	4
2	одно и то	1	3
3	что иное как	3	2
4	но так как	1	2
5	в зависимости от	1	2
6	в данном случае	3	2
7	и то же	1	2
8	с другой стороны	4	2
9	ничего общего с	1	2
10	есть не что	1	2
11	не что иное	3	2
12	что в этом	1	1
13	то мы получим	1	1
14	там где нет	1	1
15	подобно тому как	1	1
16	то же самое	2	1
17	и не может	1	1
18	и пр на	1	1
19	может быть и	1	1
20	и тем что	1	1
21	в узком смысле	1	1
22	которое может стать	1	1
23	так же как	12	1
24	если бы мы	1	1
25	уже видели как	1	1
26	тем не менее	2	1
27	и вместе с	1	1
28	в одном случае	3	1
29	в этот момент	1	1
30	в связи с	2	1
31	мы уже видели	1	1
32	не мог бы	1	1
33	в тех случаях	2	1
34	не может входить	1	1
35	мы не можем	1	1
36	таким образом мы	1	1
37	на эту связь	1	1
38	есть одно и	1	1
39	на то что	3	1
40	тех случаях когда	2	1
41	к тому что	1	1
42	привела его к	1	1
43	как и в	1	1
44	только с помощью	1	1
