N	3gram	Nazirov_Tr_1	FransuaR
1	то же время	5	10
2	в то же	5	10
3	в том что	2	6
4	и до конца	1	4
5	как и в	1	4
6	в той же	1	3
7	начала и до	1	3
8	в связи с	1	3
9	с начала и	1	3
10	что все это	1	2
11	в данном случае	2	2
12	но в то	2	2
13	все эти образы	1	2
14	о том что	2	2
15	не только не	1	2
16	не может быть	1	2
17	в чем же	1	1
18	в самом деле	1	1
19	один из первых	1	1
20	эти образы и	1	1
21	в отличие от	2	1
22	можно так выразиться	1	1
23	потому-то он и	1	1
24	и то что	1	1
25	и в частности	2	1
26	и не быть	1	1
27	так и в	3	1
28	но при этом	1	1
29	в году и	1	1
30	обстоит дело с	1	1
31	и в этом	1	1
32	по сравнению с	1	1
33	и при этом	1	1
34	и вместе с	1	1
35	все же не	1	1
36	если можно так	1	1
37	относится еще к	1	1
38	вместо того чтобы	1	1
39	на вопрос о	1	1
40	между этими двумя	2	1
41	и как бы	2	1
42	в точности соответствует	1	1
43	xii и xiii	1	1
44	с самого начала	1	1
45	и в самом	2	1
46	после того как	1	1
47	особое значение для	1	1
48	это как бы	1	1
49	по своей силе	1	1
50	роль в романе	1	1
51	в какой-то мере	1	1
52	это было в	1	1
