N	4gram	Bakhtin_Pr_1	VLabPisa
1	в то же время	3	5
2	и в то же	2	3
3	и не может быть	1	2
4	с одной стороны и	1	2
5	мы имеем дело с	1	1
6	никогда не может быть	1	1
7	всего следует отметить что	1	1
8	не может обойтись без	1	1
9	отнюдь не может быть	1	1
10	прежде всего следует отметить	1	1
11	в художественном творчестве и	2	1
12	романе война и мир	1	1
13	не в том что	1	1
14	но в то же	1	1
15	следует однако отметить что	1	1
16	в том смысле что	1	1
17	не чем иным как	1	1
18	хотя бы и в	1	1
19	в романе война и	1	1
20	ни в какой мере	1	1
21	в то время как	1	1
22	не может быть признана	1	1
23	именно в том что	1	1
24	то же время она	1	1
25	не говоря уже о	1	1
