N	3gram	Nazirov_Tr_1	FransuaR
1	о том что	2	5
2	то же время	5	5
3	в то же	5	5
4	в самом деле	1	4
5	в той же	1	4
6	вместо того чтобы	1	3
7	и то что	1	2
8	в данном случае	2	2
9	так же легко	1	2
10	в том что	2	2
11	в обоих случаях	1	1
12	с тем и	1	1
13	в чем же	1	1
14	и до конца	1	1
15	как и все	1	1
16	и должна быть	1	1
17	отметим также что	1	1
18	все это мы	1	1
19	никакой роли в	1	1
20	одном из своих	1	1
21	но если он	1	1
22	никогда не был	1	1
23	и в истории	1	1
24	все эти образы	1	1
25	подчеркнуть что образ	1	1
26	сам по себе	1	1
27	мы встречаем такие	1	1
28	но в то	2	1
29	в конце концов	1	1
30	смысле этого слова	1	1
31	по самой середине	1	1
32	и как бы	2	1
33	начала и до	1	1
34	все же не	1	1
35	в xix веке	1	1
36	в связи с	1	1
37	то что он	1	1
38	романа прежде всего	1	1
39	не может быть	1	1
40	после того как	1	1
41	в одном из	1	1
42	но все же	2	1
43	в последней главе	1	1
44	за то что	1	1
45	с начала и	1	1
46	это как бы	1	1
47	если б я	1	1
48	том что он	1	1
49	мы узнаем в	1	1
