N	2gram	Propp_Isto_5	Tvorches
1	и в	25	20
2	и т	20	13
3	не только	13	13
4	т д	18	11
5	никогда не	3	11
6	как бы	2	11
7	таким образом	9	10
8	в то	3	10
9	в его	12	10
10	и его	9	9
11	и не	11	9
12	при этом	1	8
13	и с	3	8
14	в том	6	8
15	может быть	17	8
16	в этом	10	8
17	прежде всего	6	8
18	но и	13	8
19	то же	4	7
20	это не	6	7
21	представление о	17	7
22	же время	1	7
23	наряду с	4	7
24	потому что	7	7
25	не может	6	7
26	xix века	1	7
27	что в	8	7
28	в целом	3	6
29	как и	7	6
30	в своей	2	6
31	что он	22	6
32	в конце	1	6
33	у него	2	6
34	а не	2	6
35	в основном	4	6
36	все это	4	6
37	например в	5	5
38	еще не	8	5
39	и на	8	5
40	но не	5	5
41	все же	10	5
42	в этой	3	5
43	если он	1	5
44	и сам	2	5
45	о том	7	5
46	и даже	1	5
47	но это	7	5
48	так же	5	5
49	мы не	5	4
50	все эти	8	4
51	что они	1	4
52	отнюдь не	1	4
53	как в	6	4
54	когда он	2	4
55	но в	1	4
56	за собой	1	4
57	не в	6	4
58	в дальнейшем	4	4
59	что она	1	4
60	что у	4	4
61	об этом	2	4
62	соответствии с	1	4
63	показывает что	5	4
64	если бы	2	4
65	тем самым	1	4
66	ничего не	2	4
67	мы видим	8	4
68	а в	3	4
69	в соответствии	1	4
70	если не	4	4
71	и потому	2	4
72	и от	1	4
73	героя в	9	4
74	том что	8	4
75	одним из	2	3
76	же как	4	3
77	и отчасти	1	3
78	человека и	2	3
79	по мнению	1	3
80	он сам	1	3
81	а с	1	3
82	по отношению	2	3
83	в одной	1	3
84	отношению к	2	3
85	в себе	1	3
86	в нем	7	3
87	он не	4	3
88	в образе	5	3
89	так например	2	3
90	человека в	3	3
91	а затем	7	3
92	его в	9	3
93	и мы	2	3
94	но уже	3	3
95	в самом	1	3
96	в котором	1	3
97	в их	1	3
98	место в	1	3
99	в которых	3	3
100	заставляет нас	1	3
101	тем что	10	3
102	одна из	2	3
103	и это	4	3
104	мифа в	1	3
105	с ним	4	3
106	до сих	2	3
107	в античной	1	3
108	уже не	11	3
109	для него	1	3
110	в современном	1	3
111	так как	11	3
112	то что	7	3
113	как у	2	3
114	и др	3	3
115	что не	1	3
116	превращается в	7	3
117	в свете	3	3
118	вместе с	22	3
119	с этой	2	3
120	сих пор	2	3
121	нет ничего	1	3
122	один из	2	3
123	одной из	1	3
124	в своих	1	3
125	к этому	2	3
126	в таком	1	3
127	относится и	1	2
128	самом деле	2	2
129	и есть	1	2
130	проникает в	1	2
131	со своими	2	2
132	я не	1	2
133	и он	6	2
134	как правило	1	2
135	в ее	4	2
136	во многом	1	2
137	так что	2	2
138	в истории	4	2
139	и наконец	1	2
140	в которой	4	2
141	во многих	1	2
142	и если	1	2
143	едва ли	1	2
144	сердце и	1	2
145	и по	2	2
146	не считать	2	2
147	при помощи	7	2
148	особенно в	2	2
149	известно что	1	2
150	он же	2	2
151	которой он	2	2
152	такой же	2	2
153	зато в	1	2
154	и еще	1	2
155	в отличие	1	2
156	их в	3	2
157	что этот	2	2
158	героем и	2	2
159	не менее	4	2
160	как о	1	2
161	я буду	1	2
162	на него	8	2
163	в процессе	1	2
164	в русской	3	2
165	он еще	1	2
166	другой стороны	8	2
167	с полным	1	2
168	что на	1	2
169	однако это	1	2
170	мы узнаем	2	2
171	могут быть	6	2
172	так в	2	2
173	приводит к	1	2
174	роль в	2	2
175	сводится к	1	2
176	и что	8	2
177	что его	3	2
178	восходит к	1	2
179	и только	1	2
180	всяком случае	1	2
181	в ту	1	2
182	в которую	2	2
183	в литературе	1	2
184	д и	1	2
185	только в	7	2
186	и ее	1	2
187	не мешает	1	2
188	себя в	6	2
189	и у	1	2
190	уже в	2	2
191	героя с	1	2
192	в виде	9	2
193	на ней	2	2
194	или даже	1	2
195	и других	2	2
196	из них	2	2
197	его и	2	2
198	не так	1	2
199	в одном	1	2
200	вовсе не	2	2
201	друг друга	3	2
202	отличие от	1	2
203	брак с	1	2
204	с другой	9	2
205	не было	1	2
206	и вообще	3	2
207	в частности	7	2
208	не знал	2	2
209	него в	1	2
210	только для	1	2
211	и тогда	1	2
212	в наше	2	2
213	это уже	2	2
214	в руки	1	2
215	в основе	1	2
216	с другими	4	2
217	видим в	1	2
218	связь с	8	2
219	но если	1	2
220	героя и	3	2
221	из этого	1	2
222	сам в	2	2
223	но эти	3	2
224	а я	1	2
225	в искусстве	1	2
226	уже после	2	2
227	во всяком	1	2
228	дальнейшем когда	1	1
229	вряд ли	1	1
230	ту же	2	1
231	на другой	1	1
232	переход от	1	1
233	свою жену	1	1
234	нас на	1	1
235	из его	1	1
236	почти всегда	1	1
237	приходит к	1	1
238	мы уже	4	1
239	той же	1	1
240	еще нет	1	1
241	общества и	1	1
242	что уже	1	1
243	большую роль	1	1
244	на место	1	1
245	не вполне	1	1
246	на себя	3	1
247	мы получаем	1	1
248	мы и	2	1
249	то это	3	1
250	же что	1	1
251	себя из	1	1
252	свою очередь	1	1
253	и побежал	1	1
254	быть в	1	1
255	не был	1	1
256	во всех	2	1
257	не без	1	1
258	этого героя	1	1
259	и и	1	1
260	о смерти	1	1
261	но как	1	1
262	и всякий	1	1
263	если в	3	1
