1	у нас	2	3
2	все это	3	2
3	в ней	3	2
4	и не	18	2
5	можно было	2	2
6	и в	26	1
7	все же	6	1
8	на самом	3	1
9	не только	24	1
10	заставляет думать	1	1
11	таким образом	23	1
12	нельзя не	2	1
13	об этом	3	1
14	также что	1	1
15	от значения	2	1
16	в данном	5	1
17	а не	6	1
18	остановиться на	2	1
19	было бы	6	1
20	по нашему	1	1
21	как первый	1	1
22	и о	3	1
23	представляется нам	3	1
24	прежде всего	7	1
25	если таким	1	1
26	свести к	1	1
27	кроме того	1	1
28	систематического изложения	1	1
29	и во	4	1
30	теоретической и	1	1
31	как часть	1	1
32	то как	2	1
33	отнюдь не	1	1
34	является изучение	1	1
35	так и	3	1
36	из своей	1	1
37	в речи	5	1
38	говорить о	1	1
39	меньшей мере	1	1
40	к ней	2	1
41	и потому	3	1
42	между ними	3	1
43	одной из	4	1
44	говорить не	1	1
45	никак не	5	1
46	всего в	2	1
47	во всяком	2	1
48	и ее	2	1
49	на которой	1	1
50	как будто	1	1
51	нет но	1	1
52	еще не	4	1
53	не было	1	1
54	совершенно не	2	1
55	с другой	4	1
56	в своей	3	1
57	нашему мнению	2	1
58	почти совершенно	1	1
59	о психологическом	1	1
60	короче говоря	1	1
61	всяком случае	1	1
62	до конца	5	1
63	что все	2	1
64	вопрос о	6	1
65	в области	4	1
66	из ее	3	1
67	за пределы	1	1
68	значение слова	13	1
69	что в	12	1
70	другой стороны	1	1
