N	4gram	Medvedev_V_1	StatiiOP
1	в то же время	5	4
2	и т д но	1	4
3	том отношении что они	1	2
4	в том числе и	2	2
5	не имеет ничего общего	1	2
6	говорит о том что	1	2
7	имеет ничего общего с	1	2
8	но с другой стороны	1	2
9	но в то же	1	2
10	в том отношении что	2	2
11	уже о том что	1	1
12	по этому поводу с	1	1
13	не может быть признана	1	1
14	только в том случае	1	1
15	до сих пор не	1	1
16	никаких оснований видеть в	1	1
17	не может быть никакого	1	1
18	в том смысле что	1	1
19	мы имеем дело с	1	1
20	не говоря уже о	1	1
21	не может быть и	1	1
22	и по отношению к	1	1
23	в той или иной	1	1
24	только в том что	1	1
25	именно в том что	1	1
26	в этой области не	1	1
27	так же как и	1	1
28	может быть и речи	1	1
29	ответ на этот вопрос	1	1
30	и в то же	3	1
31	в то время как	1	1
