N	2gram	Tiupa_Anal_2	KulturaY
1	и т	1	54
2	т е	2	32
3	и в	16	23
4	точки зрения	4	23
5	в том	12	22
6	не только	16	17
7	в этом	18	16
8	было бы	3	16
9	с точки	2	16
10	самом деле	1	14
11	может быть	6	14
12	в самом	6	13
13	что в	2	13
14	не менее	4	12
15	потому что	1	12
16	том что	12	11
17	можно было	3	11
18	в его	2	11
19	того что	2	11
20	а не	10	11
21	у нас	1	10
22	и не	12	10
23	еще не	2	9
24	таким образом	2	9
25	тем не	3	9
26	хотя бы	1	9
27	так как	1	9
28	прежде всего	3	9
29	лишь в	9	8
30	если бы	3	8
31	в виду	1	8
32	уже не	4	8
33	между прочим	1	8
34	как на	1	8
35	как это	6	7
36	все эти	1	7
37	в нашем	3	7
38	речи в	2	7
39	те же	2	7
40	и что	1	7
41	с другой	6	7
42	или иной	3	7
43	на фоне	3	7
44	в данном	8	7
45	слова и	1	7
46	сказать что	2	7
47	то же	4	6
48	говорить о	6	6
49	в общем	2	6
50	в силу	1	6
51	только в	4	6
52	так и	15	6
53	при этом	10	6
54	и тем	4	6
55	в их	3	6
56	ничего не	9	6
57	связи с	1	6
58	не может	4	6
59	языка в	1	6
60	могут быть	10	6
61	по себе	2	6
62	о том	7	6
63	что и	3	6
64	тот же	1	6
65	также и	1	5
66	в первом	1	5
67	как мы	3	5
68	я не	1	5
69	в чем	1	5
70	в рамках	3	5
71	независимо от	1	5
72	хотя и	4	5
73	из этих	1	5
74	как бы	10	5
75	что она	2	5
76	как и	14	5
77	не в	4	5
78	вовсе не	2	5
79	той или	3	5
80	слов и	1	5
81	в поэзии	2	5
82	тем что	3	5
83	далеко не	1	5
84	в связи	1	5
85	что же	1	5
86	тем более	1	5
87	но это	1	5
88	а в	3	5
89	совершенно не	1	5
90	того же	4	4
91	тех же	1	4
92	отношения между	1	4
93	в сущности	4	4
94	столь же	4	4
95	как в	4	4
96	в своем	4	4
97	в целом	8	4
98	этого слова	3	4
99	в своей	2	4
100	не столько	3	4
101	которые в	1	4
102	тому что	1	4
103	тем самым	4	4
104	тогда когда	1	4
105	о них	1	4
106	как раз	4	4
107	и о	1	4
108	в ее	1	4
109	данном случае	5	4
110	для нас	1	4
111	а также	7	4
112	заключается в	1	4
113	между тем	2	4
114	один из	2	4
115	с одной	5	4
116	слова в	1	4
117	не случайно	8	4
118	одной стороны	4	4
119	этом случае	4	4
120	то что	7	4
121	в таком	2	4
122	речь идет	2	3
123	я и	3	3
124	по преимуществу	4	3
125	той же	2	3
126	есть не	1	3
127	но не	4	3
128	то он	1	3
129	внутренняя форма	1	3
130	по отношению	4	3
131	очевидно что	1	3
132	отнюдь не	8	3
133	и к	5	3
134	бы и	1	3
135	бы не	1	3
136	тому же	4	3
137	но на	1	3
138	он не	2	3
139	в первую	1	3
140	с этой	1	3
141	не так	4	3
142	но если	1	3
143	и более	1	3
144	в отношении	1	3
145	она не	2	3
146	в то	2	3
147	как о	3	3
148	не имеет	2	3
149	на него	2	3
150	которые и	2	3
151	что на	3	3
152	не есть	2	3
153	только то	1	3
154	в результате	3	3
155	на вопрос	1	3
156	но и	12	3
157	это не	1	3
158	вообще и	2	3
159	этот вопрос	1	3
160	в какой	1	3
161	я в	3	3
162	уже в	1	3
163	вопроса о	1	3
164	ни в	1	3
165	именно в	3	3
166	первую очередь	1	3
167	в ряду	1	3
168	по существу	2	3
169	того или	3	3
170	этого рода	2	3
171	к тому	7	3
172	мы должны	1	3
173	что вообще	1	3
174	слово в	1	3
175	другой стороны	2	3
176	или иного	3	3
177	речи как	1	3
178	по поводу	3	3
179	таком случае	2	2
180	тем же	1	2
181	к другому	1	2
182	отношению к	4	2
183	одним и	1	2
184	бы уже	1	2
185	мы имеем	3	2
186	на себя	5	2
187	и такой	1	2
188	быть в	1	2
189	а тем	1	2
190	для обозначения	1	2
191	не все	1	2
192	отличие от	2	2
193	за пределы	4	2
194	сама по	1	2
195	языка и	2	2
196	и я	2	2
197	когда он	1	2
198	и как	1	2
199	имеет в	1	2
200	более или	1	2
201	но в	6	2
202	он в	4	2
203	литературная речь	1	2
204	в известном	1	2
205	и тот	1	2
206	как он	1	2
207	так сказать	1	2
208	если же	1	2
209	и если	3	2
210	свое время	1	2
211	состоит в	8	2
212	на этом	4	2
213	что все	2	2
214	значение в	1	2
215	его в	2	2
216	на протяжении	2	2
217	как об	1	2
218	себя внимание	3	2
219	в статье	1	2
220	такой же	1	2
221	остается в	1	2
222	или менее	1	2
223	в этих	2	2
224	из того	1	2
225	и при	1	2
226	в котором	2	2
227	в отличие	2	2
228	не как	1	2
229	своего рода	12	2
230	однако в	1	2
231	а вот	1	2
232	нас к	2	2
233	раз и	1	2
234	в таких	2	2
235	не о	2	2
236	может служить	1	2
237	дело не	2	2
238	это еще	1	2
239	слова как	1	2
240	никак не	2	2
241	в текст	2	2
242	же до	1	2
243	и такие	1	2
244	отличается от	1	2
245	слава богу	1	2
246	могут и	1	2
247	но мы	1	2
248	в пределах	9	2
249	к его	2	2
250	и здесь	1	2
251	внимание на	2	2
252	можно сказать	4	2
253	е к	2	2
254	путь к	1	2
255	известном смысле	1	2
256	сразу же	1	2
257	в двух	2	2
258	деле не	1	2
259	все они	1	2
260	в качестве	11	2
261	то и	1	2
262	который как	1	2
263	а то	2	2
264	в одном	2	2
265	образом не	1	2
266	еще и	1	2
267	один и	1	2
268	только что	1	2
269	на этот	2	2
270	не означает	1	2
271	о чем	2	2
272	в частности	16	2
273	эти слова	1	2
274	вместе с	2	2
275	так же	2	2
276	тому как	3	2
277	в тех	1	2
278	как нельзя	1	2
279	иначе говоря	11	2
280	материал для	1	2
281	еще раз	1	2
282	только для	1	2
283	все это	4	2
284	не с	4	2
285	еще более	2	2
286	надо полагать	1	2
287	не знает	3	2
288	в свое	1	2
289	и иной	2	2
290	это в	1	2
291	всей первой	1	1
292	отношения к	2	1
293	зависимость от	1	1
294	что ты	1	1
295	и то	3	1
296	значении этого	1	1
297	и должны	1	1
298	бы для	1	1
299	мере в	1	1
300	между двумя	4	1
301	жизни есть	1	1
302	на две	3	1
303	в несколько	1	1
304	или с	1	1
305	во времени	2	1
306	на место	1	1
307	никоим образом	1	1
308	именно к	1	1
309	почти все	1	1
310	достаточно привести	1	1
311	на себе	3	1
312	один к	1	1
313	в полной	1	1
314	почти исключительно	1	1
315	в изложении	2	1
316	конечно и	1	1
317	счете к	1	1
318	я здесь	1	1
319	пристрастие к	1	1
320	и на	6	1
321	иных случаях	1	1
322	в сторону	5	1
323	тогда как	19	1
324	внимание не	1	1
325	и будет	1	1
326	тут же	1	1
327	идет о	1	1
328	оказывается не	2	1
329	что касается	3	1
330	в противном	1	1
331	перед нами	1	1
332	тех случаях	1	1
333	речь со	1	1
334	как уже	3	1
335	однако на	1	1
336	в противоположность	2	1
337	зрения как	1	1
338	больше нежели	1	1
339	со своей	1	1
340	всего лишь	8	1
341	себе как	1	1
342	в которой	1	1
343	темы с	1	1
344	в главе	1	1
345	раз в	1	1
346	и отдельно	1	1
347	интересно что	1	1
348	и те	1	1
349	если он	1	1
350	можно лишь	1	1
351	последнюю роль	1	1
352	а скорее	1	1
353	известной книге	1	1
354	от которого	2	1
355	однако при	3	1
356	читателя в	4	1
357	всех этих	1	1
358	в понимании	1	1
359	в принципе	1	1
360	не к	1	1
361	переходит от	2	1
362	такой смысл	1	1
363	или иному	1	1
364	так уж	1	1
365	его от	3	1
366	так например	2	1
367	или иных	2	1
368	без исключения	1	1
369	и наоборот	2	1
370	удивительно что	3	1
371	в каждом	1	1
372	мне в	1	1
373	в другом	1	1
374	нам остается	1	1
375	и неизбежно	1	1
376	внутренней форме	1	1
377	слова или	1	1
378	от степени	1	1
379	входит в	1	1
380	ко второму	1	1
381	этом смысле	2	1
382	что один	1	1
383	все равно	1	1
384	но лишь	1	1
385	этого не	1	1
386	другое дело	1	1
387	ряда и	1	1
388	обратимся к	1	1
389	не мог	3	1
390	таким же	1	1
