N	3gram	Ircho_Kome_2	PoTuStor
1	с точки зрения	1	6
2	с самого начала	1	4
3	в этом смысле	2	3
4	до сих пор	2	3
5	по сравнению с	1	3
6	во всяком случае	2	3
7	не может быть	1	3
8	в большинстве случаев	1	3
9	в самом деле	1	2
10	о том что	4	2
11	мы можем сказать	1	2
12	одних и тех	2	1
13	и столь же	3	1
14	из сказанного становится	1	1
15	на первый план	1	1
16	бы то ни	2	1
17	и та же	1	1
18	а может быть	1	1
19	в углу комнаты	1	1
20	можно было бы	2	1
21	как это было	1	1
22	а то и	1	1
23	время и на	1	1
24	может привести к	1	1
25	вместе с тем	4	1
26	и тех же	2	1
27	так как он	1	1
28	же что и	1	1
29	в жизни мы	1	1
30	то ни было	2	1
31	с одной стороны	2	1
32	в связи с	3	1
33	имеем дело с	1	1
34	мало общего с	1	1
35	в том что	5	1
36	нельзя сказать о	1	1
37	а вместе с	1	1
38	так и в	1	1
39	связи с этим	1	1
40	одна и та	1	1
41	в каком направлении	1	1
42	таким образом и	1	1
43	в философии и	1	1
44	друг с другом	2	1
45	для того чтобы	4	1
46	можем сказать что	1	1
47	может быть даже	1	1
48	как мы знаем	1	1
49	той или иной	1	1
