N	3gram	Propp_Isto_2	Problemy
1	на самом деле	2	10
2	с самого начала	2	8
3	не может быть	2	6
4	по отношению к	3	5
5	и прежде всего	1	4
6	в высшей степени	1	3
7	с другой стороны	2	3
8	и в нем	1	3
9	может быть даже	1	3
10	смысле этого слова	1	2
11	подобно тому как	3	2
12	в этом случае	5	2
13	вместе с тем	5	2
14	в отличие от	1	2
15	а может быть	1	2
16	о том что	2	2
17	тем не менее	1	2
18	друг с другом	1	2
19	к тому же	2	2
20	мы увидим что	3	2
21	и т д	18	2
22	этот момент и	1	1
23	т д и	2	1
24	да и то	1	1
25	так что он	1	1
26	до сих пор	6	1
27	их друг с	1	1
28	к ней с	1	1
29	что он не	4	1
30	он должен быть	1	1
31	на одно мгновение	1	1
32	за то что	1	1
33	с которыми он	1	1
34	почти никогда не	1	1
35	выдает себя за	1	1
36	со всех сторон	4	1
37	несмотря на то	1	1
38	и пр в	1	1
39	главным образом в	1	1
40	и ничего не	2	1
41	и то же	1	1
42	все как будто	1	1
43	и она это	1	1
44	мы можем сказать	1	1
45	то что он	1	1
46	потому что они	1	1
47	мы видели что	1	1
48	и не хочет	1	1
49	этого не может	1	1
50	мы видели также	1	1
51	и вместе с	2	1
52	и не должен	1	1
53	с обратным знаком	1	1
54	не только не	1	1
55	но все эти	1	1
56	друг друга но	1	1
57	по его мнению	1	1
58	за что же	1	1
59	но все же	4	1
60	на то что	2	1
61	это как бы	1	1
62	уже с самого	2	1
63	в том что	5	1
64	можем сказать что	1	1
65	что он на	1	1
66	и в другом	1	1
