N	4gram	Losev_Prob_1	Psycholo
1	заключается в том что	1	4
2	одно и то же	1	3
3	одним и тем же	1	3
4	не что иное как	2	2
5	сводится к тому что	1	2
6	одного и того же	2	2
7	указывает на то что	3	2
8	ни одного автора который	1	1
9	что в конце концов	1	1
10	одного автора который бы	1	1
11	в то время как	1	1
12	которых мы говорили выше	1	1
13	и в самом деле	1	1
14	о которых мы говорили	1	1
15	именно на то что	1	1
16	дело в том что	3	1
17	именно то что он	1	1
18	то же самое мы	1	1
19	мы и хотели бы	1	1
20	на то что в	1	1
21	так же как и	1	1
22	не только то что	1	1
23	и что в нем	2	1
24	иметь в виду то	1	1
25	по одному тому что	1	1
