N	2gram	Vinokur_St_2	Tragedij
1	и в	29	18
2	в романе	4	10
3	в году	3	9
4	в этом	21	9
5	не только	19	8
6	он сам	1	7
7	и с	4	7
8	и на	6	7
9	может быть	2	7
10	как бы	5	7
11	и не	9	7
12	но в	8	6
13	и его	6	6
14	в образе	3	6
15	же время	1	6
16	что он	13	6
17	у него	1	6
18	то же	2	5
19	все же	6	5
20	что это	3	5
21	как и	2	5
22	несмотря на	2	5
23	в то	2	5
24	так и	9	5
25	это очень	2	5
26	не может	2	5
27	а я	1	5
28	я не	7	4
29	еще не	1	4
30	в себе	2	4
31	в этой	2	4
32	в нем	4	4
33	презрение к	1	4
34	об этом	6	4
35	том что	27	4
36	что я	2	4
37	и что	6	4
38	но и	19	4
39	и даже	3	4
40	прежде всего	5	4
41	так же	3	4
42	но это	3	4
43	все это	11	4
44	что в	19	4
45	и все	1	4
46	то что	11	4
47	и он	3	3
48	своего рода	5	3
49	как в	3	3
50	в своем	9	3
51	и как	2	3
52	все эти	2	3
53	при этом	2	3
54	что с	2	3
55	о чем	5	3
56	в поле	1	3
57	что вы	1	3
58	и сам	2	3
59	iii в	1	3
60	в его	13	3
61	один из	1	3
62	романа и	1	3
63	уже в	1	3
64	для него	4	3
65	в конце	2	3
66	как будто	1	3
67	как это	2	3
68	что за	2	3
69	если б	4	2
70	вряд ли	3	2
71	в первом	1	2
72	и до	1	2
73	а как	4	2
74	никогда не	3	2
75	и то	1	2
76	он был	2	2
77	не был	3	2
78	столь же	1	2
79	с его	2	2
80	отношение к	1	2
81	отличие от	2	2
82	тут же	1	2
83	не просто	1	2
84	так что	3	2
85	и я	2	2
86	как говорит	2	2
87	это был	2	2
88	говорит что	1	2
89	в самом	7	2
90	в письмах	2	2
91	то и	1	2
92	мудрено что	1	2
93	по словам	4	2
94	он не	9	2
95	что она	1	2
96	но все	7	2
97	что все	1	2
98	его в	2	2
99	в это	2	2
100	ни в	3	2
101	нет в	1	2
102	с тем	7	2
103	не мог	3	2
104	в отличие	2	2
105	вопрос о	6	2
106	одном из	3	2
107	права на	1	2
108	не в	4	2
109	что этот	2	2
110	но они	2	2
111	одна из	1	2
112	не имеет	2	2
113	не могут	1	2
114	его за	1	2
115	он и	1	2
116	к тому	10	2
117	и это	2	2
118	в ее	2	2
119	данном случае	1	2
120	сей день	1	2
121	не за	1	2
122	еще в	2	2
123	не мудрено	1	2
124	как у	3	2
125	а что	1	2
126	ничего не	4	2
127	и здесь	3	2
128	о том	17	2
129	что и	2	2
130	в том	27	2
131	который в	1	2
132	по мнению	1	2
133	на всем	2	2
134	не так	1	2
135	в известной	1	2
136	в одном	6	2
137	не случайно	1	2
138	на меня	2	2
139	тем что	3	2
140	чем он	2	2
141	только к	2	2
142	говорит о	2	2
143	до конца	3	2
144	ничем не	1	2
145	было в	1	2
146	в данном	2	2
147	очень важно	1	2
148	еще раз	1	2
149	потому что	9	2
150	в частности	4	2
151	только о	2	2
152	по поводу	8	2
153	в таком	1	2
154	точно так	1	2
155	собрания сочинений	1	1
156	а между	1	1
157	ту же	1	1
158	и т	9	1
159	одним из	6	1
160	например в	3	1
161	с жизнью	1	1
162	сам по	1	1
163	и др	2	1
164	самом деле	3	1
165	к своей	1	1
166	это и	1	1
167	что когда	1	1
168	за все	1	1
169	смысл этого	2	1
170	в какой-то	1	1
171	высшей степени	1	1
172	века в	1	1
173	той же	1	1
174	то для	1	1
175	смотреть на	1	1
176	xvii века	1	1
177	которую я	1	1
178	поле в	1	1
179	не вполне	1	1
180	на себя	3	1
181	вместо того	1	1
182	событий и	1	1
183	с рукописью	1	1
184	средство для	1	1
185	в виду	7	1
186	подчеркнуть что	3	1
187	в сцене	7	1
188	в ней	7	1
189	что судьба	1	1
190	литературы и	1	1
191	представляет собой	1	1
192	он объявил	1	1
193	это же	1	1
194	в чем	1	1
195	на другой	1	1
196	но не	3	1
197	могло быть	3	1
198	но как	1	1
199	в голове	1	1
200	всем его	1	1
201	что роман	1	1
202	жизни своей	1	1
203	свою трагедию	12	1
204	тогда как	2	1
205	в комментариях	2	1
206	за пределы	1	1
207	его романа	1	1
208	к сожалению	2	1
209	чем же	1	1
210	в истории	2	1
211	что именно	2	1
212	вот как	1	1
213	мысль о	1	1
214	новую жизнь	1	1
215	из книги	3	1
216	стиля и	1	1
217	силе и	1	1
218	именно эта	1	1
219	и хотя	1	1
220	чего же	1	1
221	в которой	11	1
222	при создании	1	1
223	знать и	1	1
224	из соображений	1	1
225	только один	1	1
226	этого образа	2	1
227	как он	2	1
228	и если	1	1
229	вообще не	3	1
230	идей и	1	1
231	чем для	1	1
232	одному из	1	1
233	пушкина и	9	1
234	перестает быть	1	1
235	которой не	1	1
236	и еще	1	1
237	его кажется	1	1
238	к одному	1	1
239	не к	2	1
240	не как	1	1
241	в россии	3	1
242	теперь еще	1	1
243	и по	3	1
244	на этом	1	1
245	на свете	1	1
246	таким образом	10	1
247	этом варианте	1	1
248	а затем	2	1
249	факт что	6	1
250	ввел в	1	1
251	за то	3	1
252	в другом	4	1
253	конечно в	2	1
254	обратился к	1	1
255	на все	1	1
256	не нашел	2	1
257	это было	2	1
258	заключается в	1	1
259	обоих случаях	1	1
260	известно что	1	1
261	быть не	1	1
262	а это	1	1
263	лишь на	1	1
264	и презрение	1	1
265	годунова и	6	1
266	который сам	1	1
267	был вполне	1	1
268	борьбе за	2	1
269	повод для	1	1
270	но уже	1	1
271	в них	2	1
272	в высшей	1	1
273	что ему	3	1
274	а за	1	1
275	мы располагаем	1	1
276	для чего	1	1
277	говорится о	1	1
278	с такой	1	1
279	в развитии	1	1
280	все как	1	1
281	но я	1	1
282	не выдерживает	1	1
283	но если	1	1
284	в своей	7	1
285	к истории	2	1
286	в котором	7	1
287	не столько	7	1
288	представление о	1	1
289	в черновиках	1	1
290	значение для	1	1
291	сам же	1	1
292	объявил себя	1	1
293	но он	3	1
294	тем не	2	1
295	борьбу с	2	1
296	не могли	2	1
297	по себе	3	1
298	в журнале	1	1
299	тому что	7	1
300	в эпилоге	1	1
301	несовместимое с	1	1
302	эту сцену	1	1
303	не менее	3	1
304	вплоть до	1	1
305	не раз	2	1
306	xviii века	2	1
307	что эта	3	1
308	она не	1	1
309	в обоих	3	1
310	самого начала	3	1
311	того как	7	1
312	него была	1	1
313	не моя	1	1
314	как его	1	1
315	например что	2	1
316	нельзя ли	1	1
317	но только	1	1
318	он с	1	1
319	только не	2	1
320	и всегда	2	1
321	живых картин	1	1
322	васильевского острова	1	1
323	говорит в	1	1
324	к ней	1	1
325	он пытался	1	1
326	не читал	1	1
327	для нас	1	1
328	и теперь	2	1
329	связи с	4	1
330	был так	1	1
331	является ли	1	1
332	что на	3	1
333	в области	2	1
334	в стиле	1	1
335	и далее	1	1
336	в трагедии	17	1
337	по нашему	1	1
338	в момент	1	1
339	в газетах	1	1
340	что оно	1	1
341	трагедию с	2	1
342	всего что	1	1
343	признается что	1	1
344	с жаром	1	1
345	что при	1	1
346	утверждать что	2	1
347	где он	2	1
348	как мы	1	1
349	и о	4	1
350	у себя	1	1
351	того чтобы	6	1
352	ноты в	1	1
353	с самого	3	1
354	поэмы пушкина	2	1
355	роль в	1	1
356	с собой	1	1
357	можно было	1	1
358	на нее	3	1
359	не нравится	1	1
360	в борьбе	1	1
361	во многом	2	1
362	и глубоким	1	1
363	по сравнению	1	1
364	а там	1	1
365	в последней	1	1
366	в диалог	1	1
367	на них	1	1
368	в эпоху	1	1
369	говорил что	1	1
370	похожим на	1	1
371	а по	1	1
372	вот почему	1	1
373	на вопрос	3	1
374	под маской	1	1
375	после того	4	1
376	с того	1	1
377	и который	2	1
378	а также	2	1
379	внешней формы	1	1
380	от него	1	1
381	связь между	1	1
382	между тем	5	1
383	ума и	1	1
384	нуждается в	1	1
385	отметить что	2	1
386	самозванца в	2	1
387	в форме	1	1
388	романа в	1	1
389	какой-то мере	1	1
390	все время	1	1
391	и первое	1	1
392	для самого	1	1
393	х годов	1	1
394	того что	5	1
395	нашел в	1	1
396	критики в	1	1
397	о рассказе	1	1
398	казалось что	1	1
399	и дело	2	1
400	согласиться с	1	1
401	с ними	1	1
402	только в	2	1
403	бы может	1	1
404	в самое	1	1
405	вот что	3	1
406	и унижения	1	1
407	только на	1	1
408	что писал	2	1
409	в общем	3	1
410	одно из	1	1
411	на первую	1	1
412	и их	1	1
413	всяком случае	3	1
414	бориса годунова	74	1
415	могло бы	1	1
416	т п	3	1
417	не для	1	1
418	это слова	1	1
419	и вместе	1	1
420	для публики	1	1
421	не понял	1	1
422	и герои	1	1
423	в особенности	2	1
424	таком виде	1	1
425	даже не	1	1
426	и низким	1	1
427	именно в	4	1
428	в каких	1	1
429	под заглавием	1	1
430	естественно что	1	1
431	только по	2	1
432	не было	3	1
433	и стал	1	1
434	а на	1	1
435	попал в	1	1
436	на этот	2	1
437	не верит	1	1
438	за год	1	1
