N	3gram	Bakhtin_Fr_7	RusskieA
1	в том что	3	15
2	в связи с	1	4
3	о том что	1	4
4	с точки зрения	3	3
5	что иное как	1	2
6	что в этом	1	2
7	и связанные с	1	2
8	в это время	1	2
9	в свою очередь	3	2
10	в большинстве случаев	2	2
11	после того как	4	2
12	по этому поводу	1	2
13	не что иное	1	2
14	потому что он	1	1
15	а следовательно и	2	1
16	не без основания	1	1
17	с таким же	1	1
18	как мы видим	3	1
19	по отношению к	2	1
20	на самом деле	1	1
21	не совсем точно	1	1
22	на самом же	1	1
23	в этом отношении	2	1
24	можно было бы	2	1
25	на этот вопрос	1	1
26	и у других	1	1
27	тогда как в	1	1
28	не только в	1	1
29	она не имеет	1	1
30	это та же	1	1
31	и другие подобные	1	1
32	имеет ничего общего	1	1
33	и в этом	1	1
34	о том чтобы	1	1
35	не только для	1	1
36	во всяком случае	1	1
37	по содержанию своему	1	1
38	и в том	1	1
39	самом же деле	1	1
40	не имеет ничего	1	1
41	это не совсем	1	1
42	мы уже знаем	1	1
43	так например в	1	1
44	были связаны с	1	1
45	ничего общего с	1	1
46	в одном из	1	1
47	с тем что	1	1
48	но есть и	1	1
49	здесь говорится о	1	1
50	на другой день	1	1
51	во второй половине	1	1
52	как мы уже	1	1
53	мы видим что	1	1
54	второй половине xix	1	1
55	и так называемый	1	1
56	как и в	2	1
57	из них в	1	1
58	один из самых	1	1
59	мы увидим что	1	1
60	в данном случае	1	1
61	как мы видели	4	1
