N	2gram	Losev_Dial_1	Freidism
1	таким образом	1	24
2	и не	30	23
3	– это	9	21
4	не может	12	20
5	точки зрения	17	19
6	прежде всего	10	18
7	в этом	12	15
8	в его	3	15
9	и пр	5	15
10	это –	24	14
11	в душе	1	13
12	мы можем	4	13
13	может быть	17	13
14	и его	1	12
15	все эти	2	11
16	как и	2	11
17	с точки	12	11
18	– в	4	11
19	как бы	11	11
20	то что	13	11
21	самом деле	3	10
22	но в	6	10
23	его в	1	10
24	с ним	6	10
25	как мы	4	10
26	так и	9	10
27	и потому	3	10
28	во всех	1	9
29	и в	18	9
30	то же	10	8
31	не только	13	8
32	он не	3	8
33	в своей	2	8
34	еще не	2	8
35	что он	11	8
36	только в	3	8
37	так как	11	8
38	все это	11	8
39	и все	3	8
40	все что	1	8
41	в самом	3	7
42	мы уже	1	7
43	отношение к	5	7
44	и наконец	1	7
45	ни в	15	7
46	к нему	8	7
47	один из	3	7
48	всяком случае	2	7
49	что же	3	7
50	– не	11	7
51	сказать что	10	7
52	во всяком	4	7
53	в ней	3	6
54	и с	5	6
55	точку зрения	3	6
56	– все	6	6
57	того что	2	6
58	для него	2	6
59	вовсе не	7	6
60	никогда не	9	6
61	хотя бы	6	6
62	совершенно не	8	6
63	– как	5	6
64	я и	1	5
65	на самом	3	5
66	он сам	5	5
67	в чем	6	5
68	и к	1	5
69	в этой	1	5
70	что такое	10	5
71	знаем что	1	5
72	не в	6	5
73	мы должны	5	5
74	в то	6	5
75	в каком	8	5
76	могут быть	3	5
77	для этого	2	5
78	но мы	1	5
79	можно сказать	6	5
80	для того	2	5
81	во внешнем	1	5
82	а в	5	5
83	оно –	3	5
84	но и	7	5
85	с этим	2	5
86	его жизни	1	5
87	что в	13	5
88	той же	1	4
89	мы не	1	4
90	в которой	1	4
91	говорить о	5	4
92	я не	5	4
93	совсем не	1	4
94	но не	4	4
95	же –	2	4
96	все же	5	4
97	не было	6	4
98	из этих	2	4
99	с их	1	4
100	в нем	16	4
101	всех этих	3	4
102	на этом	2	4
103	связанные с	2	4
104	при этом	1	4
105	об этом	4	4
106	с другими	2	4
107	в жизни	1	4
108	– один	1	4
109	– только	1	4
110	не менее	2	4
111	в основе	3	4
112	же время	4	4
113	потому что	14	4
114	и для	2	4
115	к тому	4	4
116	если мы	2	4
117	того чтобы	1	4
118	характер и	1	4
119	с самого	1	4
120	– и	3	4
121	другими словами	2	4
122	с ними	2	4
123	конечно не	3	4
124	уже не	2	4
125	не дает	1	4
126	в котором	4	4
127	мы находим	7	4
128	как раз	4	4
129	от того	1	4
130	и др	1	4
131	в данном	3	4
132	и о	3	4
133	сознания и	3	4
134	в этих	5	4
135	между ними	1	4
136	в последнем	1	4
137	в таком	1	4
138	в объективном	1	3
139	и есть	16	3
140	теперь мы	1	3
141	на себя	1	3
142	а только	3	3
143	один и	1	3
144	как в	2	3
145	и той	1	3
146	и как	7	3
147	этой теории	1	3
148	сказать о	1	3
149	учение о	11	3
150	в себе	11	3
151	главным образом	1	3
152	и вот	6	3
153	одной и	1	3
154	и по	1	3
155	что все	1	3
156	выражение и	1	3
157	и может	2	3
158	зрения на	1	3
159	было бы	12	3
160	уже знаем	1	3
161	мы имеем	2	3
162	такой же	2	3
163	нисколько не	4	3
