N	2gram	Voloshinov_1	Freidism
1	таким образом	17	24
2	и не	26	23
3	– это	8	21
4	не может	24	20
5	точки зрения	34	19
6	прежде всего	13	18
7	в этом	16	15
8	в его	6	15
9	и пр	12	15
10	это –	4	14
11	с помощью	6	14
12	мы можем	2	13
13	может быть	26	13
14	и его	19	12
15	все эти	7	11
16	как и	12	11
17	с точки	20	11
18	– в	10	11
19	как бы	15	11
20	то что	8	11
21	самом деле	10	10
22	но в	7	10
23	его в	3	10
24	как мы	13	10
25	так и	11	10
26	и потому	5	10
27	с его	1	9
28	во всех	7	9
29	по отношению	3	9
30	и в	19	9
31	в сознание	1	9
32	то же	7	8
33	не только	8	8
34	он не	3	8
35	в своей	3	8
36	еще не	4	8
37	оно и	1	8
38	что он	2	8
39	только в	9	8
40	так как	2	8
41	все это	3	8
42	психической жизни	4	8
43	и все	5	8
44	отношению к	2	8
45	в самом	10	7
46	мы уже	2	7
47	отношение к	1	7
48	и наконец	1	7
49	ни в	2	7
50	мы видели	1	7
51	те же	5	7
52	к нему	1	7
53	тот же	4	7
54	мы знаем	5	7
55	всяком случае	2	7
56	что же	4	7
57	– не	6	7
58	сказать что	4	7
59	во всяком	5	7
60	в ней	4	6
61	за пределы	5	6
62	так сказать	6	6
63	и с	2	6
64	и ее	3	6
65	точку зрения	2	6
66	– все	3	6
67	того что	3	6
68	для него	9	6
69	вовсе не	5	6
70	никогда не	2	6
71	хотя бы	5	6
72	совершенно не	3	6
73	– как	2	6
74	на самом	3	5
75	и на	4	5
76	он сам	1	5
77	в чем	2	5
78	и к	3	5
79	в этой	1	5
80	что такое	2	5
81	не в	5	5
82	мы должны	3	5
83	в то	3	5
84	сознанием и	1	5
85	в каком	3	5
86	могут быть	2	5
87	для этого	1	5
88	индивидуальной психики	3	5
89	можно сказать	3	5
90	для того	4	5
91	во внешнем	2	5
92	в большинстве	3	5
93	большинстве случаев	3	5
94	и прежде	2	5
95	а в	4	5
96	оно –	1	5
97	но и	8	5
98	с этим	4	5
99	его жизни	1	5
100	в свою	2	5
101	что в	4	5
102	той же	2	4
103	мы не	6	4
104	в которой	3	4
105	говорить о	1	4
106	зависимости от	2	4
107	совсем не	1	4
108	но не	1	4
