N	2gram	Bakhtin_fo_2	NovoeSre
1	а не	4	17
2	и в	46	16
3	не может	2	16
4	совсем не	2	12
5	и не	9	11
6	и есть	2	10
7	в эпоху	4	9
8	что в	5	9
9	как не	1	8
10	в том	10	8
11	жизни и	8	8
12	он не	5	8
13	культуры и	1	7
14	в этом	22	7
15	в новой	1	7
16	может быть	7	7
17	как и	8	7
18	это есть	1	7
19	средние века	3	7
20	с его	1	6
21	от бога	1	6
22	не в	9	6
23	ни в	1	6
24	никогда не	6	6
25	лишь в	2	6
26	но это	2	6
27	не знает	2	6
28	должен быть	1	5
29	с ее	1	5
30	в ней	1	5
31	и к	2	5
32	не только	11	5
33	все это	6	5
34	в нем	5	5
35	со всех	1	4
36	большую роль	1	4
37	о том	4	4
38	всех сторон	1	4
39	и xx	1	4
40	xix и	1	4
41	в час	2	4
42	эпохи и	2	4
43	перестает быть	2	4
44	в них	7	4
45	то что	7	4
46	это не	2	4
47	прежде всего	14	4
48	не было	3	4
49	должно быть	5	4
50	и потому	2	4
51	по своему	2	4
52	значит что	2	4
53	и для	9	4
54	не имеет	1	4
55	и все	6	4
56	потому что	8	4
57	с другой	2	3
58	смысле слова	2	3
59	в ее	1	3
60	в средние	3	3
61	должна быть	1	3
62	вопрос о	1	3
63	человека и	4	3
64	еще не	6	3
65	во всех	11	3
66	за пределы	1	3
67	в истории	4	3
68	наряду с	2	3
69	как в	4	3
70	xx веков	1	3
71	конечно не	4	3
72	не значит	1	3
73	к ним	2	3
74	в мире	4	3
75	но и	9	3
76	это было	1	3
77	и пр	2	3
78	стремится к	1	3
79	с тем	2	3
80	бога и	2	3
81	в своей	1	3
82	в новое	1	3
83	к реальному	3	3
84	в прошлом	3	3
85	она не	2	3
86	эти формы	2	3
87	революции и	1	3
88	в основе	6	3
89	жизни в	4	3
90	в духе	2	3
91	к тому	3	3
92	в наши	1	3
93	сказать что	1	3
94	которых не	1	2
95	и это	2	2
96	более не	1	2
97	это и	1	2
98	время как	1	2
99	роль в	3	2
100	не имеют	1	2
101	для нового	2	2
102	к созданию	1	2
103	так и	7	2
104	природе и	1	2
105	времени и	1	2
106	к самой	1	2
107	мы не	1	2
108	общества и	1	2
109	мира и	9	2
110	и с	6	2
111	жизни как	2	2
112	и должно	2	2
113	вот почему	1	2
114	и что	1	2
115	и на	7	2
116	времени в	7	2
117	на протяжении	3	2
118	но не	5	2
119	века и	2	2
120	с этим	5	2
121	хотя и	3	2
122	но в	10	2
123	все эти	5	2
124	с одной	2	2
125	себя в	1	2
