N	3gram	Potebnia_M_1	Literetu
1	то же время	3	7
2	в то же	3	7
3	в этом отношении	1	5
4	по отношению к	13	4
5	не говоря уже	1	4
6	с одной стороны	3	4
7	о том что	1	4
8	в том что	13	4
9	с точки зрения	3	3
10	говоря уже о	1	3
11	не может быть	9	3
12	подобно тому как	3	2
13	одной стороны и	1	2
14	потому что не	4	2
15	не в одном	1	2
16	бы то ни	2	2
17	но и в	4	2
18	из того что	1	2
19	не только в	3	2
20	то ни было	1	2
21	с другой стороны	5	2
22	и тем самым	1	2
23	в одном из	1	2
24	на то что	1	2
25	что иное как	2	1
26	на самом деле	1	1
27	и там где	1	1
28	не может как	1	1
29	друг от друга	2	1
30	и не только	1	1
31	что по мнению	2	1
32	более того что	1	1
33	только в том	6	1
34	но не в	1	1
35	то что в	1	1
36	и т п	2	1
37	но это не	1	1
38	с тех пор	1	1
39	может быть только	1	1
40	там где есть	1	1
41	не что иное	2	1
42	может быть не	1	1
43	в нас самих	1	1
44	в этом с	1	1
45	нет дела до	1	1
46	но при этом	1	1
47	и при этом	2	1
48	не только для	2	1
49	и потому не	1	1
50	в этих словах	1	1
51	в связи с	1	1
52	вопрос о том	1	1
53	для того чтобы	2	1
54	и в том	3	1
55	между тем как	1	1
56	что несмотря на	1	1
57	субъекта и объекта	4	1
58	этой точки зрения	1	1
59	более или менее	1	1
60	начинается там где	1	1
61	в свою очередь	4	1
62	но и для	2	1
63	не только не	2	1
64	при этом не	1	1
65	до какой степени	1	1
66	жизни человеческого духа	1	1
67	с этой точки	1	1
68	к тому что	2	1
69	легко может быть	1	1
70	сама по себе	3	1
71	тем не менее	6	1
72	быть не может	2	1
73	можно быть только	1	1
