1	с одной стороны	4	7
2	с точки зрения	2	6
3	более или менее	1	5
4	по крайней мере	3	5
5	друг с другом	1	5
6	к тому же	4	4
7	о том что	6	4
8	тем не менее	3	3
9	в том что	6	3
10	точно так же	1	3
11	так или иначе	1	3
12	в связи с	1	3
13	не только для	1	2
14	этой точки зрения	1	2
15	и в этом	4	2
16	с этой точки	1	2
17	в этом отношении	3	2
18	то же самое	1	2
19	в то же	2	2
20	но и для	1	2
21	той или иной	3	2
22	можно сказать что	1	2
23	то же время	2	2
24	на то что	2	2
25	в себе не	1	1
26	в рамках определенной	1	1
27	сказать и о	1	1
28	не совпадает с	1	1
29	в одну из	1	1
30	самое следует сказать	1	1
31	в отличие от	2	1
32	сами по себе	1	1
33	из них не	1	1
34	в данном случае	5	1
35	а между тем	1	1
36	том или ином	2	1
37	и тот же	1	1
38	в первую очередь	1	1
39	и т.д в	1	1
40	не может быть	1	1
41	на этот раз	1	1
42	речь идет о	1	1
43	несмотря на его	1	1
44	сказать что в	1	1
45	между нами и	1	1
46	в самом деле	1	1
47	в свою очередь	1	1
48	в том или	2	1
49	а в том	1	1
50	есть то самое	1	1
51	в таком случае	2	1
52	состоит в том	4	1
53	как и ее	1	1
54	с другой стороны	2	1
55	только то что	1	1
56	следует сказать и	1	1
57	в соответствии с	2	1
58	крайней мере в	1	1
59	по отношению к	4	1
60	не только не	2	1
61	до известной степени	1	1
62	свидетельствует о том	1	1
