N	2gram	Berdyaev_N_1	EvropaiC
1	в том	8	31
2	и в	16	24
3	том что	2	20
4	все эти	2	19
5	не может	16	18
6	то что	4	17
7	может быть	7	15
8	в этом	7	12
9	сих пор	1	12
10	до сих	1	12
11	в своем	1	12
12	с этим	2	11
13	все это	5	11
14	так и	2	10
15	во всех	3	10
16	культуры и	7	10
17	культуры в	5	10
18	все что	1	10
19	как и	7	9
20	того же	1	9
21	что в	9	9
22	так же	2	8
23	и все	4	8
24	не в	6	8
25	в самом	1	8
26	о том	4	7
27	для этого	2	7
28	не менее	4	7
29	по существу	2	7
30	того чтобы	2	7
31	по своей	1	7
32	к тому	3	7
33	и не	11	7
34	из этих	1	7
35	в силу	1	7
36	для того	1	7
37	но и	3	7
38	и что	2	7
39	что он	1	7
40	еще не	3	6
41	как на	1	6
42	должна быть	3	6
43	с ним	1	6
44	вместе с	2	6
45	только в	1	6
46	в этой	1	6
47	и на	2	6
48	в мире	3	6
49	народов и	1	6
50	с другой	3	6
51	все они	2	6
52	так как	1	6
53	в которой	1	5
54	случае если	1	5
55	в себе	2	5
56	и с	2	5
57	ничем не	1	5
58	не будет	7	5
59	и для	4	5
60	и их	1	5
61	и истории	1	5
62	у него	2	5
63	но все	1	5
64	потому что	4	5
65	и от	2	5
66	и к	5	5
67	лишь в	6	5
68	в то	2	5
69	что все	2	5
70	по своему	4	5
71	другой стороны	2	5
72	в его	1	5
73	из всех	1	5
74	но в	2	5
75	как будто	2	5
76	не только	5	5
77	культуру и	1	4
78	в состоянии	1	4
79	это есть	7	4
80	совершенно так	1	4
81	что его	1	4
82	том случае	1	4
83	хотя бы	2	4
84	в конце	1	4
85	в области	1	4
86	социальной жизни	1	4
87	своем развитии	1	4
88	и культур	1	4
89	никогда не	6	4
90	культуре и	1	4
91	хотя и	2	4
92	мы должны	1	4
93	и сейчас	1	4
94	должно быть	4	4
95	мы уже	1	4
96	в одну	2	4
97	не могут	1	4
98	и культуры	2	4
99	он не	8	4
100	в такой	1	4
101	и у	1	4
102	из них	1	4
103	не есть	3	4
104	во имя	15	3
105	вопрос о	3	3
106	должны быть	1	3
107	прежде всего	4	3
108	народ не	1	3
109	в эти	1	3
110	в жизни	5	3
111	в нем	5	3
112	и того	1	3
113	а в	2	3
114	это не	4	3
115	в этих	1	3
116	отличие от	1	3
117	одного и	1	3
118	у нас	1	3
119	можно назвать	2	3
120	во всем	1	3
121	и потому	4	3
122	в истории	3	3
123	историческую эпоху	1	3
124	же как	2	3
125	от того	1	3
126	с одной	2	3
127	то они	1	3
128	с тем	3	3
129	и это	2	3
130	конечно не	3	3
131	что мы	1	3
132	гораздо больше	1	3
133	к таким	1	2
134	и из	1	2
135	которые могут	1	2
136	в них	4	2
137	себя и	1	2
138	эти черты	1	2
139	но не	2	2
140	не знает	6	2
141	к той	1	2
142	во всяком	1	2
143	говорить о	1	2
144	приобщиться к	2	2
145	а это	1	2
146	нет в	1	2
147	не было	4	2
148	понять что	1	2
149	есть в	2	2
150	народ а	1	2
151	к нему	1	2
152	быть признана	1	2
153	можно лишь	1	2
154	антропологии и	1	2
155	истории все	2	2
156	борьбы за	1	2
157	это конечно	1	2
158	в ней	5	2
159	заключает в	1	2
160	в эту	1	2
161	том и	2	2
162	и только	1	2
163	что она	2	2
164	как не	8	2
165	техники но	1	2
166	но если	1	2
167	и весь	2	2
168	и более	1	2
169	они не	1	2
170	у в	1	2
171	в свою	1	2
172	каждого человека	2	2
173	жизни и	8	2
174	в сущности	1	2
175	всяком случае	1	2
176	к ним	3	2
177	в основе	3	2
