N	2gram	Losev_Vlad_3	OGranits
1	и в	40	13
2	и его	10	12
3	прежде всего	10	9
4	может быть	8	8
5	не может	14	8
6	и не	25	8
7	в его	14	7
8	и их	1	7
9	точки зрения	13	7
10	только в	13	6
11	как бы	3	6
12	не только	25	6
13	то что	28	6
14	мы должны	4	6
15	таким образом	11	6
16	все же	4	5
17	и наконец	2	5
18	с точки	6	5
19	в процессе	1	5
20	хотя бы	6	5
21	и эта	3	5
22	мы не	2	4
23	произведения как	1	4
24	но мы	2	4
25	тех пор	1	4
26	еще и	18	4
27	но в	4	4
28	вопроса о	1	4
29	то же	4	4
30	лишь в	1	4
31	в своей	9	4
32	было бы	4	4
33	все это	1	4
34	только и	5	4
35	не является	2	4
36	вполне понятно	3	4
37	и то	9	3
38	в ее	1	3
39	самом деле	1	3
40	так и	6	3
41	для целей	1	3
42	в их	2	3
43	за пределы	3	3
44	общего с	2	3
45	с этим	2	3
46	в которой	2	3
47	в себе	9	3
48	к одному	1	3
49	не как	2	3
50	в одном	5	3
51	так как	7	3
52	одно и	2	3
53	но и	18	3
54	как системы	1	3
55	как и	7	3
56	со всей	1	3
57	я хочу	1	3
58	точку зрения	1	3
59	что же	9	3
60	не в	3	3
61	да и	6	3
62	есть прежде	2	3
63	но для	3	3
64	и для	3	3
65	никогда не	11	3
66	и все	4	3
67	не столько	3	3
68	что в	17	3
69	ничего общего	5	3
70	смысле слова	6	2
71	для себя	5	2
72	и др	1	2
73	данном случае	2	2
74	роль в	2	2
75	и этот	2	2
76	конечно в	1	2
77	мы уже	5	2
78	те же	1	2
79	есть не	2	2
80	мог бы	4	2
81	подойти к	1	2
82	не исчерпывается	1	2
83	является уже	1	2
84	если бы	3	2
85	и стиль	1	2
86	что иное	1	2
87	иное как	1	2
88	не что	1	2
89	с самого	1	2
90	и должно	1	2
91	себе что	1	2
92	в ней	5	2
93	ее в	3	2
94	а также	8	2
95	в чем	3	2
96	категорий но	1	2
97	в общем	1	2
98	нуждается в	1	2
99	во всей	1	2
100	каждый элемент	1	2
101	что они	1	2
102	вслед за	1	2
103	к сожалению	1	2
104	и следовательно	1	2
105	может иметь	1	2
106	его на	1	2
107	как в	1	2
108	только ее	1	2
109	в данном	5	2
110	в этом	16	2
111	но так	1	2
112	в том	18	2
113	мы видим	1	2
114	в действительности	1	2
115	от этого	2	2
116	в этот	2	2
117	в целом	2	2
118	и тем	3	2
119	все эти	5	2
120	с одной	3	2
121	учение о	24	2
122	думать что	1	2
123	уже в	3	2
124	в нем	3	2
125	при этом	3	2
126	для него	8	2
127	в другом	2	2
128	говорить об	1	2
129	вовсе не	13	2
130	которые только	1	2
131	тем что	5	2
132	в них	1	2
133	этой проблемы	1	2
134	с другой	5	2
135	всей своей	2	2
136	в самом	4	2
137	она является	1	2
138	мы считаем	1	2
139	не чем	1	2
140	одной стороны	3	2
141	не на	2	2
142	а не	8	2
143	другой стороны	2	2
144	не мог	6	2
145	несмотря на	7	2
146	в связи	3	2
147	том что	18	2
148	от своего	1	2
149	и при	1	2
150	так же	8	2
151	в отношении	5	2
152	статьи о	1	2
153	в течение	4	2
154	против такого	1	2
155	в тех	1	2
156	с этой	2	2
157	слова и	1	2
158	не менее	9	2
159	что эта	2	2
160	самого начала	1	2
161	разумеется что	1	2
162	не имеет	4	2
163	в книге	2	2
164	собственно говоря	3	2
165	бы в	2	2
166	и является	1	2
167	во всем	6	2
168	возражать против	1	2
169	а в	7	2
170	еще в	5	2
171	нет ничего	2	2
172	и к	2	2
173	в словесном	1	2
174	в своих	7	2
175	к тому	7	2
176	и это	6	1
177	можно говорить	1	1
178	категорий мы	1	1
179	также и	17	1
180	же как	3	1
181	своего развития	1	1
182	человека и	3	1
183	себя как	1	1
184	в виду	3	1
185	того же	2	1
186	в некоторых	1	1
187	системы но	1	1
188	как известно	1	1
189	только потому	1	1
190	науки о	1	1
191	это и	1	1
192	последнее время	1	1
193	и есть	1	1
194	и сводится	1	1
195	здесь и	2	1
196	в себя	1	1
197	его чрезвычайно	1	1
198	включает в	1	1
199	он всегда	2	1
200	философской системы	2	1
201	не имеют	2	1
202	материи и	1	1
203	едва ли	11	1
204	о влиянии	1	1
205	можно было	5	1
206	элемента не	1	1
207	что ведь	1	1
208	особенно в	1	1
209	здесь нет	2	1
210	или на	1	1
211	мы имеем	3	1
212	когда в	1	1
213	на первом	3	1
214	к тем	2	1
215	и о	4	1
216	возможно только	1	1
217	но у	2	1
218	говоря и	1	1
219	вопрос о	4	1
220	эта душа	1	1
221	и всякого	2	1
222	и духа	1	1
223	по себе	6	1
224	выходит за	1	1
225	как то	1	1
226	его за	1	1
227	на себя	2	1
228	с ее	1	1
229	сводится к	3	1
230	но даже	4	1
231	то это	10	1
232	эмпирической данности	1	1
233	в мире	2	1
234	и он	1	1
235	в каждой	1	1
236	с большим	3	1
237	внимание на	1	1
238	другими словами	1	1
239	и что	8	1
240	почему же	6	1
241	еще не	4	1
242	связи со	1	1
243	утверждается что	1	1
244	нам представляется	2	1
245	ибо здесь	1	1
246	уже самое	1	1
247	же самые	1	1
248	развития не	1	1
249	то мы	1	1
250	к нему	3	1
251	на самом	3	1
252	совсем не	5	1
253	но не	4	1
254	или иные	2	1
255	то он	4	1
256	вся эта	1	1
257	высокой и	1	1
258	может и	1	1
259	борьбе с	1	1
260	отметить что	1	1
