N	2gram	Medvedev_F_3	Sotsiolo
1	истории литературы	6	10
2	все это	7	7
3	в том	7	5
4	в этом	18	5
5	развития литературы	5	4
6	метод в	2	4
7	и только	2	3
8	для нас	3	3
9	не только	9	3
10	и в	27	3
11	но ведь	4	3
12	о литературе	1	3
13	не в	12	3
14	в его	7	3
15	за пределы	2	2
16	но и	10	2
17	конце концов	2	2
18	было бы	6	2
19	к которому	2	2
20	в смысле	4	2
21	она может	1	2
22	исторического развития	2	2
23	должна быть	3	2
24	только в	8	2
25	дело не	2	2
26	нужно было	1	2
27	в результате	5	2
28	в литературоведении	1	2
29	том что	4	2
30	в частности	1	2
31	стать наукой	1	2
32	то что	8	2
33	главным образом	2	2
34	или даже	1	2
35	и что	3	2
36	литературы и	3	2
37	еще не	6	2
38	ведь это	1	2
39	таким образом	18	2
40	это и	2	2
41	отношению к	3	2
42	в конце	3	2
43	что в	8	2
44	может быть	25	2
45	как бы	8	2
46	по отношению	3	2
47	очевидно что	2	2
48	по существу	1	2
49	то же	15	2
50	не из	1	1
51	я и	1	1
52	же не	1	1
53	противном случае	1	1
54	быть не	1	1
55	наконец в	1	1
56	по себе	4	1
57	даже в	2	1
58	сама по	1	1
59	так называемым	1	1
60	в мире	1	1
61	не должна	1	1
62	в этой	2	1
63	тому что	3	1
64	отнюдь не	8	1
65	выходит за	1	1
66	даже не	1	1
67	на все	2	1
68	же этот	1	1
69	и самые	1	1
70	с другой	6	1
71	его в	7	1
72	литературы как	1	1
73	только для	1	1
74	художественных произведений	1	1
75	ровно ничего	2	1
76	с ним	1	1
77	лучшем случае	1	1
78	это не	3	1
79	именно в	1	1
80	и история	1	1
81	все же	6	1
82	в противном	1	1
83	один из	1	1
84	в то	7	1
85	что таким	1	1
86	тем же	7	1
87	жанра и	3	1
88	еще и	1	1
89	только то	3	1
90	том как	2	1
91	тем что	5	1
92	эстетику и	1	1
93	и как	4	1
94	и затем	1	1
95	в процессе	15	1
96	на ней	1	1
97	построения новеллы	1	1
98	история литературы	2	1
99	что он	6	1
100	тогда и	1	1
101	прежде всего	4	1
102	литературный факт	1	1
103	произведение как	6	1
104	в них	3	1
105	так и	21	1
106	не было	1	1
107	одной стороны	1	1
108	те же	3	1
109	но только	1	1
110	и не	30	1
111	внешними причинами	1	1
112	никогда не	5	1
113	литература как	1	1
114	зависит от	1	1
115	мы не	4	1
116	же время	7	1
117	внутреннего единства	2	1
118	ничего не	2	1
119	переходим к	1	1
120	между собою	1	1
121	мы еще	2	1
122	и о	1	1
123	формальный метод	1	1
124	связь между	4	1
125	все эти	6	1
126	это же	1	1
127	именно на	2	1
128	как и	14	1
129	между собой	4	1
130	бы в	6	1
131	без этого	1	1
132	с помощью	8	1
133	для этого	2	1
134	этом не	1	1
135	в настоящее	1	1
136	она должна	2	1
137	этих вопросов	2	1
138	мы должны	2	1
139	первый план	1	1
140	в сущности	2	1
141	пришлось бы	1	1
142	конечно не	4	1
143	в связи	4	1
144	на первый	1	1
145	иначе и	1	1
146	и его	19	1
147	в этих	3	1
148	место в	10	1
149	литературного развития	1	1
150	связи с	5	1
151	или не	1	1
152	в лучшем	1	1
153	хотя бы	6	1
154	развитие но	1	1
155	его собственные	1	1
156	в целом	4	1
157	не может	24	1
158	в своей	6	1
159	только тогда	1	1
160	и должно	1	1
161	не от	2	1
162	а в	1	1
163	работы в	1	1
164	этом нужно	2	1
165	должны служить	1	1
166	как совокупность	2	1
167	что она	2	1
168	о том	4	1
169	развиваться в	1	1
170	именно и	1	1
171	в области	2	1
172	и потому	5	1
173	настоящее время	1	1
174	дело осложняется	1	1
175	больше того	1	1
176	в него	3	1
177	в котором	2	1
178	никак не	3	1
179	между ними	15	1
180	темы и	2	1
181	представляется нам	1	1
182	единства и	3	1
183	все то	1	1
184	литературы на	1	1
185	столь же	3	1
186	время в	3	1
187	всяком случае	6	1
188	изучаемого объекта	1	1
189	и связь	1	1
190	где же	1	1
191	и понимает	1	1
192	не выходит	1	1
193	он говорит	1	1
194	наука о	3	1
195	что это	3	1
196	ними в	1	1
197	вовсе не	28	1
198	ни были	1	1
199	творческой энергии	1	1
200	же самое	3	1
201	проникли в	1	1
202	с одной	1	1
203	есть совокупность	1	1
204	может развиваться	1	1
205	но не	5	1
206	делая все	1	1
207	в систему	1	1
208	этого и	1	1
209	в данном	6	1
210	между тем	7	1
211	и по	1	1
212	и остаются	1	1
213	это происходит	1	1
214	бы о	1	1
215	единство не	2	1
216	и более	3	1
217	во всяком	6	1
218	в каждом	5	1
219	они не	4	1
220	это значит	2	1
