N	4gram	Losev_Prob_5	Myshleni
1	в то время как	3	4
2	состоит в том что	1	3
3	и вместе с тем	1	2
4	с этой точки зрения	1	2
5	в силу того что	1	2
6	но тем не менее	1	1
7	в силу которого он	1	1
8	бы то ни было	1	1
9	и в этом смысле	1	1
10	в том числе и	1	1
11	указывает на то что	1	1
12	не что иное как	3	1
13	как мы увидим ниже	1	1
14	мы должны сказать что	1	1
15	ни в какой степени	1	1
16	с одной стороны он	1	1
17	с другой стороны он	1	1
18	можно было бы с	1	1
19	в связи с этим	1	1
20	одним и тем же	1	1
