N	2gram	Nazirov_Tr_1	EvropaiE
1	и в	18	37
2	что в	4	21
3	не только	8	18
4	в то	5	16
5	то же	5	15
6	хотя бы	1	15
7	в своем	3	14
8	но в	6	14
9	же время	6	14
10	но и	4	14
11	и не	7	14
12	в этом	9	12
13	в области	1	11
14	в том	2	11
15	так и	5	10
16	отнюдь не	3	9
17	в себе	4	9
18	только в	1	9
19	прежде всего	4	9
20	не может	5	9
21	так же	4	9
22	т е	1	9
23	в ее	2	8
24	в своей	1	8
25	к тому	2	8
26	между тем	1	8
27	с одной	1	8
28	а также	1	7
29	того что	1	7
30	как и	5	7
31	может быть	7	6
32	и на	7	6
33	во всех	1	6
34	то есть	3	6
35	том что	4	6
36	россии но	1	6
37	того чтобы	1	6
38	и даже	4	6
39	как бы	7	6
40	с этой	1	6
41	то что	4	6
42	столь же	2	5
43	но не	1	5
44	не в	2	5
45	в россии	1	5
46	и по	1	5
47	но если	1	5
48	тем самым	3	5
49	как мы	1	5
50	в виде	2	5
51	в частности	2	5
52	и потому	1	5
53	в той	1	5
54	то в	1	4
55	вопрос о	2	4
56	в ней	1	4
57	на путях	1	4
58	в самом	2	4
59	несмотря на	5	4
60	не имеет	2	4
61	и притом	1	4
62	иными словами	1	4
63	к ней	1	4
64	к россии	1	4
65	по себе	1	4
66	именно в	1	4
67	на всем	2	4
68	как это	3	4
69	для нас	1	4
70	в применении	1	3
71	в сфере	1	3
72	бы и	2	3
73	на себя	1	3
74	в общем	1	3
75	как в	3	3
76	представляет собой	1	3
77	вообще не	1	3
78	в них	1	3
79	с тем	2	3
80	нельзя ли	1	3
81	никогда не	2	3
82	потому что	2	3
83	ли это	1	3
84	по нашему	1	3
85	можно было	1	3
86	о том	2	3
87	что и	2	3
88	отметить что	1	3
89	всяком случае	1	3
90	не из	1	3
91	в известной	2	3
92	к ним	1	3
93	тем что	2	3
94	говорит о	2	3
95	в данном	2	3
96	применении к	1	3
97	является ли	1	3
98	не является	1	3
99	известной степени	1	3
100	и от	1	3
101	в результате	1	3
102	обстоит дело	1	3
103	жизни в	1	3
104	x в	1	3
105	в таком	2	3
106	во всяком	1	3
107	и то	2	2
108	что эти	2	2
109	должна быть	1	2
110	на них	1	2
111	между собой	1	2
112	он сам	7	2
113	но как	1	2
114	в истории	1	2
115	более чем	1	2
116	и как	3	2
117	что это	5	2
118	в этой	4	2
119	и если	1	2
120	он не	2	2
121	и еще	1	2
122	таким образом	1	2
123	в мире	3	2
124	и с	7	2
125	заключается в	1	2
126	в развитии	1	2
127	в котором	1	2
128	представление о	1	2
129	не к	1	2
130	одном из	2	2
131	она не	1	2
132	по своей	1	2
133	как будто	3	2
134	что на	1	2
135	не могут	2	2
136	могут быть	1	2
137	утверждать что	1	2
138	данном случае	2	2
139	мог бы	3	2
140	во многом	1	2
141	по сравнению	1	2
142	а поскольку	1	2
143	и что	4	2
144	к нему	3	2
145	в его	3	2
146	его собственная	1	2
147	и теперь	1	2
148	есть в	1	2
149	в одном	2	2
150	значение только	1	2
151	на уровне	1	2
152	как же	2	2
153	только к	2	2
154	на этот	1	2
155	нашему мнению	1	2
156	а не	1	2
157	что все	2	2
158	вместе с	1	2
159	сравнению с	1	2
160	наряду с	1	2
161	ко всему	1	2
162	для понимания	1	2
163	и все	4	2
164	но еще	1	2
165	бы в	1	2
166	и наконец	1	2
167	мы видим	1	2
168	не есть	1	2
169	имеет в	2	2
170	и эта	1	2
171	ту же	1	1
172	также что	1	1
173	ко всем	1	1
174	и т	1	1
175	например в	1	1
176	отметим что	1	1
177	и это	2	1
178	же по	1	1
179	и до	2	1
180	исходит из	1	1
181	на западе	1	1
182	наивность этого	1	1
183	той же	1	1
184	смотреть на	1	1
185	он считает	1	1
186	чтобы превратить	1	1
187	по самой	1	1
188	чтобы не	1	1
189	не способен	1	1
190	другим в	2	1
191	быть в	1	1
192	с его	2	1
193	значение и	1	1
194	с совершенно	1	1
195	тогда как	1	1
196	отличие от	2	1
197	за пределы	1	1
198	к сожалению	1	1
199	в центре	1	1
200	все же	5	1
201	смысле этого	1	1
202	и детей	2	1
203	за свои	1	1
204	самой природе	1	1
205	он в	1	1
206	имеет для	1	1
207	жизнью и	2	1
208	отцов и	1	1
209	при этом	3	1
210	и лучше	2	1
211	в переводе	1	1
212	не значит	1	1
213	не как	1	1
214	в новой	1	1
215	на земле	1	1
216	этом мире	1	1
217	на этом	1	1
218	но все	2	1
219	от нее	1	1
220	а затем	1	1
221	в нем	4	1
222	мира против	1	1
223	лишь в	1	1
224	не исключено	1	1
225	лишь на	1	1
226	к области	2	1
227	рядом с	1	1
228	перед собой	1	1
229	есть такая	1	1
230	в такой	1	1
231	если можно	1	1
232	исключено что	1	1
