N	4gram	Losev_Vesc_1	Vladivir
1	дело в том что	2	4
2	то это значит что	2	4
3	с одной стороны и	1	2
4	на самом же деле	1	2
5	еще и потому что	1	2
6	свидетельствует о том что	3	2
7	в то время как	1	2
8	ничего не говорит о	1	2
9	содержит в себе и	1	2
10	также и то что	1	2
11	и тем не менее	1	1
12	а это значит что	1	1
13	для тех кто не	1	1
14	и то и другое	1	1
15	одно и то же	4	1
16	мы и подходим к	1	1
17	не что иное как	7	1
18	даже и не только	1	1
19	бы то ни было	4	1
20	с этой точки зрения	1	1
21	у того и у	1	1
22	то же самое время	1	1
23	ничего общего ни с	1	1
24	заключается в том что	1	1
25	не содержит в себе	1	1
26	а тем не менее	1	1
27	того и у другого	1	1
28	не входя в подробности	1	1
29	в то же самое	1	1
30	если подойти к делу	1	1
