N	3gram	Tiupa_Hudo_1	Vladivir
1	в письме к	1	8
2	о том что	9	7
3	в том что	6	7
4	в свое время	1	5
5	в то же	8	4
6	в этом смысле	1	4
7	на то что	2	4
8	то же время	8	4
9	что же касается	2	4
10	том что в	2	3
11	и потому что	1	3
12	в конце концов	1	3
13	что он не	2	3
14	более или менее	1	3
15	не может быть	2	3
16	и в то	1	2
17	для своего времени	2	2
18	в ответ на	1	2
19	еще и потому	1	2
20	не только в	2	2
21	что у него	2	2
22	том что он	1	2
23	тем не менее	3	2
24	во всяком случае	1	2
25	как было сказано	1	2
26	и т д	3	2
27	а в том	1	1
28	с одной стороны	1	1
29	не потому что	1	1
30	так и в	1	1
31	так или иначе	2	1
32	жизни так и	1	1
33	во второй половине	2	1
34	имеют для них	1	1
35	и в конце	1	1
36	в его жизни	1	1
37	в это время	1	1
38	к жизни в	1	1
39	что у нее	1	1
40	и в этом	1	1
41	но и для	1	1
42	она в самом	1	1
43	всю его жизнь	1	1
44	этом а в	1	1
45	но в то	3	1
46	но у него	1	1
47	к жизни и	2	1
48	уже не может	1	1
49	еще не раз	1	1
50	только у людей	1	1
51	к тому что	4	1
52	все той же	1	1
53	и о том	2	1
54	ответить на вопрос	1	1
55	с тем что	1	1
56	а в конце	1	1
57	у него уже	1	1
58	за то что	1	1
59	в сторону но	1	1
60	не только не	1	1
61	на вопросе о	1	1
62	не в этом	1	1
63	а также и	1	1
64	в этот момент	1	1
65	в чем не	1	1
66	на самом же	1	1
67	в этом отношении	3	1
68	в связи с	3	1
69	содержит в себе	1	1
70	и называл себя	1	1
71	в самом деле	4	1
72	самом же деле	1	1
73	ни в чем	1	1
74	мы уже знаем	2	1
75	с ним в	1	1
76	и что в	1	1
77	всякого человека в	1	1
78	в свою очередь	1	1
79	своей встречи с	1	1
80	письме к а	1	1
81	в этом а	1	1
82	я никогда не	1	1
83	как раз в	2	1
