N	3gram	Tiupa_Hudo_1	Marksizm
1	с точки зрения	3	13
2	не может быть	2	10
3	по отношению к	8	8
4	то же время	8	8
5	в то же	8	8
6	в связи с	3	7
7	в том что	6	6
8	в самом деле	4	5
9	то же самое	1	5
10	но в то	3	5
11	с самого начала	1	5
12	в свою очередь	1	5
13	на самом деле	1	4
14	самом же деле	1	3
15	в таком случае	1	3
16	в отличие от	1	3
17	на самом же	1	3
18	до сих пор	2	3
19	с одной стороны	1	3
20	в высшей степени	1	3
21	о том что	9	3
22	к тому что	4	3
23	одной стороны и	1	2
24	более или менее	1	2
25	том что он	1	2
26	того или иного	2	2
27	в значительной степени	2	2
28	во всяком случае	1	2
29	в следующей главе	3	2
30	мы уже знаем	2	2
31	так и от	2	2
32	не знает ни	1	2
33	является для него	1	2
34	на то что	2	2
35	в узком смысле	1	2
36	на том что	1	1
37	речь идет об	1	1
38	как он относится	1	1
39	его внутренний мир	1	1
40	прежде всего на	1	1
41	те связи которые	1	1
42	которых может быть	1	1
43	это одно из	1	1
44	точки зрения в	1	1
45	гораздо большей степени	1	1
46	не имеют никакого	1	1
47	для себя и	1	1
48	до известной степени	1	1
49	сами по себе	1	1
50	что все эти	1	1
51	в первую очередь	2	1
52	в этом отношении	3	1
53	в гораздо большей	1	1
54	несмотря на то	1	1
55	и на тех	1	1
56	так или иначе	2	1
57	время это и	1	1
58	не только в	2	1
59	в равной степени	1	1
60	тем не менее	3	1
61	для него в	1	1
62	приводит к тому	1	1
63	лишь в определенном	1	1
64	мы уже говорили	1	1
65	как впрочем и	1	1
66	при этом мы	1	1
67	он не знает	1	1
68	уверенность в себе	1	1
69	и это не	2	1
70	по себе а	1	1
71	так и в	1	1
72	же время это	1	1
73	речь в данном	1	1
74	с тем что	1	1
75	в конечном счете	2	1
76	в русской литературе	3	1
77	но все же	1	1
78	друг от друга	1	1
79	и другой тип	1	1
80	имеют никакого отношения	1	1
81	не сводится к	1	1
82	друг с другом	1	1
83	в противоречие с	1	1
84	но в этом	1	1
85	как и в	3	1
