N	3gram	Bakhtin_Pr_1	VrazhdaK
1	то же время	9	4
2	в то же	9	4
3	как и у	1	3
4	он не только	1	2
5	с точки зрения	13	2
6	и что в	1	2
7	но в то	5	2
8	не может быть	4	2
9	в том что	6	2
10	а следовательно и	1	1
11	то что я	1	1
12	же время и	1	1
13	в этом смысле	10	1
14	что достоевский в	1	1
15	достоевский прежде всего	1	1
16	до сих пор	2	1
17	и не может	2	1
18	в романе достоевского	5	1
19	в той же	2	1
20	он и не	1	1
21	к творчеству достоевского	1	1
22	творчества достоевского в	2	1
23	не было бы	1	1
24	в этом отношении	3	1
25	независимо от того	1	1
26	что в нем	1	1
27	но это не	2	1
28	точно так же	1	1
29	достоевский в авторском	1	1
30	но и как	1	1
31	по крайней мере	1	1
32	может быть и	1	1
33	и в то	2	1
34	в момент его	1	1
35	идет не об	2	1
36	так же как	1	1
37	что он ищет	1	1
38	тем что он	1	1
39	в высшей степени	1	1
40	на первый взгляд	1	1
41	в конце концов	5	1
42	в известном смысле	1	1
43	и в этом	5	1
44	не только как	1	1
45	что он сам	1	1
46	все же не	2	1
47	во всяком случае	3	1
48	от того как	1	1
49	с другой стороны	3	1
50	как бы в	2	1
51	о нем в	1	1
52	в мире а	1	1
53	что они не	1	1
54	у него в	1	1
55	заключается в том	1	1
56	в то время	1	1
57	говорит достоевский в	1	1
58	в свою очередь	1	1
59	это и есть	1	1
60	о том что	1	1
61	и никогда не	1	1
62	не только не	1	1
63	но как в	1	1
64	из подполья но	1	1
65	в россии где	2	1
