N	3gram	Bakhtin_Pr_3	TeoriaLi
1	по отношению к	5	8
2	в отличие от	2	7
3	в то же	12	6
4	в том что	1	6
5	то же время	12	6
6	так и не	1	5
7	в данном случае	1	5
8	в этом смысле	4	3
9	можно сказать что	1	3
10	с другой стороны	3	3
11	той или иной	2	3
12	тем не менее	2	3
13	в свою очередь	1	3
14	как и в	1	2
15	не только не	1	2
16	и того же	1	2
17	и то же	1	2
18	то что они	1	2
19	одно и то	1	2
20	всех без исключения	1	2
21	одного и того	1	2
22	сама по себе	2	2
23	не может быть	6	2
24	не в самом	1	2
25	с точки зрения	4	2
26	отношению к герою	1	2
27	в слове о	2	2
28	со всех сторон	1	1
29	подобно тому как	2	1
30	с самим собою	7	1
31	говорит что он	1	1
32	не было и	1	1
33	этом смысле можно	1	1
34	входит в его	1	1
35	в большинстве случаев	2	1
36	бы то ни	4	1
37	кто бы они	1	1
38	перед тем как	1	1
39	оно стремится к	2	1
40	к другому что	1	1
41	самим собою в	1	1
42	и в то	5	1
43	но в то	3	1
44	именно потому что	2	1
45	бы они ни	1	1
46	он ни был	3	1
47	он мог бы	1	1
48	но вы как	1	1
49	может быть и	1	1
50	для того чтобы	1	1
51	чего бы то	2	1
52	то ни было	4	1
53	что он должен	1	1
54	во всей своей	1	1
55	что он не	1	1
56	о том что	2	1
57	о мире и	2	1
58	вмещает в себя	1	1
59	и как бы	1	1
60	по ту сторону	2	1
61	как бы в	1	1
62	и со всеми	1	1
63	человека с человеком	2	1
64	в том и	1	1
65	в значительной степени	1	1
66	с которыми он	1	1
67	в этом случае	2	1
68	и в слове	2	1
69	никогда не бывает	2	1
70	однако в отличие	1	1
71	и для других	1	1
72	и прежде всего	4	1
73	ибо и в	1	1
74	и по отношению	1	1
75	а в то	1	1
76	и пусть пусть	1	1
77	не входит в	2	1
78	отношению к самому	1	1
79	жизнь в которой	1	1
80	человека с его	1	1
81	помимо его воли	1	1
82	в той или	2	1
83	в отношении к	7	1
84	они ни были	1	1
85	всей своей полноте	1	1
86	к одному из	1	1
87	отношении к нему	1	1
88	к тому же	2	1
89	по крайней мере	3	1
90	а между тем	3	1
