N	4gram	Losev_Dial_2	Myslijsy
1	одно и то же	4	5
2	в то же время	3	5
3	не в том что	1	3
4	по мере того как	1	3
5	в том что он	1	2
6	то что мы называем	1	1
7	между тем и другим	1	1
8	сам по себе а	1	1
9	одна и та же	4	1
10	как мы уже сказали	1	1
11	и т д не	2	1
12	и может быть только	1	1
13	в том смысле что	3	1
14	вовсе не в том	1	1
15	и в некотором смысле	1	1
16	или по крайней мере	2	1
17	с одной стороны и	1	1
18	дело вовсе не в	1	1
19	в то время как	3	1
20	по самой своей природе	1	1
21	именно в том что	1	1
22	это значит что я	1	1
23	в том что она	1	1
24	заключается в том что	1	1
25	не говоря уже о	2	1
