N	3gram	Berdyaev_O_1	FransuaR
1	прежде всего в	1	4
2	после того как	1	4
3	в том что	1	3
4	о том как	1	2
5	в этом отношении	1	2
6	то что в	1	2
7	как и в	1	2
8	и в его	1	2
9	что у него	2	2
10	никто не может	1	2
11	о бессмертии души	1	1
12	в этом мире	2	1
13	в эпоху возрождения	1	1
14	от него и	4	1
15	в нем все	1	1
16	сам по себе	1	1
17	но и в	2	1
18	к человеку и	4	1
19	с тем что	2	1
20	от всех тех	1	1
21	но от этого	1	1
22	и не в	1	1
23	в глубь человеческого	1	1
24	человеку и его	1	1
25	и в этом	2	1
26	о том что	1	1
27	в этих словах	1	1
28	говорят о том	1	1
29	кого не было	1	1
30	есть не только	1	1
31	это не есть	1	1
32	у него в	5	1
33	у кого не	1	1
34	во всяком случае	1	1
35	как и все	2	1
36	и все это	1	1
37	не в силах	1	1
38	и в самом	1	1
39	и прежде всего	1	1
40	и в том	1	1
41	чем в других	1	1
