N	2gram	Vinokur_St_1	Freidism
1	таким образом	7	24
2	и не	16	23
3	не может	8	20
4	точки зрения	11	19
5	прежде всего	7	18
6	в его	9	15
7	в этом	21	15
8	может быть	15	13
9	и его	8	12
10	все эти	5	11
11	как и	9	11
12	с точки	8	11
13	то что	18	11
14	как бы	4	11
15	как мы	1	10
16	так и	9	10
17	его в	2	10
18	и потому	2	10
19	но в	10	10
20	самом деле	11	10
21	во всех	8	9
22	и в	44	9
23	по отношению	3	9
24	с его	1	9
25	еще не	3	8
26	отношению к	3	8
27	и все	2	8
28	в своей	6	8
29	то же	5	8
30	он не	2	8
31	все это	5	8
32	только в	10	8
33	не только	18	8
34	так как	5	8
35	что он	10	8
36	во всяком	6	7
37	к нему	2	7
38	что же	6	7
39	отношение к	2	7
40	тот же	1	7
41	сказать что	7	7
42	всяком случае	6	7
43	в самом	7	7
44	ни в	3	7
45	и с	3	6
46	вовсе не	19	6
47	хотя бы	6	6
48	для него	6	6
49	в ней	3	6
50	протяжении всей	1	6
51	совершенно не	5	6
52	того что	9	6
53	никогда не	5	6
54	за пределы	2	6
55	точку зрения	3	6
56	на протяжении	1	6
57	можно сказать	1	5
58	в период	1	5
59	в этой	11	5
60	что в	30	5
61	не в	12	5
62	а в	17	5
63	на самом	6	5
64	но и	10	5
65	могут быть	5	5
66	что такое	1	5
67	в чем	3	5
68	с этим	3	5
69	для того	10	5
70	по мнению	3	5
71	для этого	2	5
72	его жизни	3	5
73	и на	1	5
74	в то	9	5
75	и к	1	5
76	в каком	3	5
77	в которой	4	4
78	все же	8	4
79	же время	4	4
80	данном случае	6	4
81	говорить о	2	4
82	при этом	2	4
83	и для	3	4
84	мы находим	4	4
85	не было	4	4
86	не менее	5	4
87	как раз	4	4
88	в нем	5	4
89	мы не	2	4
90	того чтобы	11	4
91	таким путем	1	4
92	потому что	6	4
93	совсем не	2	4
94	но не	3	4
95	всех этих	2	4
96	это только	1	4
97	в этих	2	4
98	из этих	6	4
99	то ни	1	4
100	и о	1	4
101	зависимости от	1	4
102	конечно не	2	4
103	на основании	1	4
104	в последнем	1	4
105	той же	5	4
106	и за	3	4
107	уже не	1	4
108	об этом	3	4
109	в основе	3	4
110	с их	1	4
111	и др	1	4
112	в котором	5	4
113	в зависимости	1	4
114	от того	1	4
115	связанные с	3	4
116	в таком	3	4
117	к тому	1	4
118	с самого	1	4
119	я не	7	4
120	если мы	1	4
121	этот вопрос	4	4
122	во время	3	4
123	в данном	14	4
124	и вот	1	3
125	от всех	1	3
126	бы то	1	3
127	случае не	2	3
128	в себе	2	3
129	вместе с	1	3
130	в сознании	2	3
131	не знает	2	3
132	нисколько не	2	3
133	в голову	1	3
134	а только	1	3
135	только то	1	3
136	и те	2	3
137	ничего общего	3	3
