N	3gram	Bakhtin_Pr_1	StatiiOP
1	и т д	1	21
2	в том что	3	17
3	для того чтобы	2	10
4	и т п	13	9
5	с точки зрения	6	8
6	можно было бы	3	8
7	до сих пор	1	7
8	в этом отношении	2	7
9	на самом деле	3	6
10	в данном случае	4	6
11	с другой стороны	4	6
12	в самом деле	3	5
13	не может быть	11	5
14	дело в том	1	4
15	и в области	2	4
16	то же время	3	4
17	не только в	2	4
18	так например в	1	4
19	так и в	2	4
20	того или иного	2	4
21	на то что	1	4
22	в то же	3	4
23	по отношению к	19	3
24	то или иное	2	3
25	в применении к	3	3
26	в том как	1	3
27	и в этом	1	3
28	тем или иным	1	3
29	и в самом	1	3
30	в свое время	1	2
31	в области изучения	2	2
32	бы все эти	1	2
33	и в том	1	2
34	хотя бы и	1	2
35	в иных случаях	3	2
36	но и в	2	2
37	может быть и	1	2
38	а иногда и	1	2
39	в равной мере	1	2
40	если бы мы	1	2
41	но в то	1	2
42	с одной стороны	3	2
43	в то время	1	2
44	имеем дело с	1	2
45	не в том	1	2
46	а также и	1	2
47	то что в	1	2
48	вопрос о том	1	2
49	вот несколько примеров	1	2
50	в том смысле	1	2
51	тем не менее	3	2
52	как и в	1	2
53	здесь совершенно не	1	2
54	а между тем	1	1
55	в той области	1	1
56	и историки литературы	1	1
57	вопроса о значении	2	1
58	той или иной	2	1
59	во всей полноте	1	1
60	то ни стало	1	1
61	далеко не все	1	1
62	не говоря уже	1	1
63	в настоящее время	1	1
64	также и в	1	1
65	в этом смысле	3	1
66	не выходя за	3	1
67	в том и	1	1
68	в том же	2	1
69	не приходится уже	1	1
70	не могла бы	1	1
71	во что бы	1	1
72	отрицательное отношение к	1	1
73	в лучшем случае	2	1
74	говоря уже о	1	1
75	в таких случаях	1	1
76	сами по себе	1	1
77	бы то ни	3	1
78	на этот вопрос	1	1
79	которой можно было	1	1
80	прямого отношения к	1	1
81	и в других	1	1
82	что бы то	1	1
83	о том как	1	1
84	то время как	1	1
85	в глазах самого	1	1
86	другой же стороны	2	1
87	в его работе	1	1
88	и в то	2	1
89	показать что и	1	1
90	выходя за пределы	2	1
91	а вовсе не	1	1
92	одной стороны в	1	1
93	именно в том	1	1
94	как бы они	1	1
95	что у нас	1	1
96	в своем роде	1	1
97	а в том	1	1
98	таким образом в	1	1
99	том смысле что	1	1
100	в обсуждение этого	1	1
101	смысле этого слова	1	1
102	хотя бы в	1	1
103	может быть признана	1	1
104	и не может	2	1
105	должна опираться на	1	1
106	в рассмотрение которых	1	1
107	как материала для	1	1
108	языка может быть	1	1
109	ни в чем	2	1
110	бы они ни	1	1
111	они ни были	1	1
112	ни один культурный	1	1
113	она не могла	1	1
114	к тому что	1	1
115	в узком смысле	1	1
116	если бы все	1	1
117	быть не может	1	1
118	мы имеем дело	2	1
119	художественного произведения в	1	1
120	и не в	1	1
121	самой формой своего	1	1
122	с другой же	2	1
123	отметить что в	1	1
124	со всеми его	1	1
125	то что называют	1	1
