N	3gram	Losev_Vesc_1	Komedia
1	в том что	4	9
2	в то время	1	5
3	с другой стороны	2	5
4	то время как	1	4
5	в конце концов	2	4
6	в то же	1	4
7	и т д	19	4
8	в этом отношении	1	3
9	с одной стороны	3	3
10	о том что	4	3
11	по меньшей мере	1	2
12	то же самое	1	2
13	до сих пор	1	2
14	т е в	7	2
15	то ни было	4	2
16	бы то ни	4	2
17	во всяком случае	2	2
18	у нас в	2	2
19	на то что	2	2
20	в новое время	1	2
21	что иное как	7	1
22	или хотя бы	1	1
23	и не все	1	1
24	но и она	1	1
25	более или менее	1	1
26	и даже не	3	1
27	подобно тому как	4	1
28	с этой точки	1	1
29	и не только	4	1
30	да и в	1	1
31	ничего не известно	1	1
32	в зависимости от	1	1
33	вместе с тем	1	1
34	как будто бы	1	1
35	можно говорить о	2	1
36	сам по себе	3	1
37	независимо от того	1	1
38	можно было бы	1	1
39	и здесь мы	1	1
40	что все это	1	1
41	с тех пор	1	1
42	в коем случае	1	1
43	в применении к	1	1
44	в самом начале	1	1
45	так же как	1	1
46	в данном случае	2	1
47	не только в	4	1
48	только в виде	1	1
49	в той же	1	1
50	в чем же	3	1
51	здесь мы не	1	1
52	так или иначе	4	1
53	в одном случае	1	1
54	о которых идет	1	1
55	потому что они	3	1
56	не мог бы	1	1
57	этой точки зрения	1	1
58	т д все	1	1
59	в себя самые	1	1
60	и тому же	1	1
61	что у него	1	1
62	ни в коем	1	1
63	в отрыве от	2	1
64	не что иное	7	1
65	к одному и	1	1
66	к тому что	2	1
67	тем не менее	3	1
68	для того чтобы	2	1
69	на то чтобы	1	1
70	которых идет речь	1	1
71	одному и тому	1	1
72	в более подробном	1	1
73	но и все	1	1
