N	2gram	Nazirov_Vr_1	EvropaiE
1	и в	8	37
2	точки зрения	2	23
3	европы и	1	22
4	что в	7	21
5	не только	9	18
6	с точки	2	17
7	в то	5	16
8	то же	5	15
9	отношении к	1	15
10	в своем	3	14
11	но в	6	14
12	же время	5	14
13	в качестве	1	14
14	но и	7	14
15	и не	5	14
16	в этом	8	12
17	в их	1	11
18	в том	3	11
19	россия в	1	11
20	так и	1	10
21	отнюдь не	2	9
22	в себе	2	9
23	прежде всего	1	9
24	не может	2	9
25	так же	4	9
26	т е	3	9
27	в ее	1	8
28	было бы	1	8
29	в своей	2	8
30	между тем	5	8
31	также и	1	7
32	а также	2	7
33	того что	1	7
34	с другой	1	7
35	как и	6	7
36	по своему	1	7
37	между прочим	1	7
38	может быть	4	6
39	во всех	1	6
40	на то	3	6
41	том что	3	6
42	вслед за	1	6
43	и даже	6	6
44	как бы	4	6
45	то что	7	6
46	же как	2	5
47	столь же	2	5
48	но не	1	5
49	в россии	5	5
50	тем самым	1	5
51	в частности	1	5
52	в той	2	5
53	как нам	1	5
54	то в	1	4
55	в полной	1	4
56	в ней	4	4
57	независимо от	1	4
58	россии в	2	4
59	в самом	1	4
60	во многих	1	4
61	несмотря на	4	4
62	не имеет	1	4
63	в процессе	1	4
64	иными словами	1	4
65	тем более	2	4
66	именно в	1	4
67	для нас	4	4
68	в каком	1	4
69	идет о	1	3
70	из всех	1	3
71	того же	1	3
72	как в	1	3
73	себе не	1	3
74	в известном	2	3
75	но на	1	3
76	не будет	1	3
77	этом смысле	1	3
78	в них	2	3
79	во второй	1	3
80	никогда не	2	3
81	потому что	1	3
82	ли это	1	3
83	по нашему	3	3
84	во все	1	3
85	приближается к	1	3
86	о том	4	3
87	от них	1	3
88	место в	2	3
89	известном смысле	1	3
90	всяком случае	1	3
91	этот факт	1	3
92	из них	2	3
93	в известной	1	3
94	к ним	2	3
95	тем что	3	3
96	этом отношении	1	3
97	в свою	2	3
98	говорит о	1	3
99	в остальном	1	3
100	и от	1	3
101	как на	1	3
102	в таком	1	3
103	во всяком	1	3
104	вопросом не	1	2
105	и отчасти	1	2
106	и то	2	2
107	по преимуществу	1	2
108	и этот	1	2
109	именно к	1	2
110	на них	1	2
111	он сам	2	2
112	совершенно прав	1	2
113	а тем	1	2
114	но как	2	2
115	в сторону	1	2
116	в истории	4	2
117	его на	2	2
118	с этим	1	2
119	хотя и	1	2
120	целый ряд	4	2
121	и как	3	2
122	россии не	1	2
123	что это	1	2
124	в этой	2	2
125	что к	2	2
126	этот процесс	1	2
127	он не	3	2
128	прочим и	1	2
129	в силу	1	2
130	таким образом	2	2
131	в мире	2	2
132	и с	6	2
133	заключается в	1	2
134	далеко не	3	2
135	в своих	4	2
136	в развитии	1	2
137	такой же	1	2
138	в эту	2	2
139	в этих	1	2
140	в котором	6	2
141	представление о	1	2
142	одном из	1	2
143	дошла до	1	2
144	по своей	1	2
145	могут быть	1	2
146	россию в	1	2
147	свою очередь	1	2
148	на основе	2	2
149	во многом	4	2
150	а поскольку	1	2
151	второй половине	1	2
152	в будущее	1	2
153	и что	8	2
154	и во	3	2
155	к нему	1	2
156	в его	3	2
157	во всей	1	2
158	и можно	1	2
159	также в	1	2
160	но с	1	2
161	начало в	1	2
162	если в	1	2
163	при помощи	2	2
164	в одном	1	2
165	как же	2	2
166	на этот	1	2
167	нашему мнению	1	2
168	начиная с	2	2
169	вместе с	2	2
170	за тем	1	2
171	или по	1	2
172	не дают	1	2
173	наряду с	3	2
174	что же	1	2
175	в –	1	2
176	и все	7	2
177	бы в	1	2
178	еще более	1	2
179	и наконец	1	2
180	же в	2	2
181	в другой	1	2
182	а в	2	2
183	не есть	1	2
184	другой стороны	1	2
185	жизни и	1	2
186	себя как	1	1
187	как известно	1	1
188	также что	1	1
189	ко всем	1	1
190	в русских	2	1
191	доступ в	1	1
192	и это	2	1
193	которую они	1	1
194	речь идет	3	1
195	той же	1	1
196	будущее россии	1	1
197	говорить о	1	1
198	мы получаем	1	1
199	и русской	1	1
200	с его	3	1
201	и всего	1	1
202	тогда как	2	1
203	в оценке	1	1
204	к сожалению	1	1
205	как по	1	1
206	дает нам	1	1
207	все же	6	1
208	не являются	1	1
209	в этот	3	1
210	и детей	4	1
211	тому же	1	1
212	отцов и	4	1
213	в свет	1	1
214	при этом	4	1
215	имело бы	1	1
216	ли не	1	1
217	в нем	6	1
218	в глубине	1	1
219	говорить не	1	1
220	входя в	1	1
221	как тот	1	1
222	смысле более	1	1
223	в жизни	1	1
224	рядом с	2	1
225	соответствии с	1	1
226	во внимание	1	1
227	год а	1	1
228	только эпизод	1	1
229	далее в	1	1
230	об их	2	1
231	с такими	1	1
232	том же	2	1
233	возвращается к	1	1
234	на востоке	1	1
235	этот обмен	1	1
236	не менее	2	1
237	вплоть до	1	1
238	но они	1	1
239	что эта	1	1
240	в обоих	1	1
241	правда в	1	1
242	одна из	2	1
243	из их	1	1
244	и твердо	1	1
245	такая же	1	1
246	за исключением	1	1
247	во всем	1	1
248	и его	3	1
249	связи с	3	1
250	мы бы	1	1
251	считать что	1	1
252	такие же	1	1
253	перед ними	1	1
254	и о	3	1
255	эти не	1	1
256	имеет никаких	1	1
257	то время	1	1
258	а другие	1	1
259	и сам	1	1
260	этот период	1	1
261	и другими	1	1
262	об этом	5	1
263	чем все	1	1
264	еще в	1	1
265	имеется в	1	1
266	быть может	1	1
267	и вообще	1	1
268	с ним	4	1
269	его жизни	1	1
270	нас в	1	1
271	затем в	1	1
272	того в	1	1
273	в ту	1	1
274	быть и	1	1
275	один из	1	1
276	всех этих	1	1
277	ли он	1	1
278	что как	1	1
279	и ее	2	1
280	уже не	2	1
281	уже в	4	1
282	в начале	6	1
283	и творческого	1	1
284	этот раз	1	1
285	несомненно в	1	1
286	для него	2	1
287	и их	1	1
288	мы находим	1	1
289	от того	1	1
290	что тот	1	1
291	к которому	1	1
292	что для	1	1
293	в соответствии	1	1
294	не было	5	1
295	выше и	1	1
296	и далее	2	1
297	с которым	2	1
298	свою пользу	1	1
299	что из	1	1
300	мы знаем	2	1
301	в связи	3	1
302	нет ничего	1	1
303	для всех	1	1
304	что за	1	1
305	в среде	2	1
306	некоторое время	1	1
307	прототипов в	1	1
308	с ее	1	1
309	и общим	1	1
310	ближе к	1	1
311	более того	1	1
312	одного и	1	1
313	в мировой	1	1
314	это можно	1	1
315	о котором	1	1
316	ее и	1	1
317	возникает вопрос	1	1
318	более всего	1	1
319	может в	1	1
320	но это	2	1
321	сам в	1	1
322	в свое	1	1
323	к этой	1	1
324	время с	1	1
325	это в	2	1
326	который не	1	1
327	все что	1	1
