N	3gram	Losev_Vlad_3	NovoeSre
1	не может быть	6	4
2	xix века и	1	2
3	в этом смысле	3	2
4	и заключается что	1	2
5	что в нем	1	2
6	вместе с тем	6	2
7	так же как	2	2
8	с одной стороны	3	2
9	духовного и материального	2	2
10	и должно быть	1	2
11	том и заключается	1	2
12	с другой стороны	2	2
13	вопрос о том	1	2
14	в том и	1	2
15	и учителей церкви	1	1
16	а не к	1	1
17	что в этом	2	1
18	в ней нет	1	1
19	и в жизни	1	1
20	то время как	2	1
21	у него как	2	1
22	есть прежде всего	2	1
23	в том числе	1	1
24	бытия как не	1	1
25	же как и	1	1
26	не имеют никакого	1	1
27	как это было	1	1
28	до сих пор	1	1
29	том случае если	2	1
30	в отличие от	3	1
31	востока и запада	1	1
32	от того чтобы	1	1
33	и это есть	1	1
34	можно было бы	1	1
35	и не в	1	1
36	в том случае	3	1
37	не только в	1	1
38	случае если есть	1	1
39	и потому что	2	1
40	как будто бы	1	1
41	в известном смысле	1	1
42	в котором и	1	1
43	то что он	1	1
44	во всяком случае	3	1
45	лишь в том	1	1
46	в самом себе	1	1
47	есть вместе с	1	1
48	о том что	8	1
49	в то время	4	1
50	бог не есть	1	1
51	то что в	3	1
52	человека вот что	1	1
53	и вместе с	2	1
54	это и есть	1	1
55	не удалось но	1	1
56	это значит что	6	1
57	то это есть	2	1
58	в последние годы	1	1
59	выходит за пределы	1	1
60	или не знал	1	1
61	в новое время	1	1
62	в боге и	1	1
63	совершенно так же	2	1
64	в том смысле	1	1
65	есть бог и	1	1
66	и совсем не	1	1
67	и возвращается к	1	1
68	должно быть в	1	1
69	в том что	10	1
70	природе но и	1	1
