N	3gram	Bakhtin_Pr_2	VelikijI
1	а между тем	1	2
2	но и в	1	2
3	том что он	2	2
4	вместо того чтобы	1	2
5	это еще не	1	2
6	в том что	1	2
7	и т д	4	2
8	но прежде всего	1	1
9	но все же	2	1
10	в последнем же	1	1
11	очень важное место	1	1
12	знает может быть	1	1
13	есть прежде всего	1	1
14	сознании и в	2	1
15	в этом мире	1	1
16	хотя бы и	1	1
17	в сознании и	1	1
18	бы то ни	1	1
19	по крайней мере	1	1
20	и в жизни	1	1
21	что он так	1	1
22	в конце концов	2	1
23	уже и не	1	1
24	с другой стороны	3	1
25	как бы в	4	1
26	так и в	1	1
27	проявляется и в	1	1
28	после того как	1	1
29	как и в	3	1
