N	2gram	Bakhtin_sl_2	VeschiIm
1	не может	20	33
2	не только	24	31
3	может быть	37	29
4	и не	22	28
5	и в	39	26
6	то что	2	24
7	и есть	1	23
8	и т	35	21
9	т д	2	20
10	а не	14	20
11	не просто	1	18
12	и следовательно	1	15
13	в смысле	4	15
14	что она	1	14
15	только в	5	14
16	по себе	5	13
17	и что	1	13
18	того что	1	13
19	есть не	1	12
20	все же	6	12
21	в себя	2	12
22	и ее	1	12
23	но и	21	12
24	сказать что	3	12
25	таким образом	8	11
26	общения с	1	11
27	с нею	1	11
28	вещь и	1	11
29	то же	4	10
30	в ней	3	10
31	не значит	1	10
32	как бы	7	10
33	что такое	1	10
34	уже не	5	10
35	в самом	1	9
36	и с	9	9
37	вещей и	1	9
38	в том	5	9
39	что не	1	9
40	прежде всего	8	9
41	с ее	2	8
42	сущности и	1	8
43	в себе	2	8
44	на то	1	8
45	смысл и	2	8
46	и это	1	8
47	ничего не	1	8
48	себя и	4	8
49	но это	3	8
50	также и	2	7
51	говорить о	3	7
52	если она	3	7
53	в этом	16	7
54	его в	4	7
55	с другими	4	7
56	том что	5	7
57	в то	4	7
58	со своим	9	7
59	что оно	4	7
60	как с	2	7
61	в свете	3	7
62	себя в	8	7
63	и их	5	7
64	так как	4	7
65	как раз	1	7
66	смысла и	3	7
67	если оно	2	7
68	и как	3	6
69	но в	6	6
70	бы и	3	6
71	одно и	1	6
72	точки зрения	8	6
73	с ним	7	6
74	она не	6	6
75	отличается от	2	6
76	должно быть	1	6
77	и только	1	6
78	для него	7	6
79	быть только	1	6
80	в результате	2	6
81	жизни и	6	6
82	что в	3	6
83	того же	1	5
84	это и	2	5
85	и до	1	5
86	ведь и	2	5
87	в сущности	6	5
88	в чем	3	5
89	но не	6	5
90	отнюдь не	1	5
91	чем же	1	5
92	как к	3	5
93	должна быть	3	5
94	вообще не	1	5
95	это не	5	5
96	не в	9	5
97	тем не	1	5
98	в отношении	4	5
99	не менее	4	5
100	одна из	4	5
101	только и	2	5
102	свою очередь	2	5
103	для этого	4	5
104	другими словами	1	5
105	еще не	7	5
106	она имеет	1	5
107	и для	5	5
108	из себя	3	5
109	а в	4	5
110	в свою	3	5
111	явления и	1	4
112	собственном смысле	3	4
113	мы не	2	4
114	в их	2	4
115	во всех	12	4
116	как таковая	1	4
117	точка зрения	2	4
118	независимо от	2	4
119	его на	1	4
120	с этим	2	4
121	в своем	6	4
122	однако не	1	4
123	приведет к	1	4
124	не предполагает	1	4
125	на почве	4	4
126	как и	6	4
127	с точки	3	4
128	и более	2	4
129	на себе	1	4
130	слово и	5	4
131	же время	4	4
132	должен быть	2	4
133	и о	1	4
134	о том	2	4
135	определенным образом	1	4
136	с другой	5	4
137	что и	3	4
138	быть и	3	4
139	тем что	1	4
140	и даже	7	4
141	даже не	1	4
142	знания и	1	4
143	и потому	7	4
144	мы говорим	1	4
145	в данном	2	4
146	в отдельности	1	4
147	как только	1	4
148	и все	5	4
149	оно не	8	4
150	себя как	1	3
151	в чисто	3	3
152	отношения к	4	3
153	момент в	1	3
154	более или	2	3
155	ее как	1	3
156	в нем	19	3
157	по самому	1	3
158	на этом	3	3
159	несмотря на	1	3
160	нисколько не	1	3
161	или менее	2	3
162	в своей	1	3
163	все это	16	3
164	есть именно	1	3
165	как о	2	3
166	тогда когда	2	3
167	и притом	1	3
168	ее с	1	3
169	в основе	4	3
170	того чтобы	2	3
171	или как	4	3
172	к ней	2	3
173	к себе	1	3
174	сущности как	1	3
175	и самое	1	3
176	без всякого	2	3
177	в собственном	3	3
178	нет никакой	1	3
179	и сам	1	3
180	понимание и	1	3
181	так и	15	3
182	можно сказать	1	3
183	один из	5	3
184	что он	2	3
185	но как	2	3
186	только на	1	3
187	и чисто	2	3
188	а это	1	3
189	сама по	3	3
190	мы находим	1	3
191	в одном	2	3
192	отношение к	4	3
193	даже и	4	3
194	никогда не	7	3
195	вместе с	2	3
196	в той	4	3
197	да и	1	3
198	она может	2	3
199	себя самого	1	3
200	это может	1	3
201	и ни	2	3
202	хотя бы	3	3
203	нем нет	1	2
204	можно говорить	2	2
205	в сфере	2	2
206	как это	3	2
207	ту же	3	2
208	поэтому и	4	2
209	мы уже	2	2
210	той же	3	2
211	как мы	7	2
212	человека и	3	2
213	но она	2	2
214	конечно и	2	2
215	мы ее	1	2
216	и этого	1	2
217	не нужно	1	2
218	мысли и	1	2
219	не все	2	2
220	и таким	1	2
221	есть предмет	1	2
222	как в	13	2
223	и нет	2	2
224	себе как	2	2
225	выражение в	1	2
226	приводит к	1	2
227	если он	1	2
228	смыслом и	1	2
229	он не	2	2
230	для того	2	2
231	как часто	1	2
232	и этот	1	2
233	но все	5	2
234	и может	1	2
235	об этом	1	2
236	на все	1	2
237	то есть	26	2
238	на этой	1	2
239	себя не	1	2
240	и тем	1	2
241	ни в	4	2
242	но уже	1	2
243	все равно	1	2
244	в слове	6	2
245	и уже	1	2
246	где она	1	2
247	для нее	1	2
248	с которой	1	2
249	дело в	2	2
250	на него	2	2
251	чем не	2	2
252	для всего	1	2
253	это именно	1	2
254	тех или	1	2
255	и его	33	2
256	этого предмета	2	2
257	из самого	1	2
258	если же	1	2
259	оно может	2	2
260	то она	1	2
261	степени и	2	2
262	с собой	1	2
263	не с	3	2
264	мог бы	1	2
265	в виду	1	2
266	никак не	1	2
267	не стоит	1	2
268	может не	2	2
269	это было	1	2
270	говорить об	1	2
271	еще более	2	2
272	в качестве	1	2
273	его и	2	2
274	мы можем	1	2
275	свое выражение	1	2
276	о которых	1	2
277	самого же	2	2
278	в особенности	3	2
279	или иначе	1	2
280	превращается в	1	2
281	них и	2	2
282	слов а	1	2
283	в подлинном	1	2
284	именно так	1	2
285	ближе к	1	2
286	но оно	2	2
287	в частности	1	2
288	во-вторых и	1	2
289	оно только	1	2
290	какого бы	1	2
291	как вещь	2	2
292	который мы	1	2
293	предмету и	2	2
294	мы говорили	1	2
295	смысл в	1	2
296	кроме того	2	2
297	в более	2	2
298	но именно	1	2
299	ни к	2	2
300	но зато	1	2
301	отношении к	4	2
302	жизни в	2	2
303	может и	2	2
304	это так	1	2
305	в своих	1	2
306	во всяком	3	2
307	и наиболее	1	1
308	с новыми	1	1
309	речь идет	1	1
310	словом как	1	1
311	идет о	1	1
312	между двумя	1	1
313	из самых	1	1
314	к абстрактному	1	1
315	по преимуществу	1	1
316	оно было	2	1
317	все те	1	1
318	от которых	1	1
319	с таким	2	1
320	в зависимости	4	1
321	ней нет	1	1
322	основных направлений	1	1
323	в смысловом	2	1
324	что уже	1	1
325	именно к	2	1
326	вещами а	1	1
327	он как	1	1
328	нас это	1	1
329	и со	1	1
330	до полного	1	1
331	полное и	1	1
332	и заставляет	1	1
333	уже в	2	1
334	проявляется в	1	1
335	и говорить	1	1
336	и иначе	1	1
337	и на	4	1
338	между собой	1	1
339	первый план	1	1
340	всего этого	1	1
341	слова эти	1	1
342	с его	7	1
343	конечно это	1	1
344	то мы	1	1
345	имени которое	1	1
346	всегда стремится	1	1
347	отличие от	13	1
348	в едином	1	1
349	мы теперь	1	1
350	и речи	2	1
351	в истории	11	1
352	и выражения	1	1
353	стороны и	3	1
354	что как	1	1
355	словом в	4	1
356	сознания но	1	1
357	перед нами	3	1
358	частей и	1	1
359	хотя и	2	1
360	себя так	1	1
361	и к	6	1
362	и свою	1	1
363	все эти	6	1
364	в этой	1	1
365	однако как	1	1
366	зависимости от	4	1
367	как он	2	1
368	но на	1	1
369	и идея	1	1
370	при этом	7	1
371	и признанное	1	1
372	он ни	1	1
373	и единое	1	1
374	и еще	1	1
375	о существенном	1	1
