N	2gram	Tiupa_Teor_1	VerxiiNi
1	и в	18	26
2	таким образом	3	22
3	с тем	1	18
4	в этом	8	15
5	вместе с	2	15
6	точки зрения	9	13
7	как бы	5	12
8	в том	16	11
9	из этих	3	10
10	не только	16	10
11	может быть	17	10
12	связи с	1	9
13	в области	4	9
14	так как	1	9
15	но и	9	9
16	что в	9	9
17	но не	9	8
18	с другой	7	8
19	и не	13	8
20	но в	9	7
21	из них	1	7
22	том что	9	7
23	потому что	3	7
24	к нему	1	7
25	с одной	2	7
26	то что	3	7
27	а с	3	7
28	одной стороны	2	7
29	того же	3	6
30	все эти	2	6
31	в себе	9	6
32	с точки	3	6
33	в отношении	3	6
34	к тому	2	6
35	так и	10	6
36	и т.д	3	6
37	о том	1	6
38	в конце	2	6
39	что и	2	6
40	и потому	2	6
41	все это	2	6
42	отношение к	5	5
43	и к	3	5
44	в силу	1	5
45	в мире	19	5
46	лишь в	6	5
47	или менее	2	5
48	по крайней	1	5
49	того чтобы	1	5
50	никогда не	4	5
51	для того	1	5
52	в его	6	5
53	крайней мере	1	5
54	а не	9	5
55	к жизни	2	5
56	и для	2	5
57	так же	2	5
58	одной из	2	5
59	более или	2	5
60	том числе	2	5
61	то же	7	4
62	целый ряд	1	4
63	в самом	4	4
64	в этой	3	4
65	и по	2	4
66	что все	1	4
67	то есть	12	4
68	с другими	5	4
69	должен был	1	4
70	он не	3	4
71	далеко не	2	4
72	в то	6	4
73	в нем	4	4
74	а в	13	4
75	числе и	1	4
76	и что	3	4
77	и только	1	4
78	только в	6	4
79	не может	4	4
80	и от	1	4
81	в этих	3	4
82	что он	1	4
83	же как	1	3
84	не вполне	2	3
85	если в	2	3
86	в своем	4	3
87	и как	2	3
88	в которой	2	3
89	что это	1	3
90	так или	4	3
91	и те	1	3
92	духовной культуры	2	3
93	при этом	12	3
94	тем не	3	3
95	если бы	3	3
96	то с	1	3
97	не менее	4	3
98	представляет собой	9	3
99	и о	4	3
100	но по	1	3
101	на нее	1	3
102	можно сказать	3	3
103	в значительной	1	3
104	путь к	1	3
105	того что	4	3
106	но с	1	3
107	в качестве	24	3
108	так что	1	3
109	из которого	3	3
110	уже не	4	3
111	а после	1	3
112	для него	2	3
113	в одном	2	3
114	к ним	1	3
115	случае не	2	3
116	и даже	2	3
117	или иначе	5	3
118	с ней	1	3
119	в связи	1	3
120	в рамках	7	3
121	каждая из	1	3
122	в результате	1	3
123	отношению к	4	3
124	и другие	2	3
125	точно так	1	3
126	одним из	2	2
127	связана с	1	2
128	и это	2	2
129	и больше	2	2
130	мы имеем	7	2
131	жизни по	1	2
132	еще не	4	2
133	и на	1	2
134	бы то	1	2
135	с его	5	2
136	во всех	1	2
137	или иное	1	2
138	еще на	1	2
139	он в	1	2
140	на то	1	2
141	не могла	1	2
142	состоит в	17	2
143	его можно	1	2
144	заключает в	1	2
145	то ни	1	2
146	те же	1	2
147	в них	2	2
148	которые в	1	2
149	не в	7	2
150	без остатка	2	2
151	героев и	1	2
152	не могло	2	2
153	только не	2	2
154	в самой	2	2
155	же время	5	2
156	с одним	1	2
157	в русском	1	2
158	и является	2	2
159	и здесь	2	2
160	не могут	2	2
161	те и	1	2
162	отличается от	2	2
163	той или	1	2
164	то или	1	2
165	приводит к	5	2
166	не с	3	2
167	особенно в	1	2
168	для этого	1	2
169	в виду	5	2
170	а также	6	2
171	между тем	5	2
172	вслед за	2	2
173	наконец в	1	2
174	быть и	2	2
175	по своей	3	2
176	один из	2	2
177	области духовной	1	2
178	тот же	1	2
179	между этими	1	2
180	для всех	1	2
181	свидетельствует о	1	2
182	из своих	1	2
183	или иной	4	2
184	именно в	3	2
185	к которому	3	2
186	прежде всего	2	2
187	превращается в	2	2
188	не было	1	2
189	когда же	1	2
190	в одно	2	2
191	если не	1	2
192	и особенно	2	2
193	требует от	1	2
194	человек должен	1	2
195	и мир	1	2
196	по своему	2	2
197	есть как	2	2
198	по существу	1	2
199	никем не	1	2
200	же самое	1	2
201	тем и	1	2
202	о котором	1	2
203	ни было	1	2
204	в свою	3	2
205	сказать что	3	2
206	к его	2	2
207	одновременно и	1	2
208	из этого	1	2
209	можно назвать	1	2
210	все что	1	2
211	можно говорить	1	1
212	чтобы не	1	1
213	начинается с	1	1
214	живое существо	1	1
215	а весь	1	1
216	а между	1	1
217	или к	1	1
218	другому человеку	1	1
219	мере в	1	1
220	в самостоятельный	1	1
221	этого мира	1	1
222	тем же	1	1
223	в первом	2	1
224	и до	1	1
225	бесконечно и	1	1
226	несколько иной	1	1
227	той же	1	1
228	именно к	1	1
229	этом не	1	1
230	существенно отличается	1	1
231	в сущности	1	1
232	совпадает с	3	1
233	этим определяется	1	1
234	личности с	1	1
235	на них	1	1
236	за это	1	1
237	в широком	1	1
238	что его	1	1
239	в чем	1	1
240	их расположение	1	1
241	к нам	2	1
242	в сторону	1	1
243	одном и	1	1
244	по отношению	4	1
245	а и	4	1
246	вступают в	1	1
247	а через	1	1
248	отличие от	6	1
249	что они	1	1
250	себя в	6	1
251	идет о	1	1
252	в одной	1	1
253	как в	5	1
254	как к	2	1
255	с их	2	1
256	своей ролью	1	1
257	могли бы	2	1
258	это тоже	2	1
259	неизмеримо более	1	1
260	то в	2	1
261	к чему	2	1
262	в ритмическом	2	1
263	то время	1	1
264	в нашем	4	1
265	с эпохи	1	1
266	не более	1	1
267	как основной	1	1
268	неизбежно заключает	1	1
269	имеем в	3	1
270	если он	1	1
271	вследствие этого	1	1
272	в повседневном	1	1
273	роли в	5	1
274	на его	1	1
275	образ его	1	1
276	к искусству	1	1
277	случае еще	1	1
278	к нашим	1	1
279	время и	1	1
280	но именно	1	1
281	о полку	2	1
282	он должен	2	1
283	к одному	1	1
284	и более	1	1
285	остается лишь	1	1
286	на земле	1	1
287	на этом	1	1
288	когда на	1	1
289	что она	2	1
290	не следует	4	1
291	том же	1	1
292	спрашивает себя	1	1
293	бы быть	1	1
294	его в	2	1
295	входит в	1	1
296	это было	2	1
297	заключается в	2	1
298	есть не	1	1
299	таково в	1	1
300	это не	2	1
301	было бы	1	1
302	на почве	4	1
303	не совпадает	1	1
304	весь мир	1	1
305	чаще всего	1	1
306	в жизни	2	1
307	к области	2	1
308	ни в	2	1
309	нет в	1	1
310	она и	1	1
311	соответствии с	2	1
312	как видно	1	1
313	в слове	3	1
314	как и	4	1
315	этим и	1	1
316	на одну	1	1
317	духовной жизни	1	1
318	должно быть	1	1
319	и того	3	1
320	одного и	3	1
321	перед собой	1	1
322	от своего	2	1
323	в своей	6	1
324	таким же	1	1
325	культуры ибо	1	1
326	что высшей	1	1
327	никто не	2	1
328	в такой	1	1
329	в их	2	1
330	и вокруг	1	1
331	место в	5	1
332	все и	1	1
333	на каждом	1	1
334	в отличие	6	1
335	душевное состояние	1	1
336	но эта	1	1
337	их в	3	1
338	не могли	1	1
339	однако в	7	1
340	не должно	1	1
341	он выступает	1	1
342	по себе	1	1
343	даже в	3	1
344	связей с	1	1
345	случае мы	1	1
346	и одной	2	1
347	случае в	1	1
348	из нас	1	1
349	дело не	2	1
350	на себе	1	1
351	не по	1	1
352	в уме	1	1
353	иметь в	1	1
354	а тот	1	1
355	казалось бы	2	1
356	имеются и	2	1
357	вследствие того	1	1
358	не принадлежат	1	1
359	другой стороны	5	1
360	мире и	2	1
361	ничто не	1	1
362	и делает	1	1
363	в каком	1	1
364	однако это	1	1
365	у нас	2	1
366	настоящего времени	1	1
367	которое в	1	1
368	могут быть	4	1
369	сама жизнь	1	1
370	этом может	1	1
371	и другим	1	1
372	всего что	1	1
373	и конечно	1	1
374	ролью в	1	1
375	всегда так	1	1
376	слова с	1	1
377	за свою	1	1
378	на это	1	1
379	в каждой	1	1
380	для себя	1	1
381	значения и	2	1
382	с ее	3	1
383	свою очередь	2	1
384	здесь не	1	1
385	в ее	5	1
386	данном случае	5	1
387	только то	1	1
388	в себя	3	1
389	роль в	2	1
390	котором он	1	1
391	единое целое	2	1
392	с собой	1	1
393	что от	1	1
394	между собой	3	1
395	собой и	1	1
396	культура есть	1	1
397	именно потому	1	1
398	первом случае	1	1
399	в состав	6	1
400	все прочие	3	1
401	в глаза	2	1
402	одного из	1	1
403	после того	1	1
404	не позволяет	1	1
405	времени в	2	1
406	до известной	2	1
407	под именем	1	1
408	каждом из	1	1
409	жизни он	1	1
410	в которую	1	1
411	а у	1	1
412	том или	1	1
413	тем или	1	1
414	у всякого	1	1
415	впрочем достаточно	1	1
416	во втором	3	1
417	отчет в	1	1
418	эти два	1	1
419	стоит и	1	1
420	во всей	1	1
421	встречается лишь	1	1
422	происходит в	1	1
423	что этому	1	1
424	внутренней стороны	1	1
425	обе эти	1	1
426	совсем не	1	1
427	мы видим	1	1
428	ценностей и	1	1
429	с ними	1	1
430	дело с	1	1
431	в миропорядке	8	1
432	но этим	1	1
433	что даже	1	1
434	целого и	1	1
435	еще и	1	1
436	между этим	1	1
437	до нас	1	1
438	и ее	3	1
439	или его	1	1
440	их не	1	1
441	и его	8	1
442	полку игореве	2	1
443	только на	1	1
444	чем с	1	1
445	личность с	1	1
446	в душе	8	1
447	дает ему	1	1
448	что сама	2	1
449	рефлексия не	1	1
450	и их	1	1
451	представить себе	1	1
452	не означает	1	1
453	ритмическом отношении	1	1
454	с этими	1	1
455	у него	1	1
456	с системой	1	1
457	как раз	2	1
458	тем что	1	1
459	тогда как	15	1
460	или ином	1	1
