N	2gram	Tiupa_Disk_1	Problema
1	то что	5	42
2	то есть	20	33
3	и в	16	32
4	и не	11	31
5	не есть	2	29
6	в этом	15	19
7	не менее	2	19
8	тем не	1	18
9	не только	28	17
10	потому что	4	16
11	в себе	7	15
12	по себе	3	15
13	в виде	1	15
14	а не	22	15
15	но в	8	14
16	указывает на	2	14
17	может быть	17	14
18	как бы	5	14
19	в нем	9	13
20	и тем	2	13
21	при помощи	1	13
22	как раз	1	13
23	сказать что	3	13
24	том что	19	12
25	что в	4	12
26	так и	8	12
27	а именно	1	12
28	также и	3	11
29	о том	8	11
30	и даже	3	11
31	то же	7	10
32	отнюдь не	8	10
33	в этой	2	10
34	об этом	2	10
35	прежде всего	11	10
36	еще не	14	9
37	но не	11	9
38	раз и	1	9
39	то с	2	9
40	же самое	2	9
41	и это	1	9
42	и что	2	9
43	но и	14	9
44	по своему	3	9
45	в данном	5	9
46	что же	2	9
47	в том	23	9
48	в таком	1	9
49	и о	4	8
50	и ее	2	8
51	и на	5	8
52	на то	1	8
53	было бы	1	8
54	в своей	5	8
55	когда мы	1	8
56	данном случае	2	8
57	как нечто	1	8
58	не может	9	8
59	но это	1	8
60	сам по	1	7
61	во всех	5	7
62	действительности а	1	7
63	всех этих	1	7
64	содержит в	1	7
65	в них	4	7
66	и является	1	7
67	как мы	2	7
68	здесь не	1	7
69	никогда не	2	7
70	того что	3	7
71	что он	4	7
72	только в	7	7
73	тем что	3	7
74	такого рода	4	7
75	и все	2	7
76	во всяком	2	7
77	таком случае	1	6
78	и то	1	6
79	самом деле	1	6
80	на самом	1	6
81	и есть	2	6
82	говорить о	1	6
83	но как	2	6
84	за пределы	2	6
85	и как	6	6
86	в самом	3	6
87	при этом	13	6
88	это не	3	6
89	что такое	1	6
90	в то	3	6
91	таким образом	3	6
92	в виду	2	6
93	разного рода	2	6
94	в его	7	6
95	этом смысле	1	6
96	то и	1	6
97	в конце	1	6
98	о чем	2	6
99	как это	1	6
100	не существует	1	6
101	хотя и	2	6
102	не имеют	1	5
103	а только	1	5
104	в своем	6	5
105	перед нами	3	5
106	не являются	1	5
107	что она	1	5
108	но уже	1	5
109	далеко не	10	5
110	с тем	1	5
111	в котором	5	5
112	текста и	2	5
113	связи с	4	5
