N	3gram	Vinokur_Vv_1	Analitik
1	не может быть	8	16
2	в том что	12	9
3	в то же	5	8
4	в том чтобы	5	7
5	той или иной	1	6
6	то же время	5	6
7	в отличие от	3	6
8	по отношению к	4	5
9	что иное как	4	5
10	и не в	1	4
11	большей или меньшей	2	4
12	не что иное	4	4
13	с точки зрения	2	4
14	мы имеем дело	1	4
15	о том что	12	3
16	подобно тому как	1	3
17	с одной стороны	4	3
18	бы то ни	1	3
19	том или ином	1	3
20	из того что	1	3
21	для того чтобы	21	3
22	и т п	5	3
23	имеем дело с	1	3
24	то ни было	1	3
25	лишь в том	1	3
26	есть не что	2	3
27	состоит в том	2	3
28	того или иного	1	3
29	в принципе не	1	3
30	не в том	2	3
31	не могут быть	2	2
32	какой бы то	1	2
33	остается ничего иного	1	2
34	того что в	1	2
35	тех или иных	3	2
36	с другой стороны	5	2
37	но в то	3	2
38	в том или	1	2
39	и того же	2	2
40	мере в какой	4	2
41	в той мере	4	2
42	той мере в	4	2
43	в широком смысле	7	2
44	одного и того	2	2
45	в этом отношении	3	2
46	в самом деле	5	2
47	то же самое	2	2
48	именно в этом	3	2
49	в свое время	2	2
50	ничего иного как	1	2
51	но и в	1	2
52	в первом случае	2	2
53	не остается ничего	1	2
54	в данном случае	4	2
55	принципе не может	1	1
56	во всяком случае	3	1
57	в том виде	3	1
58	в том же	1	1
59	сам по себе	1	1
60	тогда когда оно	1	1
61	одной и той	2	1
62	в целом но	1	1
63	а только с	1	1
64	природе того что	1	1
65	только тогда когда	1	1
66	заключенное в нем	1	1
67	дело не только	1	1
68	также и в	2	1
69	до тех пор	1	1
70	того чтобы быть	1	1
71	и тогда когда	1	1
72	этого слова как	1	1
73	но не может	1	1
74	по меньшей мере	2	1
75	но в принципе	1	1
76	в обоих этих	1	1
77	может быть определено	1	1
78	и то же	1	1
79	язык есть не	1	1
80	дело не с	1	1
81	в собственном смысле	2	1
82	до сих пор	5	1
83	широком смысле этого	2	1
84	дело не в	1	1
85	собой не что	1	1
86	в этом смысле	10	1
87	к тому что	1	1
88	так как если	1	1
89	подлинного искусства в	1	1
90	в большей или	1	1
91	или меньшей степени	1	1
92	два различных аспекта	1	1
93	по крайней мере	4	1
94	том виде в	1	1
95	как если бы	1	1
96	но и как	1	1
97	и той же	2	1
98	совершенно иного рода	1	1
99	не сам по	1	1
100	значение только в	1	1
101	не только в	4	1
102	как будто бы	2	1
103	только в том	2	1
104	в свою очередь	1	1
105	то или иное	1	1
106	речь идет об	1	1
107	ответом на вопрос	1	1
108	говоря уже о	1	1
109	во всем объеме	1	1
110	мы имеем в	1	1
111	на вопрос о	4	1
112	самом деле как	1	1
113	в связи с	2	1
114	внешнего по отношению	1	1
115	единого и цельного	1	1
116	в известном смысле	3	1
117	и т.д в	1	1
118	смысле этого слова	2	1
119	прежде всего в	1	1
120	и в самом	3	1
121	в зависимости от	1	1
122	тех пор пока	1	1
123	собственном смысле слова	1	1
124	и не могут	2	1
125	в достаточной мере	1	1
126	не говоря уже	2	1
127	в новейшее время	1	1
128	виде в каком	1	1
129	вместе с тем	3	1
130	что же касается	2	1
131	имеем в виду	1	1
132	ставит себе целью	1	1
133	уже потому что	1	1
134	этой точки зрения	1	1
135	было бы именовать	1	1
136	с этой точки	1	1
137	в соответствии с	2	1
138	одно и то	1	1
139	имеет дело с	2	1
