N	3gram	Ircho_Kome_2	Otkroven
1	у него в	1	5
2	для того чтобы	4	3
3	что у него	2	2
4	не может быть	1	2
5	но и в	1	2
6	до самого конца	1	2
7	ни у кого	1	2
8	как будто бы	1	1
9	по сравнению с	1	1
10	как например в	1	1
11	в этих словах	1	1
12	с утра до	1	1
13	потому что в	1	1
14	нее не было	1	1
15	в самом деле	1	1
16	и в том	1	1
17	никто не может	1	1
18	ни с кем	1	1
19	так и не	1	1
20	приходит в голову	1	1
21	в которую он	1	1
22	у нее не	1	1
23	во всяком случае	2	1
24	том случае если	1	1
25	само по себе	1	1
26	после того как	2	1
27	о том что	4	1
28	то что в	1	1
29	и в самом	1	1
30	в том что	5	1
31	свои силы в	1	1
32	в том случае	1	1
33	может быть сопоставлен	1	1
34	утра до вечера	1	1
35	в каждом из	1	1
36	друг с другом	2	1
37	в самом начале	2	1
38	не приходит в	1	1
39	у кого не	1	1
40	вместо того чтобы	1	1
41	там и здесь	1	1
42	что он был	1	1
43	никто еще не	1	1
44	это было у	1	1
45	человеку и его	1	1
