N	4gram	Kanaev_Sov_1	Freidism
1	в то же время	1	4
2	одной и той же	1	3
3	один и тот же	1	3
4	но мы знаем что	1	2
5	бы то ни было	1	2
6	в предыдущей главе мы	1	2
7	может быть и речи	1	1
8	но тем не менее	1	1
9	не могут быть поняты	1	1
10	назвать в отличие от	1	1
11	таким образом ясно что	1	1
12	а может быть и	1	1
13	не давая себе даже	1	1
14	что же это за	2	1
15	в первый период развития	1	1
16	мы знаем что это	1	1
17	одни и те же	1	1
18	не может быть и	1	1
19	во всяком случае не	1	1
20	быть и речи мы	1	1
