N	4gram	Bakhtin_Pr_1	Russkaja
1	в то же время	3	10
2	что бы то ни	1	3
3	во что бы то	1	3
4	бы то ни стало	1	3
5	или в лучшем случае	1	2
6	и в том и	1	2
7	том и в другом	1	2
8	в том и в	1	2
9	и с точки зрения	1	1
10	дело в том что	1	1
11	отнюдь не может быть	1	1
12	и не может быть	1	1
13	по отношению ко всякой	1	1
14	бы то ни было	2	1
15	то же время она	1	1
16	но в то же	1	1
17	на том основании что	1	1
18	несмотря на то что	1	1
19	ни к чему не	1	1
20	о которых идет речь	1	1
21	той или иной культурной	1	1
