N	2gram	Tiupa_Narr_1	TeoriaLi
1	в мире	9	24
2	не только	32	18
3	в качестве	21	17
4	тогда как	12	16
5	и не	20	16
6	а в	11	14
7	состоит в	13	13
8	и в	19	13
9	в частности	14	13
10	то есть	19	12
11	так и	9	12
12	может быть	25	12
13	в этом	17	11
14	представляет собой	13	11
15	при этом	9	11
16	в том	18	11
17	но не	5	10
18	и его	5	10
19	в тексте	16	10
20	а не	12	10
21	то же	4	9
22	внутреннего зрения	4	9
23	в его	9	9
24	по отношению	7	8
25	такого рода	7	8
26	своего рода	12	8
27	сводится к	3	8
28	но и	23	8
29	отношению к	6	8
30	что в	3	8
31	отличие от	5	7
32	в себе	8	7
33	том что	14	7
34	точки зрения	10	7
35	в отличие	5	7
36	в то	3	7
37	по своей	3	7
38	во второй	2	7
39	только в	4	7
40	себя в	5	7
41	кадров внутреннего	1	7
42	как это	6	7
43	в данном	5	7
44	еще не	7	6
45	с его	6	6
46	но в	6	6
47	лишь в	1	6
48	место в	1	6
49	в русской	1	6
50	же время	4	6
51	картина мира	5	6
52	присутствия в	3	6
53	как бы	4	6
54	мы имеем	2	5
55	жизни как	3	5
56	данном случае	4	5
57	в рамках	12	5
58	в своем	2	5
59	в самом	1	5
60	он не	3	5
61	в принципе	4	5
62	того или	2	5
63	как и	7	5
64	композиционных форм	1	5
65	не в	14	5
66	однако в	2	5
67	тем самым	6	5
68	коммуникативного события	12	5
69	в нем	4	5
70	в ее	3	5
71	в пределах	2	5
72	или иной	5	5
73	а также	7	5
74	между тем	3	5
75	речевая маска	5	5
76	не сводится	2	5
77	и одновременно	2	5
78	уже не	5	5
79	не случайно	2	5
80	с другой	8	5
81	как в	7	5
82	или иного	2	5
83	между ними	2	5
84	героя и	4	5
85	высказывания в	6	4
86	говорить о	2	4
87	как правило	4	4
88	конечном счете	2	4
89	отношение к	2	4
90	субъекта и	2	4
91	хотя и	3	4
92	всего лишь	2	4
93	то что	11	4
94	креативная компетенция	6	4
95	не предполагает	5	4
96	ни в	3	4
97	в слове	1	4
98	личностного присутствия	1	4
99	в ходе	1	4
100	в их	1	4
101	или менее	2	4
102	не столько	4	4
103	не менее	3	4
104	личности в	2	4
105	приводит к	2	4
106	читателя в	2	4
107	можно сказать	5	4
108	в конечном	3	4
109	в форме	5	4
110	и ее	2	4
111	за пределами	1	4
112	но он	1	4
113	и т.п	8	4
114	текста как	2	4
115	художественного текста	2	4
116	мира и	2	4
117	в свою	3	4
118	не знает	1	4
119	сказать что	4	4
120	не может	10	4
121	более или	2	4
122	и то	1	3
123	между двумя	5	3
124	на две	1	3
125	являет собой	2	3
126	например в	2	3
127	совпадает с	1	3
128	своем составе	1	3
129	не все	5	3
130	и т.д	7	3
131	в акте	1	3
132	в художественном	1	3
133	кто говорит	2	3
134	перед нами	4	3
135	и к	1	3
136	в противоположность	2	3
137	все эти	2	3
138	в этой	5	3
139	и по	1	3
140	его в	2	3
141	этом смысле	1	3
142	по мысли	3	3
143	авторской позиции	2	3
144	мог бы	3	3
145	и сам	1	3
146	тем не	3	3
147	картины мира	5	3
148	никогда не	3	3
149	как раз	2	3
150	потому что	1	3
151	в эпизоде	3	3
152	той или	4	3
153	ценностного центра	2	3
154	говоря словами	2	3
155	рамках которого	1	3
156	свою очередь	3	3
157	другой стороны	4	3
158	в произведении	3	3
159	в другом	1	3
160	о ней	3	3
161	входит в	1	3
162	того что	1	3
163	а с	3	3
164	во времени	8	3
165	человека с	1	3
166	для него	2	3
167	слова в	1	3
168	с ее	3	3
169	в финале	1	3
170	именно в	6	3
171	и др	2	3
172	нового времени	2	3
173	прежде всего	4	3
174	в соответствии	1	3
175	может выступать	1	3
176	и потому	2	3
177	человека к	1	3
178	по своему	1	3
179	этого слова	2	3
180	мира в	5	3
181	к которому	2	3
182	таким образом	1	3
183	или в	2	3
184	в основе	5	3
185	речи и	1	3
186	отношения к	2	2
187	мире это	1	2
188	того же	1	2
189	это и	3	2
190	тех или	1	2
191	статус знания	2	2
192	в присутствии	3	2
193	и больше	1	2
194	к собственной	1	2
195	в дискурсе	1	2
196	анекдот не	2	2
197	всех без	1	2
198	такая возможность	1	2
199	но она	1	2
200	на себя	3	2
201	в целом	1	2
202	между собой	2	2
203	жизни однако	1	2
204	в чем	1	2
205	возможность иного	2	2
206	вокруг я	2	2
207	могло быть	1	2
208	значении этого	3	2
209	но как	2	2
210	у него	4	2
211	свою жизнь	1	2
212	человеческих отношений	1	2
213	что они	3	2
214	как говорит	3	2
215	данный момент	1	2
216	форма авторства	2	2
217	человеческого бытия	1	2
218	как к	2	2
219	кому говорят	1	2
220	или субъектом	2	2
221	и как	5	2
222	референтная компетенция	3	2
223	бытийной компетенцией	1	2
224	видения мира	1	2
225	позволяет говорить	1	2
226	образом и	1	2
227	так или	2	2
228	рассказ о	1	2
229	коммуникативной природе	1	2
230	в притче	3	2
231	высказывания не	1	2
232	но на	1	2
233	с языком	1	2
234	хотят и	1	2
235	могут оказаться	1	2
236	поведение в	1	2
237	и свершают	1	2
238	к одному	1	2
239	быть субъектом	1	2
240	писал бахтин	1	2
241	и возможность	2	2
242	в году	1	2
243	или иных	1	2
244	без исключения	2	2
245	здесь мы	1	2
246	это позиция	2	2
247	единое целое	1	2
248	об этом	1	2
249	это не	2	2
250	и иных	1	2
251	и тем	4	2
252	соответствии с	1	2
253	вовсе не	1	2
254	взаимодействия людей	1	2
255	биографического дискурса	2	2
256	и того	1	2
257	иначе говоря	6	2
258	жанровой традиции	1	2
259	одного и	1	2
260	вненаходимости бахтин	1	2
261	м.м бахтин	2	2
262	речевого замысла	2	2
263	высказывания как	1	2
264	причастной вненаходимости	1	2
265	с точки	2	2
266	а.н веселовского	1	2
267	высказывания и	3	2
268	их в	1	2
269	я героя	2	2
270	в культуре	2	2
271	зрения и	2	2
272	по себе	5	2
273	даже в	2	2
274	текст и	1	2
275	хоровое слово	1	2
276	дело не	1	2
277	самостоятельный эпизод	1	2
278	ситуации рассказывания	2	2
279	не могло	2	2
280	вытекает из	1	2
281	однако если	1	2
282	воображаемого мира	1	2
283	риторический предел	2	2
284	и соответственно	2	2
285	имеем дело	2	2
286	этих двух	1	2
287	своей природе	1	2
288	с читателем	1	2
289	как будто	3	2
290	этического выбора	2	2
291	и для	2	2
292	его речевой	1	2
293	маска такого	2	2
294	вокруг него	2	2
295	следует признать	2	2
296	для такого	1	2
297	из перечисленных	1	2
298	имеет место	4	2
299	не ограничивается	1	2
300	в анекдоте	2	2
301	исторически наиболее	1	2
302	здесь не	4	2
303	воображенного мира	1	2
304	в организации	2	2
305	в себя	6	2
306	роль в	2	2
307	однако эта	1	2
308	такого знания	1	2
309	не с	3	2
310	к его	1	2
311	если бы	1	2
312	индивидуального речевого	2	2
313	коммуникативное событие	3	2
314	в виду	1	2
315	и здесь	1	2
316	в состав	1	2
317	о том	6	2
318	судьбы а	1	2
319	что каждый	1	2
320	первого эпизода	2	2
321	времени в	2	2
322	это было	1	2
323	восходит к	3	2
