N	2gram	Vinokur_Ku_1	NovoeSre
1	а не	8	17
2	и в	24	16
3	не может	7	16
4	совсем не	1	12
5	нового времени	1	12
6	и не	12	11
7	и есть	2	10
8	истории и	1	9
9	что в	17	9
10	как не	1	8
11	в том	30	8
12	жизни и	1	8
13	он не	2	8
14	в этом	14	7
15	может быть	13	7
16	как и	2	7
17	это есть	2	7
18	с его	4	6
19	не в	11	6
20	ни в	2	6
21	никогда не	2	6
22	лишь в	2	6
23	но это	1	6
24	не знает	1	6
25	должен быть	4	5
26	в ней	6	5
27	истории в	1	5
28	культуры в	1	5
29	не только	10	5
30	в жизни	1	5
31	xix века	5	5
32	все это	6	5
33	в нем	4	5
34	большую роль	1	4
35	о том	9	4
36	и мы	2	4
37	государства и	1	4
38	наше время	1	4
39	в них	7	4
40	то что	9	4
41	это не	7	4
42	прежде всего	9	4
43	не было	3	4
44	должно быть	3	4
45	есть лишь	3	4
46	и потому	4	4
47	по своему	1	4
48	не менее	7	4
49	и для	2	4
50	не имеет	2	4
51	и все	2	4
52	потому что	23	4
53	с другой	7	3
54	смысле слова	1	3
55	в ее	1	3
56	должна быть	3	3
57	вопрос о	2	3
58	еще не	5	3
59	во всех	1	3
60	лицом к	1	3
61	в истории	3	3
62	наряду с	1	3
63	как в	4	3
64	конечно не	2	3
65	не значит	1	3
66	к ним	1	3
67	возвращение к	1	3
68	но и	6	3
69	это было	2	3
70	не есть	4	3
71	и пр	15	3
72	с тем	5	3
73	к лицу	1	3
74	в своей	2	3
75	к жизни	2	3
76	в россии	1	3
77	что такое	6	3
78	в наше	1	3
79	нашей эпохи	1	3
80	к ее	1	3
81	жизни в	1	3
82	в духе	3	3
83	к тому	5	3
84	в наши	1	3
85	сказать что	1	3
86	к революции	1	2
87	же как	1	2
88	более не	1	2
89	связана с	1	2
90	это и	4	2
91	роль в	4	2
92	не имеют	3	2
93	ведь и	1	2
94	культуры она	1	2
95	можно было	6	2
96	так и	7	2
97	и с	5	2
98	для этого	3	2
99	еще до	1	2
100	я не	2	2
101	и должно	2	2
102	и что	5	2
103	и на	4	2
104	быть в	2	2
105	времени в	1	2
106	должно было	1	2
107	на протяжении	1	2
108	но не	5	2
109	в новом	1	2
110	все время	1	2
111	самый процесс	1	2
112	с этим	4	2
113	помнить что	1	2
114	хотя и	3	2
115	не хотят	1	2
116	но в	2	2
117	который в	1	2
118	все эти	6	2
119	с одной	1	2
120	себя в	1	2
121	думать что	1	2
122	с их	3	2
123	есть в	4	2
124	в себе	3	2
125	уже не	8	2
126	может уже	1	2
127	том чтобы	8	2
128	что она	3	2
129	что все	2	2
130	и даже	3	2
131	этом смысле	3	2
132	в природе	1	2
133	к более	1	2
134	зависит от	1	2
135	и было	2	2
136	для чего	1	2
137	том что	21	2
138	вместе с	7	2
139	так же	4	2
140	я уже	1	2
141	мы говорим	2	2
142	мысли и	1	2
143	одной стороны	1	2
144	другой стороны	6	2
145	по существу	4	2
146	том и	2	2
147	и общества	1	2
148	как будто	1	2
149	как это	3	2
150	но для	1	2
151	в смысле	2	2
152	в то	2	2
153	одна из	1	2
154	мысли в	1	2
155	того чтобы	17	2
156	жизнью в	1	2
157	и от	1	2
158	в русском	4	2
159	хотя бы	10	2
160	а в	5	2
161	от всякого	1	2
162	я называю	1	2
163	ли это	2	2
164	когда мы	2	2
165	могут быть	1	2
166	также что	1	1
167	не имел	1	1
168	для себя	1	1
169	только потому	6	1
170	переход от	4	1
171	чтобы быть	2	1
172	по преимуществу	2	1
173	как результат	1	1
174	и мысли	2	1
175	и этот	1	1
176	явление он	1	1
177	не с	3	1
178	во многом	1	1
179	он также	1	1
180	вопрос этот	1	1
181	к тем	1	1
182	на место	1	1
183	совершенно невозможно	1	1
184	с ним	5	1
185	можно сказать	3	1
186	это всегда	1	1
187	смысле и	2	1
188	говорить о	1	1
189	нет уже	1	1
190	на себя	3	1
191	и другая	1	1
192	движения и	1	1
193	как я	2	1
194	то это	3	1
