N	2gram	Nazirov_Vr_1	IolandNe
1	и с	6	3
2	и не	5	2
3	достоевского а	1	2
4	в этом	8	2
5	оба они	1	2
6	он не	3	2
7	творчества достоевского	1	2
8	что в	7	2
9	ничего не	1	2
10	о достоевском	2	2
11	же это	1	1
12	себя в	1	1
13	все это	4	1
14	и в	8	1
15	только что	1	1
16	и о	3	1
17	из мертвого	1	1
18	в эту	2	1
19	я не	3	1
20	бы в	1	1
21	к достоевскому	6	1
22	того же	1	1
23	было не	1	1
24	с другой	1	1
25	это было	1	1
26	а в	2	1
27	вплоть до	1	1
28	и дети	2	1
29	того что	1	1
30	произведения это	1	1
31	после смерти	2	1
32	как о	1	1
33	а с	2	1
34	другой стороны	1	1
35	о творчестве	1	1
36	и наказания	2	1
37	с героем	1	1
38	для него	2	1
39	а также	2	1
40	что для	1	1
41	говорить о	1	1
42	и сам	1	1
43	так и	1	1
44	бы его	1	1
45	мертвого дома	1	1
46	же писатель	1	1
47	все ясно	1	1
48	достоевского с	9	1
49	за границей	2	1
50	во многом	4	1
51	никогда не	2	1
52	из подполья	3	1
53	жизни и	1	1
54	преступления и	1	1
55	тем что	3	1
56	в целом	1	1
57	в них	2	1
58	знать и	1	1
59	и и	1	1
60	не слишком	1	1
