N	2gram	Trubetskoy_1	Freidism
1	таким образом	31	24
2	и не	8	23
3	не может	17	20
4	точки зрения	13	19
5	прежде всего	3	18
6	в этом	12	15
7	в его	5	15
8	и пр	1	15
9	мы можем	6	13
10	может быть	16	13
11	и его	1	12
12	все эти	19	11
13	как и	9	11
14	с точки	8	11
15	как бы	10	11
16	то что	18	11
17	самом деле	12	10
18	но в	4	10
19	его в	5	10
20	с ним	6	10
21	как мы	2	10
22	так и	10	10
23	и потому	3	10
24	с его	1	9
25	во всех	10	9
26	по отношению	9	9
27	и в	23	9
28	то же	4	8
29	не только	7	8
30	он не	3	8
31	в своей	1	8
32	еще не	5	8
33	что он	7	8
34	только в	6	8
35	так как	7	8
36	все это	11	8
37	и все	7	8
38	отношению к	9	8
39	все что	9	8
40	в самом	8	7
41	мы уже	4	7
42	отношение к	4	7
43	и наконец	3	7
44	мы видели	2	7
45	те же	2	7
46	к нему	2	7
47	один из	1	7
48	тот же	3	7
49	мы знаем	10	7
50	всяком случае	2	7
51	что же	2	7
52	сказать что	1	7
53	во всяком	2	7
54	в ней	3	6
55	все те	1	6
56	и с	5	6
57	и ее	2	6
58	точку зрения	2	6
59	того что	6	6
60	для него	2	6
61	вовсе не	2	6
62	никогда не	4	6
63	хотя бы	4	6
64	совершенно не	3	6
65	я и	1	5
66	на самом	7	5
67	и на	6	5
68	он сам	1	5
69	и к	5	5
70	в этой	6	5
71	что такое	1	5
72	знаем что	8	5
73	не в	8	5
74	мы должны	4	5
75	в то	6	5
76	могут быть	1	5
77	в себя	2	5
78	для этого	7	5
79	но мы	1	5
80	для того	8	5
81	по мнению	1	5
82	а в	3	5
83	но и	9	5
84	с этим	11	5
85	в свою	2	5
86	что в	8	5
87	смысле слова	1	4
88	в зависимости	1	4
89	той же	1	4
90	мы не	1	4
91	в которой	5	4
92	говорить о	2	4
93	я не	2	4
94	зависимости от	1	4
95	совсем не	1	4
96	но не	2	4
97	все же	13	4
98	не было	2	4
99	из этих	8	4
100	в нем	3	4
101	всех этих	4	4
102	на этом	2	4
103	то ни	3	4
104	при этом	9	4
105	с другими	1	4
106	в жизни	3	4
107	на основании	1	4
108	культура и	1	4
109	не менее	7	4
110	в основе	2	4
111	же время	2	4
112	таким путем	1	4
113	потому что	9	4
114	и для	6	4
115	к тому	8	4
116	т.е в	1	4
117	если мы	4	4
118	того чтобы	8	4
119	данном случае	3	4
120	сводится к	2	4
121	с самого	1	4
122	другими словами	2	4
123	которой мы	2	4
124	с ними	2	4
125	конечно не	3	4
126	уже не	1	4
127	в котором	2	4
128	мы находим	1	4
129	от того	3	4
130	на которые	1	4
131	себя и	2	4
132	в данном	3	4
133	в более	1	4
134	в этих	3	4
135	этот вопрос	2	4
136	между ними	2	4
137	в таком	4	4
138	теперь мы	2	3
139	на место	1	3
140	на себя	1	3
141	а только	1	3
142	в общем	6	3
143	него только	1	3
144	как в	1	3
145	и той	1	3
146	и как	1	3
147	между двумя	5	3
148	жизни к	1	3
149	в себе	5	3
150	и те	2	3
151	этот процесс	2	3
152	главным образом	1	3
153	о которой	2	3
154	в узком	1	3
155	и вот	1	3
156	одной и	2	3
157	и по	3	3
158	всех своих	1	3
159	что все	5	3
160	и может	3	3
161	конечно в	2	3
162	зрения на	1	3
163	было бы	3	3
164	уже знаем	1	3
165	такой же	2	3
166	мысли и	1	3
167	случае не	1	3
168	тому что	2	3
169	этой области	4	3
170	в психике	7	3
171	самого начала	1	3
172	одна из	2	3
173	на него	2	3
174	мыслей и	1	3
175	в сознании	6	3
176	не могут	4	3
177	бы он	1	3
178	она не	2	3
179	ничего общего	3	3
180	с ее	2	3
181	свою очередь	2	3
182	всем этим	1	3
183	только то	2	3
184	приводит к	1	3
185	если бы	8	3
186	и что	8	3
187	бы то	2	3
188	во втором	2	3
189	у него	5	3
190	в них	2	3
191	со стороны	1	3
192	и оно	1	3
193	вместе с	6	3
194	по своему	5	3
195	сейчас же	3	3
196	и от	5	3
197	в голову	1	3
198	психики и	1	3
199	не знает	2	3
200	от всех	1	3
201	жизни и	2	3
202	ее в	1	3
203	в такой	4	2
204	и то	4	2
205	телу и	1	2
206	сил и	2	2
207	тех же	2	2
208	это и	1	2
209	тем же	2	2
210	в первом	1	2
211	и до	3	2
212	высшей степени	1	2
213	в заблуждение	1	2
214	что между	1	2
215	благодаря тому	1	2
216	не совсем	1	2
217	социальной группы	1	2
218	как не	2	2
219	того же	9	2
220	между собой	4	2
221	не отличается	1	2
222	не без	2	2
223	видели что	1	2
224	но как	2	2
225	с которыми	2	2
226	себе и	1	2
227	отличие от	3	2
228	что как	4	2
229	в своем	10	2
230	от этого	1	2
231	в этот	1	2
232	не приходится	1	2
233	что это	5	2
234	в нашем	3	2
235	что она	1	2
236	из этой	2	2
237	их в	2	2
238	или вовсе	2	2
239	же остается	1	2
240	но все	5	2
241	в одну	4	2
242	на всю	1	2
243	в совершенно	3	2
244	же касается	2	2
245	на этой	2	2
246	при помощи	3	2
247	это было	1	2
248	это не	3	2
249	на почве	3	2
250	чаще всего	1	2
251	по всему	1	2
252	этого не	1	2
253	и уже	2	2
254	которой он	1	2
255	желал бы	1	2
256	том что	19	2
257	в эту	2	2
258	но если	2	2
259	и при	6	2
260	в их	4	2
261	мы говорили	7	2
262	на первых	1	2
263	сих пор	8	2
264	на другую	1	2
265	освободиться от	2	2
266	в отношении	1	2
267	что с	5	2
268	но для	2	2
269	в науке	1	2
270	и притом	1	2
271	к этим	1	2
272	в процессе	2	2
273	только не	2	2
